[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 1] Τὸ λοιπόν, προσεύχεσθε, ἀδελφοί, περὶ ἡμῶν, ἵνα ὁ λόγος τοῦ Κυρίου τρέχῃ καὶ δοξάζηται, καθὼς καὶ πρὸς ὑμᾶς,
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 2] καὶ ἵνα ῥυσθῶμεν ἀπὸ τῶν ἀτόπων καὶ πονηρῶν ἀνθρώπων· οὐ γὰρ πάντων ἡ πίστις.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 3] Πιστὸς δέ ἐστιν ὁ Κύριος, ὃς στηρίξει ὑμᾶς καὶ φυλάξει ἀπὸ τοῦ πονηροῦ.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 4] Πεποίθαμεν δὲ ἐν Κυρίῳ ἐφ᾿ ὑμᾶς, ὅτι ἃ παραγγέλλομεν ὑμῖν, καὶ ποιεῖτε καὶ ποιήσετε.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 5] Ὁ δὲ Κύριος κατευθύναι ὑμῶν τὰς καρδίας εἰς τὴν ἀγάπην τοῦ Θεοῦ, καὶ εἰς + 3:5 ὑπομονὴν ¦ τὴν ὑπομονὴν SCR ὑπομονὴν τοῦ Χριστοῦ.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 6] Παραγγέλλομεν δὲ ὑμῖν, ἀδελφοί, ἐν ὀνόματι τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, στέλλεσθαι ὑμᾶς ἀπὸ παντὸς ἀδελφοῦ ἀτάκτως περιπατοῦντος, καὶ μὴ κατὰ τὴν παράδοσιν ἣν παρέλαβε παρ᾿ ἡμῶν.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 7] Αὐτοὶ γὰρ οἴδατε πῶς δεῖ μιμεῖσθαι ἡμᾶς· ὅτι οὐκ ἠτακτήσαμεν ἐν ὑμῖν,
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 8] οὐδὲ δωρεὰν ἄρτον ἐφάγομεν παρά τινος, ἀλλ᾿ ἐν κόπῳ καὶ μόχθῳ, νύκτα καὶ ἡμέραν ἐργαζόμενοι, πρὸς τὸ μὴ ἐπιβαρῆσαί τινα ὑμῶν·
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 9] οὐχ ὅτι οὐκ ἔχομεν ἐξουσίαν, ἀλλ᾿ ἵνα ἑαυτοὺς τύπον δῶμεν ὑμῖν εἰς τὸ μιμεῖσθαι ἡμᾶς.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 10] Καὶ γὰρ ὅτε ἦμεν πρὸς ὑμᾶς, τοῦτο παρηγγέλλομεν ὑμῖν ὅτι εἴ τις οὐ θέλει ἐργάζεσθαι, μηδὲ ἐσθιέτω.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 11] Ἀκούομεν γάρ τινας περιπατοῦντας ἐν ὑμῖν ἀτάκτως, μηδὲν ἐργαζομένους, ἀλλὰ περιεργαζομένους.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 12] Τοῖς δὲ τοιούτοις παραγγέλλομεν καὶ παρακαλοῦμεν διὰ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, ἵνα μετὰ ἡσυχίας ἐργαζόμενοι τὸν ἑαυτῶν ἄρτον ἐσθίωσιν.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 13] Ὑμεῖς δέ, ἀδελφοί, μὴ ἐκκακήσητε καλοποιοῦντες.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 14] Εἰ δέ τις οὐχ ὑπακούει τῷ λόγῳ ἡμῶν διὰ τῆς ἐπιστολῆς, τοῦτον σημειοῦσθε, καὶ μὴ συναναμίγνυσθε αὐτῷ, ἵνα ἐντραπῇ,
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 15] καὶ μὴ ὡς ἐχθρὸν ἡγεῖσθε, ἀλλὰ νουθετεῖτε ὡς ἀδελφόν.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 16] Αὐτὸς δὲ ὁ Κύριος τῆς εἰρήνης δῴη ὑμῖν τὴν εἰρήνην διὰ παντὸς ἐν παντὶ τρόπῳ. Ὁ Κύριος μετὰ πάντων ὑμῶν.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 17] Ὁ ἀσπασμὸς τῇ ἐμῇ χειρὶ Παύλου, ὅ ἐστι σημεῖον ἐν πάσῃ ἐπιστολῇ· οὕτω γράφω.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 3 | Verse 18] Ἡ χάρις τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ μετὰ πάντων ὑμῶν. Ἀμήν. Πρὸς Θεσσαλονικεῖς δευτέρα ἐγράφη ἀπὸ Ἀθηνῶν.
