[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 1] Ἐρωτῶμεν δὲ ὑμᾶς, ἀδελφοί, ὑπὲρ τῆς παρουσίας τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, καὶ ἡμῶν ἐπισυναγωγῆς ἐπ᾿ αὐτόν,
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 2] εἰς τὸ μὴ ταχέως σαλευθῆναι ὑμᾶς ἀπὸ τοῦ νοός, μήτε θροεῖσθαι, μήτε διὰ πνεύματος, μήτε διὰ λόγου, μήτε δι᾿ ἐπιστολῆς ὡς δι᾿ ἡμῶν, ὡς ὅτι ἐνέστηκεν ἡ ἡμέρα τοῦ Χριστοῦ·
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 3] μή τις ὑμᾶς ἐξαπατήσῃ κατὰ μηδένα τρόπον· ὅτι ἐὰν μὴ ἔλθῃ ἡ ἀποστασία πρῶτον, καὶ ἀποκαλυφθῇ ὁ ἄνθρωπος τῆς ἁμαρτίας, ὁ υἱὸς τῆς ἀπωλείας,
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 4] ὁ ἀντικείμενος καὶ ὑπεραιρόμενος ἐπὶ + 2:4 πάντα ¦ πᾶν τὸ SCR πάντα λεγόμενον θεὸν ἢ σέβασμα, ὥστε αὐτὸν εἰς τὸν ναὸν τοῦ Θεοῦ ὡς Θεὸν καθίσαι, ἀποδεικνύντα ἑαυτὸν ὅτι ἐστὶ Θεός.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 5] Οὐ μνημονεύετε ὅτι ἔτι ὢν πρὸς ὑμᾶς, ταῦτα ἔλεγον ὑμῖν;
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 6] Καὶ νῦν τὸ κατέχον οἴδατε, εἰς τὸ ἀποκαλυφθῆναι αὐτὸν ἐν τῷ ἑαυτοῦ καιρῷ.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 7] Τὸ γὰρ μυστήριον ἤδη ἐνεργεῖται τῆς ἀνομίας· μόνον ὁ κατέχων ἄρτι, ἕως ἐκ μέσου γένηται,
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 8] καὶ τότε ἀποκαλυφθήσεται ὁ ἄνομος, ὃν ὁ Κύριος ἀναλώσει τῷ πνεύματι τοῦ στόματος αὐτοῦ, καὶ καταργήσει τῇ ἐπιφανείᾳ τῆς παρουσίας αὐτοῦ·
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 9] οὗ ἐστὶν ἡ παρουσία κατ᾿ ἐνέργειαν τοῦ Σατανᾶ ἐν πάσῃ δυνάμει καὶ σημείοις καὶ τέρασι ψεύδους,
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 10] καὶ ἐν πάσῃ ἀπάτῃ τῆς ἀδικίας ἐν τοῖς ἀπολλυμένοις, ἀνθ᾿ ὧν τὴν ἀγάπην τῆς ἀληθείας οὐκ ἐδέξαντο εἰς τὸ σωθῆναι αὐτούς.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 11] Καὶ διὰ τοῦτο πέμψει αὐτοῖς ὁ Θεὸς ἐνέργειαν πλάνης, εἰς τὸ πιστεῦσαι αὐτοὺς τῷ ψεύδει·
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 12] ἵνα κριθῶσι πάντες οἱ μὴ πιστεύσαντες τῇ ἀληθείᾳ, ἀλλ᾿ εὐδοκήσαντες ἐν τῇ ἀδικίᾳ.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 13] Ἡμεῖς δὲ ὀφείλομεν εὐχαριστεῖν τῷ Θεῷ πάντοτε περὶ ὑμῶν, ἀδελφοὶ ἠγαπημένοι ὑπὸ Κυρίου, ὅτι εἵλετο ὑμᾶς ὁ Θεὸς ἀπ᾿ ἀρχῆς εἰς σωτηρίαν ἐν ἁγιασμῷ πνεύματος, καὶ πίστει ἀληθείας·
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 14] εἰς ὃ ἐκάλεσεν ὑμᾶς διὰ τοῦ εὐαγγελίου ἡμῶν, εἰς περιποίησιν δόξης τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 15] Ἄρα οὖν, ἀδελφοί, στήκετε, καὶ κρατεῖτε τὰς παραδόσεις ἃς ἐδιδάχθητε, εἴτε διὰ λόγου, εἴτε δι᾿ ἐπιστολῆς ἡμῶν.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 16] Αὐτὸς δὲ ὁ Κύριος ἡμῶν Ἰησοῦς Χριστός, καὶ ὁ Θεὸς καὶ πατὴρ ἡμῶν ὁ ἀγαπήσας ἡμᾶς, καὶ δοὺς παράκλησιν αἰωνίαν καὶ ἐλπίδα ἀγαθὴν ἐν χάριτι,
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 2 | Verse 17] παρακαλέσαι ὑμῶν τὰς καρδίας, καὶ στηρίξαι ὑμᾶς ἐν παντὶ λόγῳ καὶ ἔργῳ ἀγαθῷ.
