[GRCGTR | EL | NT | 2 Thessalonians | Chapter 1 | Verse 1] Παῦλος καὶ Σιλουανὸς καὶ Τιμόθεος τῇ ἐκκλησίᾳ Θεσσαλονικέων ἐν Θεῷ πατρὶ ἡμῶν καὶ Κυρίῳ Ἰησοῦ Χριστῷ·
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 1 | Verse 2] χάρις ὑμῖν καὶ εἰρήνη ἀπὸ Θεοῦ πατρὸς ἡμῶν καὶ Κυρίου Ἰησοῦ Χριστοῦ.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 1 | Verse 3] Εὐχαριστεῖν ὀφείλομεν τῷ Θεῷ πάντοτε περὶ ὑμῶν, ἀδελφοί, καθὼς ἄξιόν ἐστιν, ὅτι ὑπεραυξάνει ἡ πίστις ὑμῶν, καὶ πλεονάζει ἡ ἀγάπη ἑνὸς ἑκάστου πάντων ὑμῶν εἰς ἀλλήλους·
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 1 | Verse 4] ὥστε ἡμᾶς αὐτοὺς ἐν ὑμῖν καυχᾶσθαι ἐν ταῖς ἐκκλησίαις τοῦ Θεοῦ ὑπὲρ τῆς ὑπομονῆς ὑμῶν καὶ πίστεως ἐν πᾶσι τοῖς διωγμοῖς ὑμῶν καὶ ταῖς θλίψεσιν αἷς ἀνέχεσθε·
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 1 | Verse 5] ἔνδειγμα τῆς δικαίας κρίσεως τοῦ Θεοῦ, εἰς τὸ καταξιωθῆναι ὑμᾶς τῆς βασιλείας τοῦ Θεοῦ, ὑπὲρ ἧς καὶ πάσχετε·
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 1 | Verse 6] εἴπερ δίκαιον παρὰ Θεῷ ἀνταποδοῦναι τοῖς θλίβουσιν ὑμᾶς θλίψιν,
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 1 | Verse 7] καὶ ὑμῖν τοῖς θλιβομένοις ἄνεσιν μεθ᾿ ἡμῶν, ἐν τῇ ἀποκαλύψει τοῦ Κυρίου Ἰησοῦ ἀπ᾿ οὐρανοῦ μετ᾿ ἀγγέλων δυνάμεως αὐτοῦ,
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 1 | Verse 8] ἐν πυρὶ φλογός, διδόντος ἐκδίκησιν τοῖς μὴ εἰδόσι Θεόν, καὶ τοῖς μὴ ὑπακούουσι τῷ εὐαγγελίῳ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ·
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 1 | Verse 9] οἵτινες δίκην τίσουσιν, ὄλεθρον αἰώνιον ἀπὸ προσώπου τοῦ Κυρίου καὶ ἀπὸ τῆς δόξης τῆς ἰσχύος αὐτοῦ,
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 1 | Verse 10] ὅταν ἔλθῃ ἐνδοξασθῆναι ἐν τοῖς ἁγίοις αὐτοῦ, καὶ θαυμασθῆναι ἐν πᾶσι τοῖς πιστεύουσιν ὅτι ἐπιστεύθη τὸ μαρτύριον ἡμῶν ἐφ᾿ ὑμᾶς ἐν τῇ ἡμέρᾳ ἐκείνῃ.
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 1 | Verse 11] Εἰς ὃ καὶ προσευχόμεθα πάντοτε περὶ ὑμῶν, ἵνα ὑμᾶς ἀξιώσῃ τῆς κλήσεως ὁ Θεὸς ἡμῶν, καὶ πληρώσῃ πᾶσαν εὐδοκίαν ἀγαθωσύνης καὶ ἔργον πίστεως ἐν δυνάμει·
[GRCGTR | EL | NT | 2 Thessalonians | Chapter 1 | Verse 12] ὅπως ἐνδοξασθῇ τὸ ὄνομα τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ ἐν ὑμῖν, καὶ ὑμεῖς ἐν αὐτῷ, κατὰ τὴν χάριν τοῦ Θεοῦ ἡμῶν καὶ Κυρίου Ἰησοῦ Χριστοῦ.
