[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 1] So king Solomon was king over all Israel.
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 2] And these were the princes which he had; Azariah the son of Zadok the priest,
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 3] Elihoreph and Ahiah, the sons of Shisha, scribes; Jehoshaphat the son of Ahilud, the recorder.
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 4] And Benaiah the son of Jehoiada was over the host: and Zadok and Abiathar were the priests:
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 5] and Azariah the son of Nathan was over the officers: and Zabud the son of Nathan was principal officer, and the king’s friend:
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 6] and Ahishar was over the household: and Adoniram the son of Abda was over the tribute.
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 7] And Solomon had twelve officers over all Israel, which provided victuals for the king and his household: each man his month in a year made provision.
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 8] And these are their names: The son of Hur, in mount Ephraim:
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 9] the son of Dekar, in Makaz, and in Shaalbim, and Beth-shemesh, and Elon-beth-hanan:
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 10] the son of Hesed, in Aruboth; to him pertained Sochoh, and all the land of Hepher:
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 11] the son of Abinadab, in all the region of Dor; which had Taphath the daughter of Solomon to wife:
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 12] Baana the son of Ahilud; to him pertained Taanach and Megiddo, and all Beth-shean, which is by Zartanah beneath Jezreel, from Beth-shean to Abel-meholah, even unto the place that is beyond Jokneam:
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 13] the son of Geber, in Ramoth-gilead; to him pertained the towns of Jair the son of Manasseh, which are in Gilead; to him also pertained the region of Argob, which is in Bashan, threescore great cities with walls and brasen bars:
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 14] Ahinadab the son of Iddo had Mahanaim:
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 15] Ahimaaz was in Naphtali; he also took Basmath the daughter of Solomon to wife:
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 16] Baanah the son of Hushai was in Asher and in Aloth:
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 17] Jehoshaphat the son of Paruah, in Issachar:
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 18] Shimei the son of Elah, in Benjamin:
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 19] Geber the son of Uri was in the country of Gilead, in the country of Sihon king of the Amorites, and of Og king of Bashan; and he was the only officer which was in the land.
[KJV | EN | OT | 1 Kings | Chapter 4 | Verse 20] Judah and Israel were many, as the sand which is by the sea in multitude, eating and drinking, and making merry.
