[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 1] At that time Abijah the son of Jeroboam fell sick.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 2] And Jeroboam said to his wife, Arise, I pray thee, and disguise thyself, that thou be not known to be the wife of Jeroboam; and get thee to Shiloh: behold, there is Ahijah the prophet, which told me that I should be king over this people.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 3] And take with thee ten loaves, and cracknels, and a cruse of honey, and go to him: he shall tell thee what shall become of the child.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 4] And Jeroboam’s wife did so, and arose, and went to Shiloh, and came to the house of Ahijah. But Ahijah could not see; for his eyes were set by reason of his age.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 5] And the Lord said unto Ahijah, Behold, the wife of Jeroboam cometh to ask a thing of thee for her son; for he is sick: thus and thus shalt thou say unto her: for it shall be, when she cometh in, that she shall feign herself to be another woman.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 6] And it was so, when Ahijah heard the sound of her feet, as she came in at the door, that he said, Come in, thou wife of Jeroboam; why feignest thou thyself to be another? for I am sent to thee with heavy tidings.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 7] Go, tell Jeroboam, Thus saith the Lord God of Israel, Forasmuch as I exalted thee from among the people, and made thee prince over my people Israel,
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 8] and rent the kingdom away from the house of David, and gave it thee: and yet thou hast not been as my servant David, who kept my commandments, and who followed me with all his heart, to do that only which was right in mine eyes;
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 9] but hast done evil above all that were before thee: for thou hast gone and made thee other gods, and molten images, to provoke me to anger, and hast cast me behind thy back:
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 10] therefore, behold, I will bring evil upon the house of Jeroboam, and will cut off from Jeroboam him that pisseth against the wall, and him that is shut up and left in Israel, and will take away the remnant of the house of Jeroboam, as a man taketh away dung, till it be all gone.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 11] Him that dieth of Jeroboam in the city shall the dogs eat; and him that dieth in the field shall the fowls of the air eat: for the Lord hath spoken it.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 12] Arise thou therefore, get thee to thine own house: and when thy feet enter into the city, the child shall die.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 13] And all Israel shall mourn for him, and bury him: for he only of Jeroboam shall come to the grave, because in him there is found some good thing toward the Lord God of Israel in the house of Jeroboam.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 14] Moreover the Lord shall raise him up a king over Israel, who shall cut off the house of Jeroboam that day: but what? even now.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 15] For the Lord shall smite Israel, as a reed is shaken in the water, and he shall root up Israel out of this good land, which he gave to their fathers, and shall scatter them beyond the river, because they have made their groves, provoking the Lord to anger.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 16] And he shall give Israel up because of the sins of Jeroboam, who did sin, and who made Israel to sin.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 17] And Jeroboam’s wife arose, and departed, and came to Tirzah: and when she came to the threshold of the door, the child died;
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 18] and they buried him; and all Israel mourned for him, according to the word of the Lord, which he spake by the hand of his servant Ahijah the prophet.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 19] And the rest of the acts of Jeroboam, how he warred, and how he reigned, behold they are written in the book of the chronicles of the kings of Israel.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 20] And the days which Jeroboam reigned were two and twenty years: and he slept with his fathers, and Nadab his son reigned in his stead.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 21] And Rehoboam the son of Solomon reigned in Judah. Rehoboam was forty and one years old when he began to reign, and he reigned seventeen years in Jerusalem, the city which the Lord did choose out of all the tribes of Israel, to put his name there. And his mother’s name was Naamah an Ammonitess.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 22] And Judah did evil in the sight of the Lord, and they provoked him to jealousy with their sins which they had committed, above all that their fathers had done.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 23] For they also built them high places, and images, and groves, on every high hill, and under every green tree.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 24] And there were also sodomites in the land: and they did according to all the abominations of the nations which the Lord cast out before the children of Israel.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 25] And it came to pass in the fifth year of king Rehoboam, that Shishak king of Egypt came up against Jerusalem:
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 26] and he took away the treasures of the house of the Lord, and the treasures of the king’s house; he even took away all: and he took away all the shields of gold which Solomon had made.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 27] And king Rehoboam made in their stead brasen shields, and committed them unto the hands of the chief of the guard, which kept the door of the king’s house.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 28] And it was so, when the king went into the house of the Lord, that the guard bare them, and brought them back into the guard chamber.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 29] Now the rest of the acts of Rehoboam, and all that he did, are they not written in the book of the chronicles of the kings of Judah?
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 30] And there was war between Rehoboam and Jeroboam all their days.
[KJV | EN | OT | 1 Kings | Chapter 14 | Verse 31] And Rehoboam slept with his fathers, and was buried with his fathers in the city of David. And his mother’s name was Naamah an Ammonitess. And Abijam his son reigned in his stead.
