[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 1] And they continued three years without war between Syria and Israel.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 2] And it came to pass on the third year, that Jehoshaphat the king of Judah came down to the king of Israel.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 3] And the king of Israel said unto his servants, Know ye that Ramoth in Gilead is ours, and we be still, and take it not out of the hand of the king of Syria?
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 4] And he said unto Jehoshaphat, Wilt thou go with me to battle to Ramoth-gilead? And Jehoshaphat said to the king of Israel, I am as thou art, my people as thy people, my horses as thy horses.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 5] And Jehoshaphat said unto the king of Israel, Inquire, I pray thee, at the word of the Lord to day.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 6] Then the king of Israel gathered the prophets together, about four hundred men, and said unto them, Shall I go against Ramoth-gilead to battle, or shall I forbear? And they said, Go up; for the Lord shall deliver it into the hand of the king.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 7] And Jehoshaphat said, Is there not here a prophet of the Lord besides, that we might inquire of him?
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 8] And the king of Israel said unto Jehoshaphat, There is yet one man, Micaiah the son of Imlah, by whom we may inquire of the Lord: but I hate him; for he doth not prophesy good concerning me, but evil. And Jehoshaphat said, Let not the king say so.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 9] Then the king of Israel called an officer, and said, Hasten hither Micaiah the son of Imlah.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 10] And the king of Israel and Jehoshaphat the king of Judah sat each on his throne, having put on their robes, in a void place in the entrance of the gate of Samaria; and all the prophets prophesied before them.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 11] And Zedekiah the son of Chenaanah made him horns of iron: and he said, Thus saith the Lord, With these shalt thou push the Syrians, until thou have consumed them.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 12] And all the prophets prophesied so, saying, Go up to Ramoth-gilead, and prosper: for the Lord shall deliver it into the king’s hand.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 13] And the messenger that was gone to call Micaiah spake unto him, saying, Behold now, the words of the prophets declare good unto the king with one mouth: let thy word, I pray thee, be like the word of one of them, and speak that which is good.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 14] And Micaiah said, As the Lord liveth, what the Lord saith unto me, that will I speak.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 15] So he came to the king. And the king said unto him, Micaiah, shall we go against Ramoth-gilead to battle, or shall we forbear? And he answered him, Go, and prosper: for the Lord shall deliver it into the hand of the king.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 16] And the king said unto him, How many times shall I adjure thee that thou tell me nothing but that which is true in the name of the Lord?
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 17] And he said, I saw all Israel scattered upon the hills, as sheep that have not a shepherd: and the Lord said, These have no master: let them return every man to his house in peace.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 18] And the king of Israel said unto Jehoshaphat, Did I not tell thee that he would prophesy no good concerning me, but evil?
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 19] And he said, Hear thou therefore the word of the Lord: I saw the Lord sitting on his throne, and all the host of heaven standing by him on his right hand and on his left.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 20] And the Lord said, Who shall persuade Ahab, that he may go up and fall at Ramoth-gilead? And one said on this manner, and another said on that manner.
