[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 1] But false prophets also arose among the people, as false teachers will also be among you, who will secretly bring in destructive heresies, denying even the Master who bought them, bringing on themselves swift destruction.
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 2] Many will follow their immoral ways, and as a result, the way of the truth will be maligned.
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 3] In covetousness they will exploit you with deceptive words: whose sentence now from of old doesn’t linger, and their destruction will not slumber.
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 4] For if God didn’t spare angels when they sinned, but cast them down to Tartarus, and committed them to pits of darkness to be reserved for judgment;
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 5] and didn’t spare the ancient world, but preserved Noah with seven others, a preacher of righteousness, when he brought a flood on the world of the ungodly,
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 6] and turning the cities of Sodom and Gomorrah into ashes, condemned them to destruction, having made them an example to those who would live in an ungodly way,
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 7] and delivered righteous Lot, who was very distressed by the lustful life of the wicked
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 8] (for that righteous man dwelling among them was tormented in his righteous soul from day to day with seeing and hearing lawless deeds),
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 9] then the Lord knows how to deliver the godly out of temptation and to keep the unrighteous under punishment for the day of judgment,
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 10] but chiefly those who walk after the flesh in the lust of defilement and despise authority. Daring, self-willed, they are not afraid to speak evil of dignitaries,
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 11] whereas angels, though greater in might and power, don’t bring a slanderous judgment against them before the Lord.
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 12] But these, as unreasoning creatures, born natural animals to be taken and destroyed, speaking evil in matters about which they are ignorant, will in their destroying surely be destroyed,
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 13] receiving the wages of unrighteousness; people who count it pleasure to revel in the daytime, spots and defects, reveling in their deceit while they feast with you;
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 14] having eyes full of adultery, and who can’t cease from sin, enticing unsettled souls, having a heart trained in greed, accursed children!
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 15] Forsaking the right way, they went astray, having followed the way of Balaam the son of Beor, who loved the wages of wrongdoing;
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 16] but he was rebuked for his own disobedience. A speechless donkey spoke with a man’s voice and stopped the madness of the prophet.
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 17] These are wells without water, clouds driven by a storm, for whom the blackness of darkness has been reserved forever.
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 18] For, uttering great swelling words of emptiness, they entice in the lusts of the flesh, by licentiousness, those who are indeed escaping from those who live in error;
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 19] promising them liberty, while they themselves are bondservants of corruption; for a man is brought into bondage by whoever overcomes him.
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 20] For if, after they have escaped the defilement of the world through the knowledge of the Lord and Savior Jesus Christ, they are again entangled in it and overcome, the last state has become worse for them than the first.
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 21] For it would be better for them not to have known the way of righteousness, than after knowing it, to turn back from the holy commandment delivered to them.
[WEB | EN | NT | 2 Peter | Chapter 2 | Verse 22] But it has happened to them according to the true proverb, “The dog turns to his own vomit again,” and “the sow that has washed to wallowing in the mire.”
