[BBE | EN | NT | Mark | Chapter 9 | Verse 1] And he said to them, Truly I say to you, There are some here who will have no taste of death till they see the kingdom of God come with power.
[BBE | EN | NT | Mark | Chapter 9 | Verse 2] And after six days Jesus took with him Peter and James and John, and made them go up with him into a high mountain by themselves: and he was changed in form before them:
[BBE | EN | NT | Mark | Chapter 9 | Verse 3] And his clothing became shining, very white, as no cleaner on earth would make it.
[BBE | EN | NT | Mark | Chapter 9 | Verse 4] And there came before them Elijah with Moses, and they were talking with Jesus.
[BBE | EN | NT | Mark | Chapter 9 | Verse 5] And Peter said to Jesus, Master, it is good for us to be here: and let us make three tents; one for you, one for Moses, and one for Elijah.
[BBE | EN | NT | Mark | Chapter 9 | Verse 6] Because he was not certain what to say, for they were in great fear.
[BBE | EN | NT | Mark | Chapter 9 | Verse 7] And a cloud came over them; and a voice came out of the cloud, saying, This is my dearly loved Son, give ear to him.
[BBE | EN | NT | Mark | Chapter 9 | Verse 8] And suddenly looking round about, they saw no one any longer, but Jesus only with themselves.
[BBE | EN | NT | Mark | Chapter 9 | Verse 9] And while they were coming down from the mountain, he gave them orders not to give word to any man of the things they had seen, till the Son of man had come back from the dead.
[BBE | EN | NT | Mark | Chapter 9 | Verse 10] And they kept the saying, questioning among themselves what the coming back from the dead might be.
[BBE | EN | NT | Mark | Chapter 9 | Verse 11] And they put a question to him, saying, Why do the scribes say that Elijah has to come first?
[BBE | EN | NT | Mark | Chapter 9 | Verse 12] And he said to them, Truly, Elijah does come first, and puts all things in order; and how is it said in the Writings that the Son of man will go through much sorrow and be made as nothing?
[BBE | EN | NT | Mark | Chapter 9 | Verse 13] But I say to you that Elijah has come, and they have done to him whatever they were pleased to do, even as the Writings say about him.
[BBE | EN | NT | Mark | Chapter 9 | Verse 14] And when they came to the disciples, they saw a great mass of people about them, and scribes questioning them.
[BBE | EN | NT | Mark | Chapter 9 | Verse 15] And straight away all the people, when they saw him, were full of wonder, and running to him, gave him worship.
[BBE | EN | NT | Mark | Chapter 9 | Verse 16] And he said, What are you questioning them about?
[BBE | EN | NT | Mark | Chapter 9 | Verse 17] And one of the number said to him in answer, Master, I came to you with my son, who has in him a spirit which takes away his power of talking;
[BBE | EN | NT | Mark | Chapter 9 | Verse 18] And wherever it takes him, it puts him down violently, streaming at the lips and twisted with pain; and his strength goes from him; and I made a request to your disciples to send it out, and they were not able.
[BBE | EN | NT | Mark | Chapter 9 | Verse 19] And he said to them in answer, O generation without faith, how long will I have to be with you? how long will I put up with you? let him come to me.
