[BBE | EN | NT | Mark | Chapter 13 | Verse 1] And when he was going out of the Temple, one of his disciples said to him, Master, see, what stones and what buildings!
[BBE | EN | NT | Mark | Chapter 13 | Verse 2] And Jesus said to him, Do you see these great buildings? there is not one stone here resting on another which will not be overturned.
[BBE | EN | NT | Mark | Chapter 13 | Verse 3] And while he was seated on the Mountain of Olives opposite the Temple, Peter and James and John and Andrew said to him privately,
[BBE | EN | NT | Mark | Chapter 13 | Verse 4] Say when these things will be, and what will be the sign when these things are all about to be done.
[BBE | EN | NT | Mark | Chapter 13 | Verse 5] And Jesus said to them, Take care that you are not tricked by anyone.
[BBE | EN | NT | Mark | Chapter 13 | Verse 6] People will come in my name, saying, I am he; and a number will be turned from the true way.
[BBE | EN | NT | Mark | Chapter 13 | Verse 7] And when you have news of wars and talk of wars, do not be troubled; these things have to be, but it is still not the end.
[BBE | EN | NT | Mark | Chapter 13 | Verse 8] Nation will go to war with nation, and kingdom with kingdom: there will be earth-shocks in different places; there will be times when there is no food; these things are the first of the troubles.
[BBE | EN | NT | Mark | Chapter 13 | Verse 9] But take care: for they will give you up to the Sanhedrins; and in Synagogues you will be whipped; and you will be taken before rulers and kings because of me, for a sign to them.
[BBE | EN | NT | Mark | Chapter 13 | Verse 10] And the good news has first to be given to all the nations.
[BBE | EN | NT | Mark | Chapter 13 | Verse 11] And when you are taken and given up to be judged, do not be troubled about what to say: but whatever is given to you in that hour, say: because it is not you who say it, but the Holy Spirit.
[BBE | EN | NT | Mark | Chapter 13 | Verse 12] And brother will give up brother to death, and the father his child; and children will go against their fathers and mothers, and put them to death.
[BBE | EN | NT | Mark | Chapter 13 | Verse 13] And you will be hated by all men, because of my name; but he who goes through to the end will have salvation.
[BBE | EN | NT | Mark | Chapter 13 | Verse 14] But when you see the unclean thing which makes destruction, in the place where it has no right to be (let this be clear to the reader), then let those who are in Judaea go quickly to the mountains:
[BBE | EN | NT | Mark | Chapter 13 | Verse 15] And let him who is on the house-top not go down, or go in, to take anything out of his house:
[BBE | EN | NT | Mark | Chapter 13 | Verse 16] And let not him who is in the field go back to take his coat.
[BBE | EN | NT | Mark | Chapter 13 | Verse 17] And it will be hard for women who are with child and for her who has a baby at the breast in those days.
[BBE | EN | NT | Mark | Chapter 13 | Verse 18] And say a prayer that it may not be in the winter.
[BBE | EN | NT | Mark | Chapter 13 | Verse 19] For in those days there will be sorrow, such as there has not been from the time when God made the world till now, and will not ever be again.
[BBE | EN | NT | Mark | Chapter 13 | Verse 20] And if the Lord had not made the time short, no flesh would have been kept from destruction; but because of the saints he has made the time short.
[BBE | EN | NT | Mark | Chapter 13 | Verse 21] And then if any man says to you, See, here is Christ; or, See, there; have no faith in it:
[BBE | EN | NT | Mark | Chapter 13 | Verse 22] Because there will be false Christs and false prophets, and they will give signs and wonders in the hope of turning even the saints from the true way.
[BBE | EN | NT | Mark | Chapter 13 | Verse 23] But take care; see, I have made all things clear to you before the time.
[BBE | EN | NT | Mark | Chapter 13 | Verse 24] But in those days, after that time of trouble, the sun will be made dark and the moon will not give her light,
[BBE | EN | NT | Mark | Chapter 13 | Verse 25] And the stars will be falling from heaven, and the powers which are in the heavens will be moved.
[BBE | EN | NT | Mark | Chapter 13 | Verse 26] And then they will see the Son of man coming in clouds with great power and glory.
[BBE | EN | NT | Mark | Chapter 13 | Verse 27] And then he will send out the angels, and will get together his saints from the four winds, from the farthest part of the earth to the farthest part of heaven.
[BBE | EN | NT | Mark | Chapter 13 | Verse 28] Take an example from the fig-tree: when its branches become soft and put out their leaves, you see that the summer is near;
[BBE | EN | NT | Mark | Chapter 13 | Verse 29] Even so, when you see these things taking place, you may be certain that he is near, even at the doors.
[BBE | EN | NT | Mark | Chapter 13 | Verse 30] Truly, I say to you, This generation will not come to an end till all these things are complete.
[BBE | EN | NT | Mark | Chapter 13 | Verse 31] Heaven and earth will come to an end, but my words will not come to an end.
[BBE | EN | NT | Mark | Chapter 13 | Verse 32] But of that day or that hour no one has knowledge, not even the angels in heaven, or the Son, but the Father.
[BBE | EN | NT | Mark | Chapter 13 | Verse 33] Take care, keep watch with prayer: for you are not certain when the time will be.
[BBE | EN | NT | Mark | Chapter 13 | Verse 34] It is as when a man who is in another country for a time, having gone away from his house, and given authority to his servants and to everyone his work, gives the porter an order to keep watch.
[BBE | EN | NT | Mark | Chapter 13 | Verse 35] So you are to keep watch: because you are not certain when the master of the house is coming, in the evening, or in the middle of the night, or at the cock's cry, or in the morning;
[BBE | EN | NT | Mark | Chapter 13 | Verse 36] For fear that, coming suddenly, he sees you sleeping.
[BBE | EN | NT | Mark | Chapter 13 | Verse 37] And what I say to you, I say to all, Keep watch.
