[BBE | EN | NT | Mark | Chapter 10 | Verse 1] And he got up, and went into the country of Judaea on the other side of Jordan: and great numbers of people came together to him again; and, as was his way, he gave them teaching.
[BBE | EN | NT | Mark | Chapter 10 | Verse 2] And Pharisees came to him, testing him with the question, Is it right for a man to put away his wife?
[BBE | EN | NT | Mark | Chapter 10 | Verse 3] And he said to them in answer, What did Moses say you were to do?
[BBE | EN | NT | Mark | Chapter 10 | Verse 4] And they said to him, Moses let us give her a statement in writing, and be free from her.
[BBE | EN | NT | Mark | Chapter 10 | Verse 5] But Jesus said to them, Because of your hard hearts he gave you this law.
[BBE | EN | NT | Mark | Chapter 10 | Verse 6] But from the first, male and female made he them.
[BBE | EN | NT | Mark | Chapter 10 | Verse 7] For this cause will a man go away from his father and mother, and be joined to his wife;
[BBE | EN | NT | Mark | Chapter 10 | Verse 8] And the two will become one flesh; so that they are no longer two, but one flesh.
[BBE | EN | NT | Mark | Chapter 10 | Verse 9] Let not that which has been joined together by God be parted by man.
[BBE | EN | NT | Mark | Chapter 10 | Verse 10] And in the house the disciples put questions to him again about this thing.
[BBE | EN | NT | Mark | Chapter 10 | Verse 11] And he said to them, Whoever puts away his wife and takes another, is false to his wife;
[BBE | EN | NT | Mark | Chapter 10 | Verse 12] And if she herself puts away her husband and takes another, she is false to her husband.
[BBE | EN | NT | Mark | Chapter 10 | Verse 13] And they took to him little children, so that he might put his hands on them: and the disciples said sharp words to them.
[BBE | EN | NT | Mark | Chapter 10 | Verse 14] And when Jesus saw it, he was angry, and said to them, Let the little children come to me, and do not keep them away; for of such is the kingdom of God.
[BBE | EN | NT | Mark | Chapter 10 | Verse 15] Truly I say to you, Whoever does not put himself under the kingdom of God like a little child, will not come into it at all.
[BBE | EN | NT | Mark | Chapter 10 | Verse 16] And he took them in his arms, and gave them a blessing, putting his hands on them.
[BBE | EN | NT | Mark | Chapter 10 | Verse 17] And while he was going out into the way, a man came running to him, and went down on his knees, saying, Good Master, what have I to do so that I may have eternal life?
[BBE | EN | NT | Mark | Chapter 10 | Verse 18] And Jesus said to him, Why do you say I am good? no one is good but one, and that is God.
[BBE | EN | NT | Mark | Chapter 10 | Verse 19] You have knowledge of what is said in the law, Do not put any one to death, Do not be untrue in married life, Do not take what is not yours, Do not give false witness, Do not get money by deceit, Give honour to your father and mother.
[BBE | EN | NT | Mark | Chapter 10 | Verse 20] And he said to him, Master, all these laws I have kept from the time when I was young.
[BBE | EN | NT | Mark | Chapter 10 | Verse 21] And Jesus, looking on him and loving him, said, There is one thing needed: go, get money for your goods, and give it to the poor, and you will have wealth in heaven: and come with me.
[BBE | EN | NT | Mark | Chapter 10 | Verse 22] But his face became sad at the saying, and he went away sorrowing: for he was one who had much property.
[BBE | EN | NT | Mark | Chapter 10 | Verse 23] And Jesus, looking round about, said to his disciples, How hard it is for those who have wealth to come into the kingdom of God!
[BBE | EN | NT | Mark | Chapter 10 | Verse 24] And the disciples were full of wonder at his words. But Jesus said to them again, Children, how hard it is for those who put faith in wealth to come into the kingdom of God!
[BBE | EN | NT | Mark | Chapter 10 | Verse 25] It is simpler for a camel to go through a needle's eye, than for a man of wealth to come into the kingdom of God.
[BBE | EN | NT | Mark | Chapter 10 | Verse 26] And they were greatly surprised, saying to him, Who then may have salvation?
[BBE | EN | NT | Mark | Chapter 10 | Verse 27] Jesus, looking on them, said, With men it is impossible, but not with God: for all things are possible with God.
[BBE | EN | NT | Mark | Chapter 10 | Verse 28] Peter said to him, See, we have given up everything, and come after you.
[BBE | EN | NT | Mark | Chapter 10 | Verse 29] Jesus said, Truly I say to you, There is no man who has given up house, or brothers, or sisters, or mother, or father, or children, or land, because of me and the good news,
[BBE | EN | NT | Mark | Chapter 10 | Verse 30] Who will not get a hundred times as much now in this time, houses, and brothers, and sisters, and mothers, and children, and land — though with great troubles; and, in the world to come, eternal life.
[BBE | EN | NT | Mark | Chapter 10 | Verse 31] But a great number who are first will be last: and those who are last will be first.
[BBE | EN | NT | Mark | Chapter 10 | Verse 32] And they were on the way, going up to Jerusalem; and Jesus was going before them: and they were full of wonder; but those who came after him were in fear. And again he took the twelve, and gave them word of the things which were to come on him,
[BBE | EN | NT | Mark | Chapter 10 | Verse 33] Saying, See, we go up to Jerusalem; and the Son of man will be given up to the chief priests and the scribes; and they will give an order for his death, and will give him up to the Gentiles:
[BBE | EN | NT | Mark | Chapter 10 | Verse 34] And they will make sport of him, and put shame on him, and give him cruel blows, and will put him to death; and after three days he will come back from the dead.
[BBE | EN | NT | Mark | Chapter 10 | Verse 35] And there came to him James and John, the sons of Zebedee, saying to him, Master, will you give us whatever may be our request?
[BBE | EN | NT | Mark | Chapter 10 | Verse 36] And he said to them, What would you have me do for you?
[BBE | EN | NT | Mark | Chapter 10 | Verse 37] And they said to him, Let us be seated, one at your right hand and one at your left, in your glory.
[BBE | EN | NT | Mark | Chapter 10 | Verse 38] But Jesus said to them, You have no knowledge of what you are saying. Are you able to take of my cup? or to undergo the baptism which I am to undergo?
[BBE | EN | NT | Mark | Chapter 10 | Verse 39] And they said to him, We are able. And Jesus said to them, You will take of the cup from which I take; and the baptism which I am about to undergo you will undergo:
[BBE | EN | NT | Mark | Chapter 10 | Verse 40] But to be seated at my right hand or at my left is not for me to give: but it is for those for whom it has been made ready.
[BBE | EN | NT | Mark | Chapter 10 | Verse 41] And hearing this, the ten became very angry with James and John.
[BBE | EN | NT | Mark | Chapter 10 | Verse 42] And Jesus made them come to him, and said to them, You see that those who are made rulers over the Gentiles are lords over them, and their great ones have authority over them.
[BBE | EN | NT | Mark | Chapter 10 | Verse 43] But it is not so among you: but whoever has a desire to become great among you, let him be your servant:
[BBE | EN | NT | Mark | Chapter 10 | Verse 44] And whoever has a desire to be first among you, let him be servant of all.
[BBE | EN | NT | Mark | Chapter 10 | Verse 45] For truly the Son of man did not come to have servants, but to be a servant, and to give his life for the salvation of men.
