[BBE | EN | NT | Mark | Chapter 7 | Verse 1] And there came together to him the Pharisees and certain of the scribes who had come from Jerusalem,
[BBE | EN | NT | Mark | Chapter 7 | Verse 2] And had seen that some of his disciples took their bread with unclean, that is, unwashed, hands.
[BBE | EN | NT | Mark | Chapter 7 | Verse 3] Now the Pharisees, and all the Jews, do not take food without washing their hands with care, keeping the old rule which has been handed down to them:
[BBE | EN | NT | Mark | Chapter 7 | Verse 4] And when they come from the market-place, they take no food till their hands are washed; and a number of other orders there are, which have been handed down to them to keep — washings of cups and pots and brass vessels.
[BBE | EN | NT | Mark | Chapter 7 | Verse 5] And the Pharisees and the scribes put the question to him, Why do your disciples not keep the rules of the fathers, but take their bread with unwashed hands?
[BBE | EN | NT | Mark | Chapter 7 | Verse 6] And he said, Well did Isaiah say of you, you false ones: These people give me honour with their lips, but their heart is far from me.
[BBE | EN | NT | Mark | Chapter 7 | Verse 7] But their worship is to no purpose, while they give as their teaching the rules of men.
[BBE | EN | NT | Mark | Chapter 7 | Verse 8] For, turning away from the law of God, you keep the rules of men.
[BBE | EN | NT | Mark | Chapter 7 | Verse 9] And he said to them, Truly you put on one side the law of God, so that you may keep the rules which have been handed down to you.
[BBE | EN | NT | Mark | Chapter 7 | Verse 10] For Moses said, Give honour to your father and mother, and, He who says evil of father or mother, let him have the punishment of death:
[BBE | EN | NT | Mark | Chapter 7 | Verse 11] But you say, If a man says to his father or his mother, That by which you might have had profit from me is Corban, that is to say, Given to God,
[BBE | EN | NT | Mark | Chapter 7 | Verse 12] You no longer let him do anything for his father or his mother;
[BBE | EN | NT | Mark | Chapter 7 | Verse 13] Making the word of God of no effect by your rule, which you have given: and a number of other such things you do.
[BBE | EN | NT | Mark | Chapter 7 | Verse 14] And turning to the people again, he said to them, Give ear to me all of you, and let my words be clear to you:
[BBE | EN | NT | Mark | Chapter 7 | Verse 15] There is nothing outside the man which, going into him, is able to make him unclean: but the things which come out of the man are those which make the man unclean.
[BBE | EN | NT | Mark | Chapter 7 | Verse 16] []
[BBE | EN | NT | Mark | Chapter 7 | Verse 17] And when he had gone into the house away from all the people, his disciples put questions to him about the saying.
[BBE | EN | NT | Mark | Chapter 7 | Verse 18] And he said to them, Have even you so little wisdom? Do you not see that whatever goes into a man from outside is not able to make him unclean,
[BBE | EN | NT | Mark | Chapter 7 | Verse 19] Because it goes not into the heart but into the stomach, and goes out with the waste? He said this, making all food clean.
[BBE | EN | NT | Mark | Chapter 7 | Verse 20] And he said, That which comes out of the man, that makes the man unclean.
[BBE | EN | NT | Mark | Chapter 7 | Verse 21] Because from inside, from the heart of men, come evil thoughts and unclean pleasures,
[BBE | EN | NT | Mark | Chapter 7 | Verse 22] The taking of goods and of life, broken faith between husband and wife, the desire of wealth, wrongdoing, deceit, sins of the flesh, an evil eye, angry words, pride, foolish acts:
[BBE | EN | NT | Mark | Chapter 7 | Verse 23] All these evil things come from inside, and make the man unclean.
[BBE | EN | NT | Mark | Chapter 7 | Verse 24] And he went away from there to the country of Tyre and Sidon. And he went into a house, desiring that no man might have knowledge of it: and he was not able to keep it secret.
[BBE | EN | NT | Mark | Chapter 7 | Verse 25] But a woman, whose little daughter had an unclean spirit, having had news of him, came straight away and went down at his feet.
[BBE | EN | NT | Mark | Chapter 7 | Verse 26] Now the woman was a Greek, a Syro-phoenician by birth: and she made a request to him that he would send the evil spirit out of her daughter.
[BBE | EN | NT | Mark | Chapter 7 | Verse 27] And he said to her, Let the children first have their food: for it is not right to take the children's bread and give it to the dogs.
[BBE | EN | NT | Mark | Chapter 7 | Verse 28] But she said to him in answer, Yes, Lord: even the dogs under the table take the bits dropped by the children.
[BBE | EN | NT | Mark | Chapter 7 | Verse 29] And he said to her, For this saying go your way; the evil spirit has gone out of your daughter.
[BBE | EN | NT | Mark | Chapter 7 | Verse 30] And she went away to her house, and saw the child on the bed, and the evil spirit gone out.
[BBE | EN | NT | Mark | Chapter 7 | Verse 31] And again he went out from Tyre, and came through Sidon to the sea of Galilee, through the country of Decapolis.
[BBE | EN | NT | Mark | Chapter 7 | Verse 32] And they came to him with one who had no power of hearing and had trouble in talking; and they made a request to him to put his hands on him.
[BBE | EN | NT | Mark | Chapter 7 | Verse 33] And he took him on one side from the people privately, and put his fingers into his ears, and he put water from his mouth on the man's tongue with his finger;
[BBE | EN | NT | Mark | Chapter 7 | Verse 34] And looking up to heaven, he took a deep breath, and said to him, Ephphatha, that is, Be open.
[BBE | EN | NT | Mark | Chapter 7 | Verse 35] And his ears became open, and the band of his tongue was made loose, and his words became clear.
[BBE | EN | NT | Mark | Chapter 7 | Verse 36] And he gave them orders not to give news of it to anyone; but the more he made this request, so much the more they made it public.
[BBE | EN | NT | Mark | Chapter 7 | Verse 37] And they were overcome with wonder, saying, He has done all things well: he even gives back the power of hearing and the power of talking to those who have been without them.
