[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 1] And he brought me to the temple; and he measured the posts, six cubits broad on the one side, and six cubits broad on the other side, the breadth of the tent.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 2] And the breadth of the entry was ten cubits, and the sides of the entry were five cubits on this side, and five cubits on that side; and he measured its length, forty cubits, and the breadth, twenty cubits.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 3] And he went inwards, and measured the post of the entry, two cubits; and the entry, six cubits; and the breadth of the entry, seven cubits.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 4] And he measured its length, twenty cubits; and the breadth, twenty cubits, before the temple: and he said unto me, This is the most holy [place].
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 5] And he measured the wall of the house, six cubits; and the breadth of the side-chambers, four cubits, round about the house on every side.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 6] And the side-chambers were three, chamber over chamber, and thirty in order; and they entered into the wall which the house had for the side-chambers round about, that they might have hold; but they had not hold in the wall of the house.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 7] And for the side-chambers there was an enlarging, and it went round about [the house] increasing upward; for the surrounding of the house increased upward round about the house; therefore the house had width upward, and so ascended [from] the lower [story] to the upper, by the middle one.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 8] And I saw that the house had an elevation round about: the foundations of the side-chambers, a full reed, six cubits to the joint.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 9] The thickness of the wall, which was for the side-chambers without, was five cubits, as also what was left free along the building of the side-chambers that pertained to the house.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 10] And between the cells [and the house] was a width of twenty cubits round about the house on every side.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 11] And the entry of the side-chambers was toward what was left free, one entry toward the north, and one entry toward the south; and the width of the space left free was five cubits round about.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 12] And the building that was before the separate place at the end toward the west was seventy cubits broad; and the wall of the building was five cubits thick round about; and its length ninety cubits.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 13] And he measured the house: the length a hundred cubits; and the separate place, and the building, and its walls, the length a hundred cubits;
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 14] and the breadth of the front of the house, and of the separate places toward the east, a hundred cubits.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 15] And he measured the length of the building before the separate place, which was at the back of it, with its galleries on the one side and on the other side, a hundred cubits; and the inner temple, and the porches of the court.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 16] The thresholds, and the closed windows, and the galleries round about the three of them (opposite the thresholds it was wainscoted with wood round about, and from the ground up to the windows, and the windows were covered),
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 17] [and] above, over the entry, even unto the inner house, and without, and by all the wall round about, within and without, [all was] by measure.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 18] And it was made with cherubim and palm-trees, and a palm-tree was between cherub and cherub; and the cherub had two faces:
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 19] the face of a man was toward the palm-tree on the one side, and the face of a young lion toward the palm-tree on the other side: [so] was it made upon all the house round about.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 20] From the ground unto above the entry were the cherubim and the palm-trees made, and [on] the wall of the temple.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 21] As for the temple, the door-posts were squared; and the front of the sanctuary had the same appearance.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 22] The altar was of wood, three cubits high, and its length two cubits; and its corners, and its length, and its walls were of wood. And he said unto me, This is the table which is before Jehovah.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 23] And the temple and the sanctuary had two doors.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 24] And the doors had two leaves, two turning-leaves: two for the one door, and two leaves for the other.
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 25] And there were made on them, on the doors of the temple, cherubim and palm-trees, as there were made upon the walls; and there was a wooden portal in front of the porch without,
[DARBY | EN | OT | Ezekiel | Chapter 41 | Verse 26] and closed windows and palm-trees on the one side and on the other side, on the sides of the porch and the side chambers of the house and the portals.
