[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 1] In the twenty-fifth year of our captivity, in the beginning of the year, on the tenth of the month, in the fourteenth year after that the city was smitten, on that same day the hand of Jehovah was upon me, and he brought me thither.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 2] In the visions of God brought he me into the land of Israel, and set me upon a very high mountain; and upon it was as the building of a city, on the south.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 3] And he brought me thither, and behold, there was a man whose appearance was like the appearance of brass, with a flax-cord in his hand, and a measuring-reed; and he stood in the gate.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 4] And the man said unto me, Son of man, behold with thine eyes, and hear with thine ears, and set thy heart upon all that I shall shew thee; for in order that it might be shewn unto thee art thou brought hither. Declare to the house of Israel all that thou seest.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 5] And behold, there was a wall on the outside of the house round about, and in the man's hand a measuring-reed of six cubits, [each] of one cubit and a hand breadth. And he measured the breadth of the building, one reed; and the height, one reed.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 6] And he came to the gate which looked toward the east, and went up its steps; and he measured the threshold of the gate, one reed broad; and the other threshold one reed broad.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 7] And [each] chamber was one reed long and one reed broad; and between the chambers were five cubits; and the threshold of the gate, beside the porch of the gate within, was one reed.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 8] And he measured the porch of the gate within, one reed.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 9] And he measured the porch of the gate, eight cubits; and the posts thereof, two cubits; and the porch of the gate was inward.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 10] And the chambers of the gate which was toward the east were three on this side and three on that side: they three were of one measure; and the posts on this side and on that side had one measure.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 11] And he measured the breadth of the entry of the gate, ten cubits; [and] the length of the gate, thirteen cubits.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 12] And there was a border before the chambers of one cubit, and a border of one cubit on the other side; and the chambers were six cubits on this side, and six cubits on that side.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 13] And he measured the gate from the roof of [one] chamber to the roof [of the other], a breadth of five and twenty cubits, entry opposite entry.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 14] And he made posts, sixty cubits, and by the post was the court of the gate round about.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 15] And from the front of the gate of the entrance unto the front of the porch of the inner gate were fifty cubits.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 16] And there were closed windows to the chambers, and to their posts within the gate round about, and likewise to the projections; and the windows round about were inward; and upon [each] post were palm-trees.
