[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 1] And the word of Jehovah came unto me, saying:
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 2] And thou, son of man, take up a lamentation for Tyre,
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 3] and say unto Tyre: O thou that art situate at the entries of the sea, and traffickest with the peoples in many isles, thus saith the Lord Jehovah: Thou, Tyre, hast said, I am perfect in beauty.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 4] Thy borders are in the heart of the seas, thy builders have perfected thy beauty.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 5] They made all thy double boards of cypress-trees of Senir; they took cedars from Lebanon to make masts for thee.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 6] Of the oaks of Bashan did they make thine oars; they made thy benches of ivory, inlaid in box-wood, out of the isles of Chittim.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 7] Byssus with broidered work from Egypt was thy sail, to serve thee for a banner; blue and purple from the isles of Elishah was thine awning.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 8] The inhabitants of Zidon and Arvad were thy rowers; thy wise men, O Tyre, who were in thee, were thy pilots.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 9] The elders of Gebal and the wise men thereof were in thee repairing thy leaks; all the ships of the sea with their mariners were in thee, to barter with thee.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 10] Persia and Lud and Phut were in thine army, thy men of war: they hanged shield and helmet in thee; they gave splendour to thee.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 11] The children of Arvad with thine army were upon thy walls round about, and the Gammadim were on thy towers: they hanged their shields upon thy walls round about; they made thy beauty perfect.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 12] Tarshish dealt with thee by reason of the abundance of all substance; with silver, iron, tin, and lead, they furnished thy markets.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 13] Javan, Tubal, and Meshech, they were thy traffickers: they bartered with thee the persons of men, and vessels of bronze.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 14] They of the house of Togarmah furnished thy markets with horses, and horsemen, and mules.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 15] The children of Dedan were thy traffickers; many isles were the mart of thy hand: they rendered in payment horns of ivory, and ebony.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 16] Syria dealt with thee for the multitude of thy handiworks: they traded in thy markets with carbuncles, purple, and broidered work, and fine linen, and corals, and rubies.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 17] Judah and the land of Israel were thy traffickers: they bartered with thee wheat of Minnith, and sweet cakes, and honey, and oil, and balm.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 18] Damascus dealt with thee because of the multitude of thy handiworks, by reason of the abundance of all substance, with wine of Helbon, and white wool.
