[IRV | PA | NT | 2 Timothy | Chapter 1 | Verse 1] ਪੌਲੁਸ, ਜੋ ਉਸ ਜੀਵਨ ਦੇ ਵਾਅਦੇ ਦੇ ਅਨੁਸਾਰ ਜਿਹੜਾ ਮਸੀਹ ਯਿਸੂ ਵਿੱਚ ਹੈ, ਪਰਮੇਸ਼ੁਰ ਦੀ ਮਰਜ਼ੀ ਤੋਂ ਮਸੀਹ ਯਿਸੂ ਦਾ ਰਸੂਲ ਹਾਂ।
[IRV | PA | NT | 2 Timothy | Chapter 1 | Verse 2] ਪਿਆਰੇ ਪੁੱਤਰ ਤਿਮੋਥਿਉਸ ਨੂੰ ਪਿਤਾ ਪਰਮੇਸ਼ੁਰ ਅਤੇ ਮਸੀਹ ਯਿਸੂ ਸਾਡੇ ਪ੍ਰਭੂ ਦੀ ਵੱਲੋਂ ਕਿਰਪਾ, ਦਯਾ, ਅਤੇ ਸ਼ਾਂਤੀ ਮਿਲਦੀ ਰਹੇ।
[IRV | PA | NT | 2 Timothy | Chapter 1 | Verse 3] ਮੈਂ ਪਰਮੇਸ਼ੁਰ ਦਾ ਧੰਨਵਾਦ ਕਰਦਾ ਹਾਂ, ਜਿਸ ਦੀ ਸੇਵਾ ਮੈਂ ਆਪਣੇ ਪੁਰਖਿਆਂ ਦੀ ਤਰ੍ਹਾਂ ਸ਼ੁੱਧ ਵਿਵੇਕ ਨਾਲ ਕਰਦਾ ਹਾਂ! ਜਦ ਮੈਂ ਆਪਣੀਆਂ ਪ੍ਰਾਰਥਨਾਵਾਂ ਵਿੱਚ ਦਿਨ ਰਾਤ ਤੈਨੂੰ ਚੇਤੇ ਕਰਦਾ ਹਾਂ।
[IRV | PA | NT | 2 Timothy | Chapter 1 | Verse 4] ਅਤੇ ਤੇਰਿਆਂ ਹੰਝੂਆਂ ਨੂੰ ਚੇਤੇ ਕਰ ਕੇ ਤੈਨੂੰ ਵੇਖਣ ਨੂੰ ਲੋਚਦਾ ਹਾਂ ਕਿ ਅਨੰਦ ਨਾਲ ਭਰ ਜਾਂਵਾਂ।
[IRV | PA | NT | 2 Timothy | Chapter 1 | Verse 5] ਮੈਨੂੰ ਤੇਰੀ ਖਰੀ ਵਿਸ਼ਵਾਸ ਚੇਤੇ ਆਉਂਦੀ ਹੈ, ਜਿਹੜੀ ਪਹਿਲਾਂ ਤੇਰੀ ਨਾਨੀ ਲੋਇਸ ਅਤੇ ਤੇਰੀ ਮਾਤਾ ਯੂਨੀਕਾ ਵਿੱਚ ਸੀ ਅਤੇ ਮੈਨੂੰ ਭਰੋਸਾ ਹੈ ਜੋ ਉਹ ਤੇਰੇ ਵਿੱਚ ਵੀ ਹੈ।
[IRV | PA | NT | 2 Timothy | Chapter 1 | Verse 6] ਇਸ ਕਾਰਨ ਮੈਂ ਤੈਨੂੰ ਚਿਤਾਰਦਾ ਹਾਂ ਕਿ ਤੂੰ ਪਰਮੇਸ਼ੁਰ ਦੀ ਉਸ ਦਾਤ ਨੂੰ ਚਮਕਾ, ਜੋ ਮੇਰੇ ਹੱਥ ਰੱਖਣ ਦੁਆਰਾ ਤੈਨੂੰ ਮਿਲੀ।
[IRV | PA | NT | 2 Timothy | Chapter 1 | Verse 7] ਕਿਉਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਨੇ ਸਾਨੂੰ ਡਰ ਦਾ ਆਤਮਾ ਨਹੀਂ, ਸਗੋਂ ਸਮਰੱਥਾ, ਪਿਆਰ ਅਤੇ ਸੰਜਮ ਦਾ ਆਤਮਾ ਦਿੱਤਾ ਹੈ।
[IRV | PA | NT | 2 Timothy | Chapter 1 | Verse 8] ਇਸ ਲਈ ਤੂੰ ਸਾਡੇ ਪ੍ਰਭੂ ਦੀ ਗਵਾਹੀ ਤੋਂ ਨਾ ਸ਼ਰਮਾਵੀਂ, ਨਾ ਮੇਰੇ ਤੋਂ, ਜੋ ਉਹ ਦਾ ਬੰਧੂਆ ਹਾਂ, ਸਗੋਂ ਪਰਮੇਸ਼ੁਰ ਦੀ ਸਮਰੱਥਾ ਦੇ ਅਨੁਸਾਰ ਖੁਸ਼ਖਬਰੀ ਲਈ ਦੁੱਖਾਂ ਵਿੱਚ ਮੇਰੇ ਨਾਲ ਸਾਂਝੀ ਹੋਵੀਂ।
[IRV | PA | NT | 2 Timothy | Chapter 1 | Verse 9] ਜਿਸ ਨੇ ਸਾਨੂੰ ਬਚਾਇਆ ਅਤੇ ਪਵਿੱਤਰ ਸੱਦੇ ਨਾਲ ਸੱਦਿਆ, ਸਾਡਿਆਂ ਕੰਮਾਂ ਦੇ ਅਨੁਸਾਰ ਨਹੀਂ ਸਗੋਂ ਆਪਣੀ ਮਰਜ਼ੀ ਅਤੇ ਉਸ ਕਿਰਪਾ ਦੇ ਅਨੁਸਾਰ ਜਿਹੜੀ ਮਸੀਹ ਯਿਸੂ ਵਿੱਚ ਸਦੀਪਕ ਸਮਿਆਂ ਤੋਂ ਸਾਡੇ ਉੱਤੇ ਕੀਤੀ ਗਈ।
[IRV | PA | NT | 2 Timothy | Chapter 1 | Verse 10] ਪਰ ਹੁਣ ਸਾਡੇ ਮੁਕਤੀਦਾਤਾ ਮਸੀਹ ਯਿਸੂ ਦੇ ਪਰਕਾਸ਼ ਹੋਣ ਤੋਂ ਪਰਗਟ ਹੋਈ, ਜਦੋਂ ਉਸ ਨੇ ਮੌਤ ਦਾ ਨਾਸ ਕਰ ਦਿੱਤਾ ਅਤੇ ਖੁਸ਼ਖਬਰੀ ਦੇ ਰਾਹੀਂ ਜੀਵਨ ਅਤੇ ਅਮਰਤਾ ਉੱਤੇ ਪਰਕਾਸ਼ ਕੀਤਾ।
[IRV | PA | NT | 2 Timothy | Chapter 1 | Verse 11] ਜਿਸ ਦੇ ਲਈ ਮੈਂ ਪਰਚਾਰਕ, ਰਸੂਲ ਅਤੇ ਉਪਦੇਸ਼ਕ ਨਿਯੁਕਤ ਕੀਤਾ ਗਿਆ ਸੀ।
