[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 1] ਪਰ ਇਸ ਗੱਲ ਨੂੰ ਜਾਣ ਲੈ ਕਿ ਅੰਤ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਬੁਰੇ ਸਮੇਂ ਆ ਜਾਣਗੇ।
[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 2] ਕਿਉਂ ਜੋ ਮਨੁੱਖ ਸੁਆਰਥੀ, ਮਾਇਆ ਦੇ ਲੋਭੀ, ਸ਼ੇਖੀਬਾਜ, ਹੰਕਾਰੀ, ਕੁਫ਼ਰ ਬਕਣ ਵਾਲੇ, ਮਾਪਿਆਂ ਦੇ ਅਣ-ਆਗਿਆਕਾਰ, ਨਾਸ਼ੁਕਰੇ, ਅਪਵਿੱਤਰ।
[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 3] ਨਿਰਮੋਹ, ਪੱਥਰ ਦਿਲ, ਪਰਾਈ ਨਿੰਦਿਆ ਕਰਨ ਵਾਲੇ, ਅਸੰਜਮੀ, ਸਖ਼ਤ ਸੁਭਾਅ, ਨੇਕੀ ਦੇ ਵੈਰੀ।
[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 4] ਗੱਦਾਰ, ਕਾਹਲੇ, ਘਮੰਡੀ, ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਹੀਂ ਸਗੋਂ ਭੋਗ ਬਿਲਾਸ ਦੇ ਪਿਆਰੇ ਹੋਣਗੇ।
[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 5] ਭਗਤੀ ਦਾ ਰੂਪ ਧਾਰ ਕੇ ਵੀ, ਉਹ ਦੀ ਸਮਰੱਥਾ ਦੇ ਇਨਕਾਰੀ ਹੋਣਗੇ, ਤੂੰ ਇਹਨਾਂ ਤੋਂ ਵੀ ਦੂਰ ਰਹਿ।
[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 6] ਕਿਉਂ ਜੋ ਇਹਨਾਂ ਵਿੱਚੋਂ ਉਹ ਹਨ, ਜਿਹੜੇ ਘਰੋਂ ਘਰੀਂ ਵੜ ਕੇ ਉਨ੍ਹਾਂ ਦੁਰਬੱਲ ਤੀਵੀਆਂ ਨੂੰ ਮੋਹ ਲੈਂਦੇ ਹਨ ਜਿਹੜੀਆਂ ਪਾਪਾਂ ਨਾਲ ਲੱਦੀਆਂ ਹੋਈਆਂ ਹਨ ਅਤੇ ਅਨੇਕ ਪਰਕਾਰ ਦੀਆਂ ਕਾਮਨਾਂ ਦੇ ਪਿੱਛੇ ਵਹਿ ਚਲਦੀਆਂ ਹਨ।
[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 7] ਅਤੇ ਸਿੱਖਦੀਆਂ ਤਾਂ ਰਹਿੰਦੀਆਂ ਹਨ ਪਰ ਸੱਚ ਦੇ ਗਿਆਨ ਤੱਕ ਕਦੇ ਪਹੁੰਚ ਨਹੀਂ ਸਕਦੀਆਂ।
[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 8] ਜਿਸ ਪਰਕਾਰ ਯੰਨੇਸ ਅਤੇ ਯੰਬਰੇਸ ਨੇ ਮੂਸਾ ਦਾ ਵਿਰੋਧ ਕੀਤਾ, ਇਸੇ ਤਰ੍ਹਾਂ ਇਹ ਵੀ ਜਿਹੜੇ ਬੁੱਧ ਭ੍ਰਿਸ਼ਟ ਅਤੇ ਵਿਸ਼ਵਾਸ ਵੱਲੋਂ ਅਪਰਵਾਨ ਹਨ ਸਚਿਆਈ ਦਾ ਵਿਰੋਧ ਕਰਦੇ ਹਨ।
[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 9] ਪਰ ਇਹ ਅੱਗੇ ਨਾ ਵਧਣਗੇ ਇਸ ਲਈ ਜੋ ਇਹਨਾਂ ਦਾ ਮੂਰਖਪੁਣਾ ਸਭਨਾਂ ਉੱਤੇ ਪ੍ਰਗਟ ਹੋ ਜਾਵੇਗਾ ਜਿਵੇਂ ਉਹਨਾਂ ਦਾ ਵੀ ਹੋਇਆ ਸੀ।
[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 10] ਪਰ ਤੂੰ ਮੇਰੀ ਸਿੱਖਿਆ, ਚਾਲ-ਚਲਣ, ਮਰਜ਼ੀ, ਵਿਸ਼ਵਾਸ, ਧੀਰਜ, ਪਿਆਰ, ਸਬਰ,
[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 11] ਸਤਾਏ ਜਾਣ ਅਤੇ ਦੁੱਖ ਸਹਿਣ ਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਜਾਣਿਆ, ਅਰਥਾਤ ਜੋ ਕੁਝ ਅੰਤਾਕਿਯਾ ਅਤੇ ਇਕੋਨਿਯੁਮ ਅਤੇ ਲੁਸਤ੍ਰਾ ਵਿੱਚ ਮੇਰੇ ਨਾਲ ਵਾਪਰਿਆ ਸੀ ਅਤੇ ਮੈਂ ਕਿਸ ਤਰ੍ਹਾਂ ਸਤਾਇਆ ਗਿਆ ਅਤੇ ਪ੍ਰਭੂ ਨੇ ਮੈਨੂੰ ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਤੋਂ ਛੁਡਾਇਆ।
[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 12] ਹਾਂ, ਸੱਭੇ ਜਿਹੜੇ ਮਸੀਹ ਯਿਸੂ ਵਿੱਚ ਭਗਤੀ ਨਾਲ ਉਮਰ ਕੱਟਣੀ ਚਾਹੁੰਦੇ ਹਨ ਸੋ ਸਤਾਏ ਜਾਣਗੇ।
[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 13] ਪਰ ਦੁਸ਼ਟ ਮਨੁੱਖ ਅਤੇ ਛਲੀਏ ਧੋਖਾ ਦਿੰਦੇ ਅਤੇ ਧੋਖਾ ਖਾਂਦੇ, ਬੁਰੇ ਤੋਂ ਬੁਰੇ ਹੁੰਦੇ ਜਾਣਗੇ।
[IRV | PA | NT | 2 Timothy | Chapter 3 | Verse 14] ਪਰ ਤੂੰ ਉਨ੍ਹਾਂ ਗੱਲਾਂ ਉੱਤੇ ਜਿਹੜੀਆਂ ਤੂੰ ਸਿੱਖੀਆਂ ਅਤੇ ਸੱਚ ਮੰਨੀਆਂ ਟਿਕਿਆ ਰਹਿ ਕਿਉਂ ਜੋ ਤੂੰ ਜਾਣਦਾ ਹੈਂ ਕਿ ਕਿੰਨ੍ਹਾਂ ਕੋਲੋਂ ਸਿੱਖੀਆਂ ਸਨ।
