[IRV | HI | OT | Leviticus | Chapter 23 | Verse 1] फिर यहोवा ने मूसा से कहा,
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 2] “इस्राएलियों से कह कि यहोवा के पर्व जिनका तुम को पवित्र सभा एकत्रित करने के लिये नियत समय पर प्रचार करना होगा, मेरे वे पर्व ये हैं।
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 3] “छः दिन काम-काज किया जाए, पर सातवाँ दिन परमविश्राम का और पवित्र सभा का दिन है; उसमें किसी प्रकार का काम-काज न किया जाए; वह तुम्हारे सब घरों में यहोवा का विश्रामदिन ठहरे।
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 4] “फिर यहोवा के पर्व जिनमें से एक-एक के ठहराये हुए समय में तुम्हें पवित्र सभा करने के लिये प्रचार करना होगा वे ये हैं।
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 5] पहले महीने के चौदहवें दिन को साँझ के समय यहोवा का फसह हुआ करे।
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 6] और उसी महीने के पन्द्रहवें दिन को यहोवा के लिये अख़मीरी रोटी का पर्व हुआ करे; उसमें तुम सात दिन तक अख़मीरी रोटी खाया करना।
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 7] उनमें से पहले दिन तुम्हारी पवित्र सभा हो; और उस दिन परिश्रम का कोई काम न करना।
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 8] और सातों दिन तुम यहोवा को हव्य चढ़ाया करना; और सातवें दिन पवित्र सभा हो; उस दिन परिश्रम का कोई काम न करना।”
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 9] फिर यहोवा ने मूसा से कहा,
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 10] “इस्राएलियों से कह कि जब तुम उस देश में प्रवेश करो जिसे यहोवा तुम्हें देता है और उसमें के खेत काटो, तब अपने-अपने पके खेत की पहली उपज का पूला याजक के पास ले आया करना;
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 11] और वह उस पूले को यहोवा के सामने हिलाए कि वह तुम्हारे निमित्त ग्रहण किया जाए; वह उसे विश्रामदिन के अगले दिन हिलाए।
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 12] और जिस दिन तुम पूले को हिलवाओ उसी दिन एक वर्ष का निर्दोष भेड़ का बच्चा यहोवा के लिये होमबलि चढ़ाना।
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 13] और उसके साथ का अन्नबलि एपा के दो दसवें अंश तेल से सने हुए मैदे का हो वह सुखदायक सुगन्ध के लिये यहोवा का हव्य हो; और उसके साथ का अर्घ हीन भर की चौथाई दाखमधु हो।
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 14] और जब तक तुम इस चढ़ावे को अपने परमेश्वर के पास न ले जाओ, उस दिन तक नये खेत में से न तो रोटी खाना और न भूना हुआ अन्न और न हरी बालें; यह तुम्हारी पीढ़ी-पीढ़ी में तुम्हारे सारे घरानों में सदा की विधि ठहरे।
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 15] “फिर उस विश्रामदिन के दूसरे दिन से, अर्थात् जिस दिन तुम हिलाई जानेवाली भेंट के पूले को लाओगे, उस दिन से पूरे सात विश्रामदिन गिन लेना;
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 16] सातवें विश्रामदिन के अगले दिन तक पचास दिन गिनना, और पचासवें दिन यहोवा के लिये नया अन्नबलि चढ़ाना।
[IRV | HI | OT | Leviticus | Chapter 23 | Verse 17] तुम अपने घरों में से एपा के दो दसवें अंश मैदे की दो रोटियाँ हिलाने की भेंट के लिये ले आना; वे ख़मीर के साथ पकाई जाएँ, और यहोवा के लिये पहली उपज ठहरें।
