[IRV | HI | OT | Leviticus | Chapter 6 | Verse 1] फिर यहोवा ने मूसा से कहा,
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 2] “यदि कोई यहोवा का विश्वासघात करके पापी ठहरे, जैसा कि धरोहर, या लेन-देन, या लूट के विषय में अपने भाई से छल करे, या उस पर अत्याचार करे,
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 3] या पड़ी हुई वस्तु को पाकर उसके विषय झूठ बोले और झूठी शपथ भी खाए; ऐसी कोई भी बात क्यों न हो जिसे करके मनुष्य पापी ठहरते हैं,
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 4] तो जब वह ऐसा काम करके दोषी हो जाए, तब जो भी वस्तु उसने लूट, या अत्याचार करके, या धरोहर, या पड़ी पाई हो;
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 5] चाहे कोई वस्तु क्यों न हो जिसके विषय में उसने झूठी शपथ खाई हो; तो वह उसको पूरा-पूरा लौटा दे, और पाँचवाँ भाग भी बढ़ाकर भर दे, जिस दिन यह मालूम हो कि वह दोषी है, उसी दिन वह उस वस्तु को उसके स्वामी को लौटा दे।
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 6] और वह यहोवा के सम्मुख अपना दोषबलि भी ले आए, अर्थात् एक निर्दोष मेढ़ा दोषबलि के लिये याजक के पास ले आए, वह उतने ही दाम का हो जितना याजक ठहराए।
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 7] इस प्रकार याजक उसके लिये यहोवा के सामने प्रायश्चित करे, और जिस काम को करके वह दोषी हो गया है उसकी क्षमा उसे मिलेगी।”
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 8] फिर यहोवा ने मूसा से कहा,
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 9] “हारून और उसके पुत्रों को आज्ञा देकर यह कह कि होमबलि की व्यवस्था यह है: होमबलि ईंधन के ऊपर रात भर भोर तक वेदी पर पड़ा रहे, और वेदी की अग्नि वेदी पर जलती रहे।
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 10] और याजक अपने सनी के वस्त्र और अपने तन पर अपनी सनी की जाँघिया पहनकर होमबलि की राख, जो आग के भस्म करने से वेदी पर रह जाए, उसे उठाकर वेदी के पास रखे।
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 11] तब वह अपने ये वस्त्र उतारकर दूसरे वस्त्र पहनकर राख को छावनी से बाहर किसी शुद्ध स्थान पर ले जाए।
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 12] वेदी पर अग्नि जलती रहे, और कभी बुझने न पाए; और याजक प्रतिदिन भोर को उस पर लकड़ियाँ जलाकर होमबलि के टुकड़ों को उसके ऊपर सजा कर धर दे, और उसके ऊपर मेलबलियों की चर्बी को जलाया करे।
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 13] वेदी पर आग लगातार जलती रहे; वह कभी बुझने न पाए।
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 14] “अन्नबलि की व्यवस्था इस प्रकार है: हारून के पुत्र उसको वेदी के आगे यहोवा के समीप ले आएँ।
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 15] और वह अन्नबलि के तेल मिले हुए मैदे में से मुट्ठी भर और उस पर का सब लोबान उठाकर अन्नबलि के स्मरणार्थ इस भाग को यहोवा के सम्मुख सुखदायक सुगन्ध के लिये वेदी पर जलाए।
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 16] और उसमें से जो शेष रह जाए उसे हारून और उसके पुत्र खाएँ; वह बिना ख़मीर पवित्रस्थान में खाया जाए, अर्थात् वे मिलापवाले तम्बू के आँगन में उसे खाएँ। (1 कुरि. 9:13)
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 17] वह ख़मीर के साथ पकाया न जाए; क्योंकि मैंने अपने हव्य में से उसको उनका निज भाग होने के लिये उन्हें दिया है; इसलिए जैसा पापबलि और दोषबलि परमपवित्र हैं वैसा ही वह भी है।
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 18] तुम्हारी पीढ़ी-पीढ़ी में हारून के वंश के सब पुरुष उसमें से खा सकते हैं, यहोवा के हवनों में से यह उनका भाग सदैव बना रहेगा; जो कोई उन हवनों को छूए वह पवित्र ठहरेगा।”
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 19] फिर यहोवा ने मूसा से कहा,
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 20] “जिस दिन हारून का अभिषेक हो उस दिन वह अपने पुत्रों के साथ यहोवा को यह चढ़ावा चढ़ाए; अर्थात् एपा का दसवाँ भाग मैदा नित्य अन्नबलि में चढ़ाए, उसमें से आधा भोर को और आधा संध्या के समय चढ़ाए।
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 21] वह तवे पर तेल के साथ पकाया जाए; जब वह तेल से तर हो जाए तब उसे ले आना, इस अन्नबलि के पके हुए टुकडे़ यहोवा के सुखदायक सुगन्ध के लिये चढ़ाना।
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 22] हारून के पुत्रों में से जो भी उस याजकपद पर अभिषिक्त होगा, वह भी उसी प्रकार का चढ़ावा चढ़ाया करे; यह विधि सदा के लिये है, कि यहोवा के सम्मुख वह सम्पूर्ण चढ़ावा जलाया जाए।
[IRV | HI | OT | Leviticus | Chapter 6 | Verse 23] याजक के सम्पूर्ण अन्नबलि भी सब जलाए जाएँ; वह कभी न खाया जाए।”
