[YLT | EN | NT | Hebrews | Chapter 3 | Verse 1] Wherefore, holy brethren, partakers of a heavenly calling, consider the apostle and chief priest of our profession, Christ Jesus,
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 2] being stedfast to Him who did appoint him, as also Moses in all his house,
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 3] for of more glory than Moses hath this one been counted worthy, inasmuch as more honour than the house hath he who doth build it,
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 4] for every house is builded by some one, and He who the all things did build [is] God,
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 5] and Moses indeed [was] stedfast in all his house, as an attendant, for a testimony of those things that were to be spoken,
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 6] and Christ, as a Son over his house, whose house are we, if the boldness and the rejoicing of the hope unto the end we hold fast.
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 7] Wherefore, (as the Holy Spirit saith, 'To-day, if His voice ye may hear —
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 8] ye may not harden your hearts, as in the provocation, in the day of the temptation in the wilderness,
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 9] in which tempt Me did your fathers, they did prove Me, and saw My works forty years;
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 10] wherefore I was grieved with that generation, and said, Always do they go astray in heart, and these have not known My ways;
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 11] so I sware in My anger, If they shall enter into My rest — !')
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 12] See, brethren, lest there shall be in any of you an evil heart of unbelief in the falling away from the living God,
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 13] but exhort ye one another every day, while the To-day is called, that none of you may be hardened by the deceitfulness of the sin,
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 14] for partakers we have become of the Christ, if the beginning of the confidence unto the end we may hold fast,
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 15] in its being said, 'To-day, if His voice ye may hear, ye may not harden your hearts, as in the provocation,'
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 16] for certain having heard did provoke, but not all who did come out of Egypt through Moses;
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 17] but with whom was He grieved forty years? was it not with those who did sin, whose carcasses fell in the wilderness?
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 18] and to whom did He swear that they shall not enter into His rest, except to those who did not believe? —
[YLT | EN | NT | Hebrews | Chapter 3 | Verse 19] and we see that they were not able to enter in because of unbelief.
