[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 1] A prayer of Habakkuk the prophet upon Shigionoth.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 2] O LORD, I have heard thy speech, and was afraid: O LORD, revive thy work in the midst of the years, in the midst of the years make known; in wrath remember mercy.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 3] God came from Teman, and the Holy One from mount Paran. Selah. His glory covered the heavens, and the earth was full of his praise.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 4] And his brightness was as the light; he had horns coming out of his hand; and there was the hiding of his power.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 5] Before him went the pestilence, and burning coals went forth at his feet.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 6] He stood, and measured the earth: he beheld, and drove asunder the nations; and the everlasting mountains were scattered, the perpetual hills did bow: his ways are everlasting.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 7] I saw the tents of Cushan in affliction: and the curtains of the land of Midian trembled.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 8] Was the LORD displeased against the rivers? was thy anger against the rivers? was thy wrath against the sea, that thou didst ride upon thy horses, and thy chariots of salvation?
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 9] Thy bow was made quite naked, according to the oaths of the tribes, even thy word. Selah. Thou didst cleave the earth with rivers.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 10] The mountains saw thee, and they trembled: the overflowing of the water passed by: the deep uttered his voice, and lifted up his hands on high.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 11] The sun and moon stood still in their habitation: at the light of thy arrows they went, and at the shining of thy glittering spear.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 12] Thou didst march through the land in indignation, thou didst thresh the heathen in anger.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 13] Thou wentest forth for the salvation of thy people, even for salvation with thy anointed; thou woundedst the head out of the house of the wicked, by uncovering the foundation to the neck. Selah.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 14] Thou didst strike through with his staffs the head of his villages: they came out as a whirlwind to scatter me: their rejoicing was as to devour the poor secretly.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 15] Thou didst walk through the sea with thy horses, through the mire of great waters.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 16] When I heard, my belly trembled; my lips quivered at the voice: rottenness entered into my bones, and I trembled in myself, that I might rest in the day of trouble: when he cometh up to the people, he will invade them with his troops.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 17] Although the fig-tree shall not blossom, neither shall fruit be in the vines; the labor of the olive shall fail, and the fields shall yield no food; the flock shall be cut off from the fold, and there shall be no herd in the stalls:
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 18] Yet I will rejoice in the LORD, I will joy in the God of my salvation.
[WEBSTER | EN | OT | Habakkuk | Chapter 3 | Verse 19] The Lord GOD is my strength, and he will make my feet like hinds' feet , and he will make me to walk upon my high places. To the chief singer on my stringed instruments.
