[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 1] Περὶ μὲν γὰρ τῆς διακονίας τῆς εἰς τοὺς ἁγίους περισσόν μοί ἐστι τὸ γράφειν ὑμῖν·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 2] οἶδα γὰρ τὴν προθυμίαν ὑμῶν, ἣν ὑπὲρ ὑμῶν καυχῶμαι Μακεδόσιν, ὅτι Ἀχαΐα παρεσκεύασται ἀπὸ πέρυσι· καὶ ὁ ἐξ ὑμῶν ζῆλος ἠρέθισε τοὺς πλείονας.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 3] Ἔπεμψα δὲ τοὺς ἀδελφούς, ἵνα μὴ τὸ καύχημα ἡμῶν τὸ ὑπὲρ ὑμῶν κενωθῇ ἐν τῷ μέρει τούτῳ· ἵνα, καθὼς ἔλεγον, παρεσκευασμένοι ἦτε·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 4] μήπως, ἐὰν ἔλθωσι σὺν ἐμοὶ Μακεδόνες καὶ εὕρωσιν ὑμᾶς ἀπαρασκευάστους, καταισχυνθῶμεν ἡμεῖς — ἵνα μὴ λέγωμεν ὑμεῖς — ἐν τῇ ὑποστάσει ταύτῃ τῆς καυχήσεως.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 5] Ἀναγκαῖον οὖν ἡγησάμην παρακαλέσαι τοὺς ἀδελφούς, ἵνα προέλθωσιν εἰς ὑμᾶς, καὶ προκαταρτίσωσι τὴν προκατηγγελμένην εὐλογίαν ὑμῶν, ταύτην ἑτοίμην εἶναι, οὕτως ὡς εὐλογίαν καὶ μὴ ὥσπερ πλεονεξίαν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 6] Τοῦτο δέ, ὁ σπείρων φειδομένως, φειδομένως καὶ θερίσει· καὶ ὁ σπείρων ἐπ᾿ εὐλογίαις, ἐπ᾿ εὐλογίαις καὶ θερίσει.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 7] Ἕκαστος καθὼς προαιρεῖται τῇ καρδίᾳ· μὴ ἐκ λύπης ἢ ἐξ ἀνάγκης· ἱλαρὸν γὰρ δότην ἀγαπᾷ ὁ Θεός.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 8] Δυνατὸς δὲ ὁ Θεὸς πᾶσαν χάριν περισσεῦσαι εἰς ὑμᾶς, ἵνα ἐν παντὶ πάντοτε πᾶσαν αὐτάρκειαν ἔχοντες περισσεύητε εἰς πᾶν ἔργον ἀγαθόν·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 9] καθὼς γέγραπται, Ἐσκόρπισεν, ἔδωκε τοῖς πένησιν· ἡ δικαιοσύνη αὐτοῦ μένει εἰς τὸν αἰῶνα.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 10] Ὁ δὲ ἐπιχορηγῶν σπέρμα τῷ σπείροντι, καὶ ἄρτον εἰς βρῶσιν χορηγήσαι, καὶ πληθύναι τὸν σπόρον ὑμῶν, καὶ αὐξήσαι τὰ γεννήματα τῆς δικαιοσύνης ὑμῶν·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 11] ἐν παντὶ πλουτιζόμενοι εἰς πᾶσαν ἁπλότητα, ἥτις κατεργάζεται δι᾿ ἡμῶν εὐχαριστίαν τῷ Θεῷ.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 12] Ὅτι ἡ διακονία τῆς λειτουργίας ταύτης οὐ μόνον ἐστὶ προσαναπληροῦσα τὰ ὑστερήματα τῶν ἁγίων, ἀλλὰ καὶ περισσεύουσα διὰ πολλῶν εὐχαριστιῶν τῷ Θεῷ·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 13] διὰ τῆς δοκιμῆς τῆς διακονίας ταύτης δοξάζοντες τὸν Θεὸν ἐπὶ τῇ ὑποταγῇ τῆς ὁμολογίας ὑμῶν εἰς τὸ εὐαγγέλιον τοῦ Χριστοῦ, καὶ ἁπλότητι τῆς κοινωνίας εἰς αὐτοὺς καὶ εἰς πάντας·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 14] καὶ αὐτῶν δεήσει ὑπὲρ ὑμῶν ἐπιποθούντων ὑμᾶς διὰ τὴν ὑπερβάλλουσαν χάριν τοῦ Θεοῦ ἐφ᾿ ὑμῖν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 9 | Verse 15] Χάρις δὲ τῷ Θεῷ ἐπὶ τῇ ἀνεκδιηγήτῳ αὐτοῦ δωρεᾷ.
