[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 1] Γνωρίζομεν δὲ ὑμῖν, ἀδελφοί, τὴν χάριν τοῦ Θεοῦ τὴν δεδομένην ἐν ταῖς ἐκκλησίαις τῆς Μακεδονίας·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 2] ὅτι ἐν πολλῇ δοκιμῇ θλίψεως ἡ περισσεία τῆς χαρᾶς αὐτῶν καὶ ἡ κατὰ βάθους πτωχεία αὐτῶν ἐπερίσσευσεν εἰς τὸν πλοῦτον τῆς ἁπλότητος αὐτῶν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 3] Ὅτι κατὰ δύναμιν, μαρτυρῶ, καὶ ὑπὲρ δύναμιν αὐθαίρετοι,
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 4] μετὰ πολλῆς παρακλήσεως δεόμενοι ἡμῶν, τὴν χάριν καὶ τὴν κοινωνίαν τῆς διακονίας τῆς εἰς τοὺς ἁγίους δέξασθαι ἡμᾶς·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 5] καὶ οὐ καθὼς ἠλπίσαμεν, ἀλλ᾿ ἑαυτοὺς ἔδωκαν πρῶτον τῷ Κυρίῳ, καὶ ἡμῖν διὰ θελήματος Θεοῦ
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 6] εἰς τὸ παρακαλέσαι ἡμᾶς Τίτον, ἵνα καθὼς προενήρξατο, οὕτω καὶ ἐπιτελέσῃ εἰς ὑμᾶς καὶ τὴν χάριν ταύτην.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 7] Ἀλλ᾿ ὥσπερ ἐν παντὶ περισσεύετε, πίστει, καὶ λόγῳ, καὶ γνώσει, καὶ πάσῃ σπουδῇ, καὶ τῇ ἐξ ὑμῶν ἐν ἡμῖν ἀγάπῃ, ἵνα καὶ ἐν ταύτῃ τῇ χάριτι περισσεύητε.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 8] Οὐ κατ᾿ ἐπιταγὴν λέγω, ἀλλὰ διὰ τῆς ἑτέρων σπουδῆς καὶ τὸ τῆς + 8:8 ὑμετέρας ¦ ἡμετέρας ELZ ὑμετέρας ἀγάπης γνήσιον δοκιμάζων.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 9] Γινώσκετε γὰρ τὴν χάριν τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, ὅτι δι᾿ ὑμᾶς ἐπτώχευσε, πλούσιος ὤν, ἵνα ὑμεῖς τῇ ἐκείνου πτωχείᾳ πλουτήσητε.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 10] Καὶ γνώμην ἐν τούτῳ δίδωμι· τοῦτο γὰρ ὑμῖν συμφέρει, οἵτινες οὐ μόνον τὸ ποιῆσαι ἀλλὰ καὶ τὸ θέλειν προενήρξασθε ἀπὸ πέρυσι.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 11] Νυνὶ δὲ καὶ τὸ ποιῆσαι ἐπιτελέσατε, ὅπως, καθάπερ ἡ προθυμία τοῦ θέλειν, οὕτω καὶ τὸ ἐπιτελέσαι ἐκ τοῦ ἔχειν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 12] Εἰ γὰρ ἡ προθυμία πρόκειται, καθὸ ἐὰν ἔχῃ τις, εὐπρόσδεκτος, οὐ καθὸ οὐκ ἔχει.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 13] Οὐ γὰρ ἵνα ἄλλοις ἄνεσις, ὑμῖν δὲ θλίψις· ἀλλ᾿ ἐξ ἰσότητος, ἐν τῷ νῦν καιρῷ τὸ ὑμῶν περίσσευμα εἰς τὸ ἐκείνων ὑστέρημα,
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 14] ἵνα καὶ τὸ ἐκείνων περίσσευμα γένηται εἰς τὸ ὑμῶν ὑστέρημα· ὅπως γένηται ἰσότης,
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 15] καθὼς γέγραπται, Ὁ τὸ πολύ, οὐκ ἐπλεόνασε· καὶ ὁ τὸ ὀλίγον, οὐκ ἠλαττόνησε.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 16] Χάρις δὲ τῷ Θεῷ τῷ διδόντι τὴν αὐτὴν σπουδὴν ὑπὲρ ὑμῶν ἐν τῇ καρδίᾳ Τίτου.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 17] Ὅτι τὴν μὲν παράκλησιν ἐδέξατο, σπουδαιότερος δὲ ὑπάρχων, αὐθαίρετος ἐξῆλθε πρὸς ὑμᾶς.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 18] Συνεπέμψαμεν δὲ μετ᾿ αὐτοῦ τὸν ἀδελφόν, οὗ ὁ ἔπαινος ἐν τῷ εὐαγγελίῳ διὰ πασῶν τῶν ἐκκλησιῶν·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 8 | Verse 19] οὐ μόνον δέ, ἀλλὰ καὶ χειροτονηθεὶς ὑπὸ τῶν ἐκκλησιῶν συνέκδημος ἡμῶν σὺν τῇ χάριτι ταύτῃ τῇ διακονουμένῃ ὑφ᾿ ἡμῶν πρὸς τὴν αὐτοῦ τοῦ Κυρίου δόξαν καὶ προθυμίαν ὑμῶν·
