[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 1] Τρίτον τοῦτο ἔρχομαι πρὸς ὑμᾶς. Ἐπὶ στόματος δύο μαρτύρων καὶ τριῶν σταθήσεται πᾶν ῥῆμα.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 2] Προείρηκα καὶ προλέγω, ὡς παρὼν τὸ δεύτερον, καὶ ἀπὼν νῦν γράφω τοῖς προημαρτηκόσι καὶ τοῖς λοιποῖς πᾶσιν, ὅτι ἐὰν ἔλθω εἰς τὸ πάλιν, οὐ φείσομαι·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 3] ἐπεὶ δοκιμὴν ζητεῖτε τοῦ ἐν ἐμοὶ λαλοῦντος Χριστοῦ, ὃς εἰς ὑμᾶς οὐκ ἀσθενεῖ, ἀλλὰ δυνατεῖ ἐν ὑμῖν·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 4] καὶ γὰρ εἰ ἐσταυρώθη ἐξ ἀσθενείας, ἀλλὰ ζῇ ἐκ δυνάμεως Θεοῦ. Καὶ γὰρ + 13:4 καὶ ¦ — ST καὶ ἡμεῖς ἀσθενοῦμεν ἐν αὐτῷ, ἀλλὰ ζησόμεθα σὺν αὐτῷ ἐκ δυνάμεως Θεοῦ εἰς ὑμᾶς.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 5] Ἑαυτοὺς πειράζετε εἰ ἐστὲ ἐν τῇ πίστει, ἑαυτοὺς δοκιμάζετε. Ἢ οὐκ ἐπιγινώσκετε ἑαυτούς, ὅτι Ἰησοῦς Χριστὸς ἐν ὑμῖν ἐστίν; Εἰ μήτι ἀδόκιμοί ἐστε.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 6] Ἐλπίζω δὲ ὅτι γνώσεσθε ὅτι ἡμεῖς οὐκ ἐσμὲν ἀδόκιμοι.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 7] Εὔχομαι δὲ πρὸς τὸν Θεόν, μὴ ποιῆσαι ὑμᾶς κακὸν μηδέν, οὐχ ἵνα ἡμεῖς δόκιμοι φανῶμεν, ἀλλ᾿ ἵνα ὑμεῖς τὸ καλὸν ποιῆτε, ἡμεῖς δὲ ὡς ἀδόκιμοι ὦμεν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 8] Οὐ γὰρ δυνάμεθά τι κατὰ τῆς ἀληθείας, ἀλλ᾿ ὑπὲρ τῆς ἀληθείας.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 9] Χαίρομεν γὰρ ὅταν ἡμεῖς ἀσθενῶμεν, ὑμεῖς δὲ δυνατοὶ ἦτε· τοῦτο δὲ καὶ εὐχόμεθα, τὴν ὑμῶν κατάρτισιν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 10] Διὰ τοῦτο ταῦτα ἀπὼν γράφω, ἵνα παρὼν μὴ ἀποτόμως χρήσωμαι, κατὰ τὴν ἐξουσίαν ἣν ἔδωκέ μοι ὁ Κύριος εἰς οἰκοδομήν, καὶ οὐκ εἰς καθαίρεσιν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 11] Λοιπόν, ἀδελφοί, χαίρετε· καταρτίζεσθε, παρακαλεῖσθε, τὸ αὐτὸ φρονεῖτε, εἰρηνεύετε· καὶ ὁ Θεὸς τῆς ἀγάπης καὶ εἰρήνης ἔσται μεθ᾿ ὑμῶν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 12] Ἀσπάσασθε ἀλλήλους ἐν ἁγίῳ φιλήματι.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 13] Ἀσπάζονται ὑμᾶς οἱ ἅγιοι πάντες.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 13 | Verse 14] Ἡ χάρις τοῦ Κυρίου Ἰησοῦ Χριστοῦ, καὶ ἡ ἀγάπη τοῦ Θεοῦ, καὶ ἡ κοινωνία τοῦ ἁγίου πνεύματος μετὰ πάντων ὑμῶν. Ἀμήν. Πρὸς Κορινθίους δευτέρα ἐγράφη ἀπὸ Φιλίππων τῆς Μακεδονίας διὰ Τίτου καὶ Λουκᾶ.
