[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 1] Ὄφελον + 11:1 ἀνείχεσθέ ¦ ἠνείχεσθέ ELZ ἀνείχεσθέ μου + 11:1 μικρὸν τῇ ἀφροσύνῃ ¦ μικρόν τι τῆς ἀφροσύνης ELZ μικρὸν τῇ ἀφροσύνῃ· ἀλλὰ καὶ ἀνέχεσθέ μου.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 2] Ζηλῶ γὰρ ὑμᾶς Θεοῦ ζήλῳ· ἡρμοσάμην γὰρ ὑμᾶς ἑνὶ ἀνδρὶ παρθένον ἁγνὴν παραστῆσαι τῷ Χριστῷ.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 3] Φοβοῦμαι δὲ μήπως ὡς ὁ ὄφις Εὔαν ἐξηπάτησεν ἐν τῇ πανουργίᾳ αὐτοῦ, οὕτω φθαρῇ τὰ νοήματα ὑμῶν ἀπὸ τῆς ἁπλότητος τῆς εἰς τὸν Χριστόν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 4] Εἰ μὲν γὰρ ὁ ἐρχόμενος ἄλλον Ἰησοῦν κηρύσσει ὃν οὐκ ἐκηρύξαμεν, ἢ πνεῦμα ἕτερον λαμβάνετε ὃ οὐκ ἐλάβετε, ἢ εὐαγγέλιον ἕτερον ὃ οὐκ ἐδέξασθε, καλῶς ἠνείχεσθε.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 5] Λογίζομαι γὰρ μηδὲν ὑστερηκέναι τῶν ὑπὲρ λίαν ἀποστόλων.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 6] Εἰ δὲ καὶ ἰδιώτης τῷ λόγῳ, ἀλλ᾿ οὐ τῇ γνώσει· ἀλλ᾿ ἐν παντὶ φανερωθέντες ἐν πᾶσιν εἰς ὑμᾶς.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 7] Ἢ ἁμαρτίαν ἐποίησα ἐμαυτὸν ταπεινῶν ἵνα ὑμεῖς ὑψωθῆτε, ὅτι δωρεὰν τὸ τοῦ Θεοῦ εὐαγγέλιον εὐηγγελισάμην ὑμῖν;
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 8] Ἄλλας ἐκκλησίας ἐσύλησα, λαβὼν ὀψώνιον πρὸς τὴν ὑμῶν διακονίαν·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 9] καὶ παρὼν πρὸς ὑμᾶς καὶ ὑστερηθείς, οὐ κατενάρκησα οὐδενός· τὸ γὰρ ὑστέρημά μου προσανεπλήρωσαν οἱ ἀδελφοί, ἐλθόντες ἀπὸ Μακεδονίας· καὶ ἐν παντὶ ἀβαρῆ ὑμῖν ἐμαυτὸν ἐτήρησα καὶ τηρήσω.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 10] Ἔστιν ἀλήθεια Χριστοῦ ἐν ἐμοί, ὅτι ἡ καύχησις αὕτη οὐ + 11:10 φραγήσεται ¦ σφραγίσεται ST φραγήσεται εἰς ἐμὲ ἐν τοῖς κλίμασι τῆς Ἀχαΐας.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 11] Διὰ τί; Ὅτι οὐκ ἀγαπῶ ὑμᾶς; Ὁ Θεὸς οἶδεν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 12] Ὃ δὲ ποιῶ, καὶ ποιήσω, ἵνα ἐκκόψω τὴν ἀφορμὴν τῶν θελόντων ἀφορμήν, ἵνα ἐν ᾧ καυχῶνται, εὑρεθῶσι καθὼς καὶ ἡμεῖς.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 13] Οἱ γὰρ τοιοῦτοι ψευδαπόστολοι, ἐργάται δόλιοι, μετασχηματιζόμενοι εἰς ἀποστόλους Χριστοῦ.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 14] Καὶ οὐ θαυμαστόν· αὐτὸς γὰρ ὁ Σατανᾶς μετασχηματίζεται εἰς ἄγγελον φωτός.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 15] Οὐ μέγα οὖν εἰ καὶ οἱ διάκονοι αὐτοῦ μετασχηματίζονται ὡς διάκονοι δικαιοσύνης, ὧν τὸ τέλος ἔσται κατὰ τὰ ἔργα αὐτῶν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 16] Πάλιν λέγω, μή τίς με δόξῃ ἄφρονα εἶναι· εἰ δὲ μήγε, κἂν ὡς ἄφρονα δέξασθέ με, ἵνα μικρόν τι κἀγὼ καυχήσωμαι.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 17] Ὃ λαλῶ, οὐ λαλῶ κατὰ Κύριον, ἀλλ᾿ ὡς ἐν ἀφροσύνῃ, ἐν ταύτῃ τῇ ὑποστάσει τῆς καυχήσεως.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 18] Ἐπεὶ πολλοὶ καυχῶνται κατὰ τὴν σάρκα, κἀγὼ καυχήσομαι.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 19] Ἡδέως γὰρ ἀνέχεσθε τῶν ἀφρόνων, φρόνιμοι ὄντες.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 20] Ἀνέχεσθε γάρ, εἴ τις ὑμᾶς καταδουλοῖ, εἴ τις κατεσθίει, εἴ τις λαμβάνει, εἴ τις ἐπαίρεται, εἴ τις ὑμᾶς εἰς πρόσωπον δέρει.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 21] Κατὰ ἀτιμίαν λέγω, ὡς ὅτι ἡμεῖς ἠσθενήσαμεν· ἐν ᾧ δ᾿ ἄν τις τολμᾷ — ἐν ἀφροσύνῃ λέγω — τολμῶ κἀγώ.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 22] Ἑβραῖοί εἰσι; Κἀγώ. Ἰσραηλῖταί εἰσι; Κἀγώ. Σπέρμα Ἀβραάμ εἰσι; Κἀγώ.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 23] Διάκονοι Χριστοῦ εἰσι; — παραφρονῶν λαλῶ — Ὑπὲρ ἐγώ. Ἐν κόποις περισσοτέρως, ἐν πληγαῖς ὑπερβαλλόντως, ἐν φυλακαῖς περισσοτέρως, ἐν θανάτοις πολλάκις,
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 24] ὑπὸ Ἰουδαίων πεντάκις τεσσαράκοντα παρὰ μίαν ἔλαβον.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 25] Τρὶς ἐρραβδίσθην, ἅπαξ ἐλιθάσθην, τρὶς ἐναυάγησα, νυχθήμερον ἐν τῷ βυθῷ πεποίηκα·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 26] ὁδοιπορίαις πολλάκις, κινδύνοις ποταμῶν, κινδύνοις λῃστῶν, κινδύνοις ἐκ γένους, κινδύνοις ἐξ ἐθνῶν, κινδύνοις ἐν πόλει, κινδύνοις ἐν ἐρημίᾳ, κινδύνοις ἐν θαλάσσῃ, κινδύνοις ἐν ψευδαδέλφοις·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 27] ἐν κόπῳ καὶ μόχθῳ, ἐν ἀγρυπνίαις πολλάκις, ἐν λιμῷ καὶ δίψει, ἐν νηστείαις πολλάκις, ἐν ψύχει καὶ γυμνότητι.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 28] Χωρὶς τῶν παρεκτός, ἡ ἐπισύστασίς μου ἡ καθ᾿ ἡμέραν, ἡ μέριμνα πασῶν τῶν ἐκκλησιῶν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 29] Τίς ἀσθενεῖ, καὶ οὐκ ἀσθενῶ; Τίς σκανδαλίζεται, καὶ οὐκ ἐγὼ πυροῦμαι;
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 30] Εἰ καυχᾶσθαι δεῖ, τὰ τῆς ἀσθενείας μου καυχήσομαι.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 31] Ὁ Θεὸς καὶ πατὴρ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ οἶδεν, ὁ ὢν εὐλογητὸς εἰς τοὺς αἰῶνας, ὅτι οὐ ψεύδομαι.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 32] Ἐν Δαμασκῷ ὁ ἐθνάρχης Ἀρέτα τοῦ βασιλέως ἐφρούρει τὴν Δαμασκηνῶν πόλιν, πιάσαι με θέλων·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 11 | Verse 33] καὶ διὰ θυρίδος ἐν σαργάνῃ ἐχαλάσθην διὰ τοῦ τείχους καὶ ἐξέφυγον τὰς χεῖρας αὐτοῦ.
