[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 1] Οἴδαμεν γὰρ ὅτι ἐὰν ἡ ἐπίγειος ἡμῶν οἰκία τοῦ σκήνους καταλυθῇ, οἰκοδομὴν ἐκ Θεοῦ ἔχομεν, οἰκίαν ἀχειροποίητον, αἰώνιον ἐν τοῖς οὐρανοῖς.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 2] Καὶ γὰρ ἐν τούτῳ στενάζομεν, τὸ οἰκητήριον ἡμῶν τὸ ἐξ οὐρανοῦ ἐπενδύσασθαι ἐπιποθοῦντες·
[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 3] εἴγε καὶ ἐνδυσάμενοι οὐ γυμνοὶ εὑρεθησόμεθα.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 4] Καὶ γὰρ οἱ ὄντες ἐν τῷ σκήνει στενάζομεν βαρούμενοι· + 5:4 ἐφ᾿ ᾧ ¦ ἐπειδὴ ST ἐφ᾿ ᾧ οὐ θέλομεν ἐκδύσασθαι, ἀλλ᾿ ἐπενδύσασθαι, ἵνα καταποθῇ τὸ θνητὸν ὑπὸ τῆς ζωῆς.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 5] Ὁ δὲ κατεργασάμενος ἡμᾶς εἰς αὐτὸ τοῦτο Θεός, ὁ καὶ δοὺς ἡμῖν τὸν ἀρραβῶνα τοῦ πνεύματος.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 6] Θαρροῦντες οὖν πάντοτε, καὶ εἰδότες ὅτι ἐνδημοῦντες ἐν τῷ σώματι ἐκδημοῦμεν ἀπὸ τοῦ Κυρίου —
[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 7] διὰ πίστεως γὰρ περιπατοῦμεν, οὐ διὰ εἴδους —
[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 8] θαρροῦμεν δέ, καὶ εὐδοκοῦμεν μᾶλλον ἐκδημῆσαι ἐκ τοῦ σώματος, καὶ ἐνδημῆσαι πρὸς τὸν Κύριον.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 9] Διὸ καὶ φιλοτιμούμεθα, εἴτε ἐνδημοῦντες, εἴτε ἐκδημοῦντες, εὐάρεστοι αὐτῷ εἶναι.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 10] Τοὺς γὰρ πάντας ἡμᾶς φανερωθῆναι δεῖ ἔμπροσθεν τοῦ βήματος τοῦ Χριστοῦ, ἵνα κομίσηται ἕκαστος τὰ διὰ τοῦ σώματος, πρὸς ἃ ἔπραξεν, εἴτε ἀγαθόν, εἴτε κακόν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 11] Εἰδότες οὖν τὸν φόβον τοῦ Κυρίου ἀνθρώπους πείθομεν, Θεῷ δὲ πεφανερώμεθα· ἐλπίζω δὲ καὶ ἐν ταῖς συνειδήσεσιν ὑμῶν πεφανερῶσθαι.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 12] Οὐ γὰρ πάλιν ἑαυτοὺς συνιστάνομεν ὑμῖν, ἀλλὰ ἀφορμὴν διδόντες ὑμῖν καυχήματος ὑπὲρ ἡμῶν, ἵνα ἔχητε πρὸς τοὺς ἐν προσώπῳ καυχωμένους καὶ οὐ καρδίᾳ.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 13] Εἴτε γὰρ ἐξέστημεν, Θεῷ· εἴτε σωφρονοῦμεν, ὑμῖν.
[GRCGTR | EL | NT | 2 Corinthians | Chapter 5 | Verse 14] Ἡ γὰρ ἀγάπη τοῦ Χριστοῦ συνέχει ἡμᾶς, κρίναντας τοῦτο, ὅτι εἰ εἷς ὑπὲρ πάντων ἀπέθανεν, ἄρα οἱ πάντες ἀπέθανον·
