[IRV | TE | OT | Nahum | Chapter 1 | Verse 1] ఇది నీనెవె పట్టణం గురించిన దేవుని వాక్కు. ఎల్కోషు నివాసి నహూముకు కలిగిన దర్శనాన్ని వివరించే గ్రంథం.
[IRV | TE | OT | Nahum | Chapter 1 | Verse 2] యెహోవా రోషం గలవాడు. ఆయన ప్రతీకారం చేస్తాడు. ఆయన తీవ్రమైన కోపంతో ఉన్నాడు. యెహోవా తన శత్రువులపై ప్రతీకారం చేస్తాడు. ఆయనకు విరోధంగా ప్రవర్తించే వారి మీద కోపం తెచ్చుకుంటాడు.
[IRV | TE | OT | Nahum | Chapter 1 | Verse 3] యెహోవా తొందరగా కోపం తెచ్చుకోడు. ఆయన సర్వ శక్తిశాలి. దోషులను ఆయన నిర్దోషులుగా చూడడు. యెహోవా తుఫానులో నుండి, సుడిగాలిలో నుండి వస్తాడు. మేఘాలు ఆయన కాలి కింద మన్ను లాగా ఉన్నాయి.
[IRV | TE | OT | Nahum | Chapter 1 | Verse 4] ఉప్పొంగే సముద్రాన్ని ఆయన గద్దించి ఆణిగిపోయేలా చేస్తాడు. నదులన్నీ ఎండిపోయేలా చేస్తాడు. బాషాను, కర్మెలు వాడిపోతాయి. లెబానోను పువ్వులు వాడిపోతాయి.
[IRV | TE | OT | Nahum | Chapter 1 | Verse 5] ఆయనపట్ల కలిగిన భయం వల్ల పర్వతాలు కదిలిపోతాయి. కొండలు కనిపించకుండా కరిగి పోతాయి. ఆయన ఎదుట నిలువలేక భూమి వణికిపోతుంది. భూమి, దానిపై నివసించేవారంతా ఆయన అంటే భయపడతారు.
[IRV | TE | OT | Nahum | Chapter 1 | Verse 6] ఆయన తీవ్రమైన కోపాన్ని తట్టుకోగలిగేవాడు ఎవడు? ఆయన ఉగ్రత ఎదుట ఎవ్వరూ నిలబడలేరు. ఆయన కోపం అగ్ని ప్రవాహంలాగా పారుతుంది. ఆయన కొండలను బద్దలయ్యేలా చేస్తాడు.
[IRV | TE | OT | Nahum | Chapter 1 | Verse 7] యెహోవా ఉత్తముడు, బాధ కలిగినప్పుడు ఆయన ఆశ్రయం కలిగిస్తాడు. తనపై నమ్మకం ఉంచేవాళ్ళు ఆయనకు తెలుసు.
[IRV | TE | OT | Nahum | Chapter 1 | Verse 8] పొంగి పొర్లుతున్న నీళ్ళలాగా ఆయన ఆ నగరాన్ని నాశనం చేస్తాడు. తన శత్రువులు చీకటిలోకి పారిపోయే వరకూ ఆయన తరుముతాడు.
[IRV | TE | OT | Nahum | Chapter 1 | Verse 9] యెహోవాను గూర్చి మీరు పన్నుతున్న కుట్రలేమిటి? రెండవసారి ఆపద కలగకుండా ఆయన దాన్ని పూర్తిగా నివారిస్తాడు.
[IRV | TE | OT | Nahum | Chapter 1 | Verse 10] శత్రువులు ద్రాక్షారసం తాగి మత్తెక్కి ముళ్ళకంపల్లాగా చిక్కుబడి పోయి ఎండిపోయిన చెత్తలాగా కాలిపోతారు.
[IRV | TE | OT | Nahum | Chapter 1 | Verse 11] నీనెవే పట్టణమా, నీలో నుండి ఒకడు బయలుదేరాడు. వాడు యెహోవా మీద దురాలోచన చేసి వ్యర్థమైన సంగతులు బోధిస్తాడు.
[IRV | TE | OT | Nahum | Chapter 1 | Verse 12] యెహోవా చెబుతున్నదేమిటంటే, వాళ్ళు బలప్రభావాలు కలిగిన విస్తారమైన జనమైనప్పటికీ కోత కాలంలో పంట కోత జరిగినప్పుడు అంతా నాశనమైపోతారు. యూదా, నేను నిన్ను బాధ పెట్టినట్టు ఇక ఎన్నడూ బాధపెట్టను.
[IRV | TE | OT | Nahum | Chapter 1 | Verse 13] వాళ్ళు మీపై మోపిన కాడిని విరిచివేస్తాను. వారి బంధకాలను తెంచివేస్తాను.
[IRV | TE | OT | Nahum | Chapter 1 | Verse 14] నీనెవే పట్టణమా, నీ గురించి యెహోవా ఇచ్చే ఆజ్ఞ ఏమిటంటే, నీ పేరు పెట్టుకొనేవాళ్ళు ఇకపై పుట్టరు. నీ ఆలయాల్లో చెక్కిన విగ్రహాలను, పోతవిగ్రహాలను ఒక్కటి కూడా లేకుండా అన్నిటినీ నాశనం చేస్తాను. నువ్వు నీచుడవు గనక నీకు సమాధి సిద్ధం చేస్తున్నాను.
