[WEB | EN | OT | Joshua | Chapter 11 | Verse 1] When Jabin king of Hazor heard of it, he sent to Jobab king of Madon, to the king of Shimron, to the king of Achshaph,
[WEB | EN | OT | Joshua | Chapter 11 | Verse 2] and to the kings who were on the north, in the hill country, in the Arabah south of Chinneroth, in the lowland, and in the heights of Dor on the west,
[WEB | EN | OT | Joshua | Chapter 11 | Verse 3] to the Canaanite on the east and on the west, the Amorite, the Hittite, the Perizzite, the Jebusite in the hill country, and the Hivite under Hermon in the land of Mizpah.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 4] They went out, they and all their armies with them, many people, even as the sand that is on the seashore in multitude, with very many horses and chariots.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 5] All these kings met together; and they came and encamped together at the waters of Merom, to fight with Israel.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 6] The LORD said to Joshua, “Don’t be afraid because of them; for tomorrow at this time, I will deliver them up all slain before Israel. You shall hamstring their horses and burn their chariots with fire.”
[WEB | EN | OT | Joshua | Chapter 11 | Verse 7] So Joshua came suddenly, with all the warriors, against them by the waters of Merom, and attacked them.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 8] The LORD delivered them into the hand of Israel, and they struck them, and chased them to great Sidon, and to Misrephoth Maim, and to the valley of Mizpah eastward. They struck them until they left them no one remaining.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 9] Joshua did to them as the LORD told him. He hamstrung their horses and burned their chariots with fire.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 10] Joshua turned back at that time, and took Hazor, and struck its king with the sword; for Hazor used to be the head of all those kingdoms.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 11] They struck all the souls who were in it with the edge of the sword, utterly destroying them. There was no one left who breathed. He burned Hazor with fire.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 12] Joshua captured all the cities of those kings, with their kings, and he struck them with the edge of the sword, and utterly destroyed them, as Moses the servant of the LORD commanded.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 13] But as for the cities that stood on their mounds, Israel burned none of them, except Hazor only. Joshua burned that.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 14] The children of Israel took all the plunder of these cities, with the livestock, as plunder for themselves; but every man they struck with the edge of the sword, until they had destroyed them. They didn’t leave any who breathed.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 15] As the LORD commanded Moses his servant, so Moses commanded Joshua. Joshua did so. He left nothing undone of all that the LORD commanded Moses.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 16] So Joshua captured all that land, the hill country, all the South, all the land of Goshen, the lowland, the Arabah, the hill country of Israel, and the lowland of the same,
[WEB | EN | OT | Joshua | Chapter 11 | Verse 17] from Mount Halak, that goes up to Seir, even to Baal Gad in the valley of Lebanon under Mount Hermon. He took all their kings, struck them, and put them to death.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 18] Joshua made war a long time with all those kings.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 19] There was not a city that made peace with the children of Israel, except the Hivites, the inhabitants of Gibeon. They took all in battle.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 20] For it was of the LORD to harden their hearts, to come against Israel in battle, that he might utterly destroy them, that they might have no favor, but that he might destroy them, as the LORD commanded Moses.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 21] Joshua came at that time, and cut off the Anakim from the hill country, from Hebron, from Debir, from Anab, and from all the hill country of Judah, and from all the hill country of Israel. Joshua utterly destroyed them with their cities.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 22] There were none of the Anakim left in the land of the children of Israel. Only in Gaza, in Gath, and in Ashdod, did some remain.
[WEB | EN | OT | Joshua | Chapter 11 | Verse 23] So Joshua took the whole land, according to all that the LORD spoke to Moses; and Joshua gave it for an inheritance to Israel according to their divisions by their tribes. Then the land had rest from war.
