[WEB | EN | OT | Joshua | Chapter 19 | Verse 1] The second lot came out for Simeon, even for the tribe of the children of Simeon according to their families. Their inheritance was in the middle of the inheritance of the children of Judah.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 2] They had for their inheritance Beersheba (or Sheba), Moladah,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 3] Hazar Shual, Balah, Ezem,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 4] Eltolad, Bethul, Hormah,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 5] Ziklag, Beth Marcaboth, Hazar Susah,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 6] Beth Lebaoth, and Sharuhen; thirteen cities with their villages;
[WEB | EN | OT | Joshua | Chapter 19 | Verse 7] Ain, Rimmon, Ether, and Ashan; four cities with their villages;
[WEB | EN | OT | Joshua | Chapter 19 | Verse 8] and all the villages that were around these cities to Baalath Beer, Ramah of the South. This is the inheritance of the tribe of the children of Simeon according to their families.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 9] Out of the part of the children of Judah was the inheritance of the children of Simeon; for the portion of the children of Judah was too much for them. Therefore the children of Simeon had inheritance in the middle of their inheritance.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 10] The third lot came up for the children of Zebulun according to their families. The border of their inheritance was to Sarid.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 11] Their border went up westward, even to Maralah, and reached to Dabbesheth. It reached to the brook that is before Jokneam.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 12] It turned from Sarid eastward toward the sunrise to the border of Chisloth Tabor. It went out to Daberath, and went up to Japhia.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 13] From there it passed along eastward to Gath Hepher, to Ethkazin; and it went out at Rimmon which stretches to Neah.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 14] The border turned around it on the north to Hannathon; and it ended at the valley of Iphtah El;
[WEB | EN | OT | Joshua | Chapter 19 | Verse 15] Kattath, Nahalal, Shimron, Idalah, and Bethlehem: twelve cities with their villages.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 16] This is the inheritance of the children of Zebulun according to their families, these cities with their villages.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 17] The fourth lot came out for Issachar, even for the children of Issachar according to their families.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 18] Their border was to Jezreel, Chesulloth, Shunem,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 19] Hapharaim, Shion, Anaharath,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 20] Rabbith, Kishion, Ebez,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 21] Remeth, Engannim, En Haddah, and Beth Pazzez.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 22] The border reached to Tabor, Shahazumah, and Beth Shemesh. Their border ended at the Jordan: sixteen cities with their villages.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 23] This is the inheritance of the tribe of the children of Issachar according to their families, the cities with their villages.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 24] The fifth lot came out for the tribe of the children of Asher according to their families.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 25] Their border was Helkath, Hali, Beten, Achshaph,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 26] Allammelech, Amad, Mishal. It reached to Carmel westward, and to Shihorlibnath.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 27] It turned toward the sunrise to Beth Dagon, and reached to Zebulun, and to the valley of Iphtah El northward to Beth Emek and Neiel. It went out to Cabul on the left hand,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 28] and Ebron, Rehob, Hammon, and Kanah, even to great Sidon.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 29] The border turned to Ramah, to the fortified city of Tyre; and the border turned to Hosah. It ended at the sea by the region of Achzib;
[WEB | EN | OT | Joshua | Chapter 19 | Verse 30] Ummah also, and Aphek, and Rehob: twenty-two cities with their villages.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 31] This is the inheritance of the tribe of the children of Asher according to their families, these cities with their villages.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 32] The sixth lot came out for the children of Naphtali, even for the children of Naphtali according to their families.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 33] Their border was from Heleph, from the oak in Zaanannim, Adami-nekeb, and Jabneel, to Lakkum. It ended at the Jordan.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 34] The border turned westward to Aznoth Tabor, and went out from there to Hukkok. It reached to Zebulun on the south, and reached to Asher on the west, and to Judah at the Jordan toward the sunrise.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 35] The fortified cities were Ziddim, Zer, Hammath, Rakkath, Chinnereth,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 36] Adamah, Ramah, Hazor,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 37] Kedesh, Edrei, En Hazor,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 38] Iron, Migdal El, Horem, Beth Anath, and Beth Shemesh; nineteen cities with their villages.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 39] This is the inheritance of the tribe of the children of Naphtali according to their families, the cities with their villages.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 40] The seventh lot came out for the tribe of the children of Dan according to their families.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 41] The border of their inheritance was Zorah, Eshtaol, Irshemesh,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 42] Shaalabbin, Aijalon, Ithlah,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 43] Elon, Timnah, Ekron,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 44] Eltekeh, Gibbethon, Baalath,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 45] Jehud, Bene Berak, Gath Rimmon,
[WEB | EN | OT | Joshua | Chapter 19 | Verse 46] Me Jarkon, and Rakkon, with the border opposite Joppa.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 47] The border of the children of Dan went out beyond them; for the children of Dan went up and fought against Leshem, and took it, and struck it with the edge of the sword, and possessed it, and lived therein, and called Leshem, Dan, after the name of Dan their forefather.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 48] This is the inheritance of the tribe of the children of Dan according to their families, these cities with their villages.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 49] So they finished distributing the land for inheritance by its borders. The children of Israel gave an inheritance to Joshua the son of Nun among them.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 50] According to the LORD’s commandment, they gave him the city which he asked, even Timnathserah in the hill country of Ephraim; and he built the city, and lived there.
[WEB | EN | OT | Joshua | Chapter 19 | Verse 51] These are the inheritances, which Eleazar the priest, Joshua the son of Nun, and the heads of the fathers’ houses of the tribes of the children of Israel, distributed for inheritance by lot in Shiloh before the LORD, at the door of the Tent of Meeting. So they finished dividing the land.
