[WEB | EN | OT | Joshua | Chapter 15 | Verse 1] The lot for the tribe of the children of Judah according to their families was to the border of Edom, even to the wilderness of Zin southward, at the uttermost part of the south.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 2] Their south border was from the uttermost part of the Salt Sea, from the bay that looks southward;
[WEB | EN | OT | Joshua | Chapter 15 | Verse 3] and it went out southward of the ascent of Akrabbim, and passed along to Zin, and went up by the south of Kadesh Barnea, and passed along by Hezron, went up to Addar, and turned toward Karka;
[WEB | EN | OT | Joshua | Chapter 15 | Verse 4] and it passed along to Azmon, went out at the brook of Egypt; and the border ended at the sea. This shall be your south border.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 5] The east border was the Salt Sea, even to the end of the Jordan. The border of the north quarter was from the bay of the sea at the end of the Jordan.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 6] The border went up to Beth Hoglah, and passed along by the north of Beth Arabah; and the border went up to the stone of Bohan the son of Reuben.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 7] The border went up to Debir from the valley of Achor, and so northward, looking toward Gilgal, that faces the ascent of Adummim, which is on the south side of the river. The border passed along to the waters of En Shemesh, and ended at En Rogel.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 8] The border went up by the valley of the son of Hinnom to the side of the Jebusite (also called Jerusalem) southward; and the border went up to the top of the mountain that lies before the valley of Hinnom westward, which is at the farthest part of the valley of Rephaim northward.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 9] The border extended from the top of the mountain to the spring of the waters of Nephtoah, and went out to the cities of Mount Ephron; and the border extended to Baalah (also called Kiriath Jearim);
[WEB | EN | OT | Joshua | Chapter 15 | Verse 10] and the border turned about from Baalah westward to Mount Seir, and passed along to the side of Mount Jearim (also called Chesalon) on the north, and went down to Beth Shemesh, and passed along by Timnah;
[WEB | EN | OT | Joshua | Chapter 15 | Verse 11] and the border went out to the side of Ekron northward; and the border extended to Shikkeron, and passed along to Mount Baalah, and went out at Jabneel; and the goings out of the border were at the sea.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 12] The west border was to the shore of the great sea. This is the border of the children of Judah according to their families.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 13] He gave to Caleb the son of Jephunneh a portion among the children of Judah, according to the commandment of the LORD to Joshua, even Kiriath Arba, named after the father of Anak (also called Hebron).
[WEB | EN | OT | Joshua | Chapter 15 | Verse 14] Caleb drove out the three sons of Anak: Sheshai, and Ahiman, and Talmai, the children of Anak.
