[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 1] I therefore, the prisoner of the Lord, beseech you that ye walk worthy of the vocation by which ye are called,
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 2] With all lowliness and meekness, with long-suffering, forbearing one another in love;
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 3] Endeavoring to keep the unity of the Spirit in the bond of peace.
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 4] There is one body, and one Spirit, even as ye are called in one hope of your calling;
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 5] One Lord, one faith, one baptism,
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 6] One God and Father of all, who is above all, and through all, and in you all.
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 7] But to every one of us is given grace according to the measure of the gift of Christ.
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 8] Wherefore he saith, When he ascended on high, he led captivity captive, and gave gifts to men.
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 9] Now that he ascended, what is it but that he also descended first into the lower parts of the earth?
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 10] He that descended is the same also that ascended far above all heavens, that he might fill all things.
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 11] And he gave some, apostles; and some, prophets; and some, evangelists; and some, pastors and teachers;
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 12] For the perfecting of the saints, for the work of the ministry, for the edifying of the body of Christ:
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 13] Till we all come in the unity of the faith, and of the knowledge of the Son of God, to a perfect man, to the measure of the stature of the fullness of Christ:
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 14] That we henceforth be no more children, tossed to and fro, and carried about with every wind of doctrine, by the sleight of men, and cunning craftiness, by which they lie in wait to deceive:
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 15] But speaking the truth in love, may grow up into him in all things, who is the head, even Christ:
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 16] From whom the whole body fitly joined together and compacted by that which every joint supplieth, according to the effectual working in the measure of every part, maketh increase of the body to the edifying of itself in love.
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 17] This I say therefore, and testify in the Lord, that ye henceforth walk not as other Gentiles walk, in the vanity of their mind,
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 18] Having the understanding darkened, being alienated from the life of God through the ignorance that is in them, because of the blindness of their heart:
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 19] Who being past feeling have given themselves over to lasciviousness, to work all uncleanness with greediness.
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 20] But ye have not so learned Christ;
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 21] If indeed ye have heard him, and have been taught by him, as the truth is in Jesus:
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 22] That ye put off concerning the former manner of life the old man, which is corrupt according to the deceitful lusts:
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 23] And be renewed in the Spirit of your mind;
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 24] And that ye put on the new man, which after God is created in righteousness and true holiness.
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 25] Wherefore putting away lying, speak every man truth with his neighbor: for we are members one of another.
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 26] Be ye angry, and sin not: let not the sun go down upon your wrath:
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 27] Neither give place to the devil.
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 28] Let him that stole steal no more: but rather let him labor, working with his hands the thing which is good, that he may have to give to him that needeth.
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 29] Let no corrupt communication proceed out of your mouth, but that which is good to the use of edifying, that it may minister grace to the hearers.
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 30] And grieve not the holy Spirit of God, whereby ye are sealed to the day of redemption.
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 31] Let all bitterness, and wrath, and anger, and clamor, and evil-speaking, be put away from you, with all malice:
[WEBSTER | EN | NT | Ephesians | Chapter 4 | Verse 32] And be ye kind one to another, tender-hearted, forgiving one another, even as God for Christ's sake hath forgiven you.
