[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 1] For this cause, I Paul, the prisoner of Jesus Christ for you Gentiles,
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 2] If ye have heard of the dispensation of the grace of God which is given me on your account.
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 3] That by revelation he made known to me the mystery, as I wrote before in few words;
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 4] By which when ye read, ye may understand my knowledge in the mystery of Christ,
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 5] Which in other ages was not made known to the sons of men, as it is now revealed to his holy apostles and prophets by the Spirit;
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 6] That the Gentiles should be joint-heirs, and of the same body, and partakers of his promise in Christ by the Gospel:
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 7] Of which I was made a minister, according to the gift of the grace of God given to me by the effectual working of his power.
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 8] To me, who am less than the least of all saints, is this grace given, that I should preach among the Gentiles the unsearchable riches of Christ;
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 9] And to make all men see what is the fellowship of the mystery, which from the beginning of the world hath been hid in God, who created all things by Jesus Christ:
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 10] To the intent that now to the principalities and powers in heavenly places might be known by the church the manifold wisdom of God,
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 11] According to the eternal purpose which he purposed in Christ Jesus our Lord:
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 12] In whom we have boldness and access with confidence by the faith of him,
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 13] Wherefore I desire that ye faint not at my tribulations for you, which is your glory.
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 14] For this cause I bow my knees to the Father of our Lord Jesus Christ,
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 15] Of whom the whole family in heaven and earth is named,
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 16] That he would grant you according to the riches of his glory to be strengthened with might by his Spirit in the inner man;
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 17] That Christ may dwell in your hearts by faith; that ye, being rooted and grounded in love,
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 18] May be able to comprehend with all saints what is the breadth, and length, and depth, and highth.
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 19] And to know the love of Christ, which passeth knowledge, that ye may be filled with all the fullness of God.
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 20] Now to him that is able to do exceeding abundantly above all that we ask or think, according to the power that worketh in us.
[WEBSTER | EN | NT | Ephesians | Chapter 3 | Verse 21] To him be glory in the church by Christ Jesus throughout all ages, world without end. Amen.
