[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 1] ΚΥΡΙΕ παντοκράτωπ, ὁ Θεὸς τῶν πατέρων ἡμῶν τοῦʼ Αβραὰμ καὶ Ἰσαὰκ καὶ Ἰακὼβ καὶ τοῦ σπέρματος αὐτῶν τοῦ δικαίου.
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 2] Ὁ ποιήσας τὸν οὐρανὸν καὶ τὴν γῆν σὺν πάντι τῷ κόσμῳ αὐτῶν.
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 3] Ὁ πεδήσας τὴν θάλασσαν τῷ λόγῳ τοῦ προστάγματός σου, ὁ κλείσας τὴν ἄβυσσον καὶ σφραγισάμενος αὐτὴν τῷ φοβερῷ καὶ ἐνδόξῳ ὀνόματί σου·
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 4] ὃν πάντα φρίσσει καὶ τρέμει ἀπὸ προσώπου δυνάμεώς σου,
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 5] ὅτι ἄστεκτος ἡ μεγαλοπρέπεια τῆς δόξης σου, καὶ ἀνυπόστατος ἡ ὀργὴ τῆς ἐπὶ ἁμαρτωλοὺς ἀπειλῆς σου·
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 6] ἀμέτρητόν τε καὶ ἀνεξιχνίαστον τὸ ἔλεος τῆς ἐπαγγελίας σου·
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 7] σὺ γὰρ εἶ Κύριος ὕψιστος, εὔσπλαγχνος, μακρόθυμος καὶ πολυέλεος, μετανοῶν ἐπὶ κακίαις ἀνθρώπων. Σὺ, Κύριε, κατὰ τὸ πλῆθος τῆς χρηστότητός σου ἐπηγγείλω μετάνοιαν καὶ ἄφεσιν τοῖς ἡμαρτηκόσιν σοι, καὶ τῷ πλήθει τῶν οἰκτιρμῶν σου ὥρισας μετάνοιαν ἁμαρτωλοῖς εἰς σωτηρίαν.
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 8] Σὺ οὖν, Κύριε, ὁ Θεὸς τῶν δικαίων, οὐκ ἔθου μετάνοιαν δικαίοις, τῷ Ἀβραὰμ καὶ Ἰσαὰκ καὶ Ἰακὼβ, τοῖς οὐχ ἡμαρτηκόσιν σοι,
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 9] Ἐπλήθυναν αἱ ἀνομίαι μου, Κύριε, ἐπλήθυναν, καὶ οὐκ εἰμὶ ἄξιος ἀτενίσαι καὶ ἰδεῖν τὸ ὕψος τοῦ οὐρανοῦ ἀπὸ πλήθους τῶν ἀδικιῶν μου,
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 10] κατακαμπτόμενος πολλῷ δεσμῷ σιδηρῷ εἰς τὸ μὴ ἀνανεῦσαι τὴν κεφαλήν μου, καὶ οὐκ ἔστιν μοι ἄνεσις, διότι παρώργισα τὸν θυμόν σου, καὶ τὸ πονηρὸν ἐνώπιόν σου ἐποίησα, μὴ ποιήσας τὸ θέλημά σου καὶ μὴ φυλάξας τὰ προστάγματά σου, στήσας βδελύγματα καὶ πληθύνας προσοχθίσματα.
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 11] Καὶ νῦν κλίνω γόνυ καρδίας μου δεόμενος τῆς παθὰ σοῦ χρηστότητος· ἡμάρτηκα,
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 12] Κύριε, ἡμάρτηκα, καὶ τὰς ἀνομίας μου ἐγὼ γινώσκω. Ἀλλʼ αἰτοῦμαι δεόμενός σου· ἄνες μοι,
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 13] Κύριε, ἄνες μοι, καὶ μὴ συναπολέσῃς με ταῖς ἀνομίαις μου, μηδὲ εἰς τὸν αἰῶνα μηνίσας τηρήσῃς τὰ κακά μαι, μηδὲ καταδικάσῃς με ἐν τοῖς κατωτάτοις τῆς γῆς, διότι σὺ εἶ Θεὸς, Θεὶς τῶν μετανοούντων.
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 14] Καὶ ἐν ἐμοὶ δείξεις πᾶσαν τῆν ἀγαθωσύνην σου, ὁτι ἀνάξιον ὄντα σώσεις με κατὰ τὸ πολὺ ἔλεός σου.
[LXX | EL | OT | Prayer of Manasseh | Chapter 1 | Verse 15] Καὶ αἰνέσω σε διὰ παντὸς ἐν ταῖς ἡμέραις τῆς ζωῆς μου, ὅτι σὲ ὑμνεῖ πᾶσα ἡ δύναμις τῶν οὐρανῶν, καὶ σοῦ ἐστὶν ἡ δόξα εἰς τοὺς αἰῶναι. Ἀμήν
