[BBE | EN | NT | Matthew | Chapter 15 | Verse 1] Then there came to Jesus from Jerusalem Pharisees and scribes, saying,
[BBE | EN | NT | Matthew | Chapter 15 | Verse 2] Why do your disciples go against the teaching of the fathers? for they take food with unwashed hands.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 3] And in answer he said to them, Why do you, yourselves, go against the word of God on account of the teaching which has been handed down to you?
[BBE | EN | NT | Matthew | Chapter 15 | Verse 4] For God said, Give honour to your father and mother: and, He who says evil of father or mother will be put to death.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 5] But you say, If a man says to his father or his mother, That by which you might have had profit from me is given to God;
[BBE | EN | NT | Matthew | Chapter 15 | Verse 6] There is no need for him to give honour to his father. And you have made the word of God without effect because of your teaching.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 7] You false ones, well did Isaiah say of you,
[BBE | EN | NT | Matthew | Chapter 15 | Verse 8] These people give me honour with their lips, but their heart is far from me.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 9] But their worship is to no purpose, while they give as their teaching the rules of men.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 10] And he got the people together and said to them, Give ear, and let my words be clear to you:
[BBE | EN | NT | Matthew | Chapter 15 | Verse 11] Not that which goes into the mouth makes a man unclean, but that which comes out of the mouth.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 12] Then the disciples came and said to him, Did you see that the Pharisees were troubled when these words came to their ears?
[BBE | EN | NT | Matthew | Chapter 15 | Verse 13] But he said in answer, Every plant which my Father in heaven has not put in the earth, will be taken up by the roots.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 14] Let them be: they are blind guides. And if a blind man is guiding a blind man, the two will go falling into a hole together.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 15] Then Peter said to him, Make the story clear to us.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 16] And he said, Are you, like them, still without wisdom?
[BBE | EN | NT | Matthew | Chapter 15 | Verse 17] Do you not see that whatever goes into the mouth goes on into the stomach, and is sent out as waste?
[BBE | EN | NT | Matthew | Chapter 15 | Verse 18] But the things which come out of the mouth come from the heart; and they make a man unclean.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 19] For out of the heart come evil thoughts, the taking of life, broken faith between the married, unclean desires of the flesh, taking of property, false witness, bitter words:
[BBE | EN | NT | Matthew | Chapter 15 | Verse 20] These are the things which make a man unclean; but to take food with unwashed hands does not make a man unclean.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 21] And Jesus went away from there into the country of Tyre and Sidon.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 22] And a woman of Canaan came out from those parts, crying and saying, Have pity on me, O Lord, Son of David; my daughter is greatly troubled with an unclean spirit.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 23] But he gave her no answer. And his disciples came and said to him, Send her away, for she is crying after us.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 24] But he made answer and said, I was sent only to the wandering sheep of the house of Israel.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 25] But she came and gave him worship, saying, Help, Lord.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 26] And he made answer and said, It is not right to take the children's bread and give it to the dogs.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 27] But she said, Yes, Lord: but even the dogs take the bits from under their masters' table.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 28] Then Jesus, answering, said to her, O woman, great is your faith: let your desire be done. And her daughter was made well from that hour.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 29] And Jesus went from there and came to the sea of Galilee; and he went up into the mountain, and took his seat there.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 30] And there came to him great numbers of people having with them those who were broken in body, or blind, or without voice, or wounded, or ill in any way, and a number of others; they put them down at his feet and he made them well:
[BBE | EN | NT | Matthew | Chapter 15 | Verse 31] So that the people were full of wonder when they saw that those who had no voice were talking, the feeble were made strong, those whose bodies were broken had the power of walking, and the blind were able to see: and they gave glory to the God of Israel.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 32] And Jesus got his disciples together and said, I have pity for the people, because they have now been with me three days and have no food: and I will not send them away without food, or they will have no strength for the journey.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 33] And the disciples say to him, How may we get enough bread in a waste place, to give food to such a number of people?
[BBE | EN | NT | Matthew | Chapter 15 | Verse 34] And Jesus says to them, How much bread have you? And they said, Seven cakes, and some small fishes.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 35] Then he gave an order to the people to be seated on the earth,
[BBE | EN | NT | Matthew | Chapter 15 | Verse 36] And he took the seven cakes of bread and the fishes; and having given praise, he gave the broken bread to the disciples, and the disciples gave it to the people.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 37] And they all took food, and had enough; and they took up of the broken bits, seven baskets full.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 38] And there were four thousand men who took food, together with women and children.
[BBE | EN | NT | Matthew | Chapter 15 | Verse 39] And when he had sent the people away, he got into the boat, and came into the country of Magadan.
