[BBE | EN | NT | Matthew | Chapter 16 | Verse 1] And the Pharisees and Sadducees came and, testing him, made a request to him to give them a sign from heaven.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 2] But in answer he said to them, At nightfall you say, The weather will be good, for the sky is red.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 3] And in the morning, The weather will be bad today, for the sky is red and angry. You are able to see the face of heaven, but not the signs of the times.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 4] An evil and false generation is searching after a sign; and no sign will be given to it but the sign of Jonah. And he went away from them.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 5] And when the disciples came to the other side they had not taken thought to get bread.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 6] And Jesus said to them, Take care to have nothing to do with the leaven of the Pharisees and Sadducees.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 7] And they were reasoning among themselves, saying, We took no bread.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 8] And Jesus, seeing it, said, O you of little faith, why are you reasoning among yourselves, because you have no bread?
[BBE | EN | NT | Matthew | Chapter 16 | Verse 9] Do you still not see, or keep in mind the five cakes of bread of the five thousand, and the number of baskets you took up?
[BBE | EN | NT | Matthew | Chapter 16 | Verse 10] Or the seven cakes of bread of the four thousand, and the number of baskets you took up?
[BBE | EN | NT | Matthew | Chapter 16 | Verse 11] How is it that you do not see that I was not talking to you about bread, but about keeping away from the leaven of the Pharisees and Sadducees?
[BBE | EN | NT | Matthew | Chapter 16 | Verse 12] Then they saw that it was not the leaven of bread which he had in mind, but the teaching of the Pharisees and Sadducees.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 13] Now when Jesus had come into the parts of Caesarea Philippi, he said, questioning his disciples, Who do men say that the Son of man is?
[BBE | EN | NT | Matthew | Chapter 16 | Verse 14] And they said, Some say, John the Baptist; some, Elijah; and others, Jeremiah, or one of the prophets.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 15] He says to them, But who do you say that I am?
[BBE | EN | NT | Matthew | Chapter 16 | Verse 16] And Simon Peter made answer and said, You are the Christ, the Son of the living God.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 17] And Jesus made answer and said to him, A blessing on you, Simon Bar-jonah: because this knowledge has not come to you from flesh and blood, but from my Father in heaven.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 18] And I say to you that you are Peter, and on this rock will my church be based, and the doors of hell will not overcome it.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 19] I will give to you the keys of the kingdom of heaven: and whatever is fixed by you on earth will be fixed in heaven: and whatever you make free on earth will be made free in heaven.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 20] Then he gave orders to the disciples to give no man word that he was the Christ.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 21] From that time Jesus went on to make clear to his disciples how he would have to go up to Jerusalem, and undergo much at the hands of those in authority and the chief priests and scribes, and be put to death, and the third day come again from the dead.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 22] And Peter, protesting, said to him, Be it far from you, Lord; it is impossible that this will come about.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 23] But he, turning to Peter, said, Get out of my way, Satan: you are a danger to me because your mind is not on the things of God, but on the things of men.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 24] Then Jesus said to his disciples, If any man would come after me, let him give up all, and take up his cross, and come after me.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 25] Because whoever has a desire to keep his life safe will have it taken from him; but whoever gives up his life because of me, will have it given back to him.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 26] For what profit has a man, if he gets all the world with the loss of his life? or what will a man give in exchange for his life?
[BBE | EN | NT | Matthew | Chapter 16 | Verse 27] For the Son of man will come in the glory of his Father with his angels; and then he will give to every man the reward of his works.
[BBE | EN | NT | Matthew | Chapter 16 | Verse 28] Truly I say to you, There are some of those here who will not have a taste of death, till they see the Son of man coming in his kingdom.
