[BBE | EN | NT | Matthew | Chapter 20 | Verse 1] For the kingdom of heaven is like the master of a house, who went out early in the morning to get workers into his vine-garden.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 2] And when he had made an agreement with the workmen for a penny a day, he sent them into his vine-garden.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 3] And he went out about the third hour, and saw others in the market-place doing nothing;
[BBE | EN | NT | Matthew | Chapter 20 | Verse 4] And he said to them, Go into the vine-garden with the others, and whatever is right I will give you. And they went to work.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 5] Again he went out about the sixth and the ninth hour, and did the same.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 6] And about the eleventh hour he went out and saw others doing nothing; and he says to them, Why are you here all the day doing nothing?
[BBE | EN | NT | Matthew | Chapter 20 | Verse 7] They say to him, Because no man has given us work. He says to them, Go in with the rest, into the vine-garden.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 8] And when evening came, the lord of the vine-garden said to his manager, Let the workers come, and give them their payment, from the last to the first.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 9] And when those men came who had gone to work at the eleventh hour, they were given every man a penny.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 10] Then those who came first had the idea that they would get more; and they, like the rest, were given a penny.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 11] And when they got it, they made a protest against the master of the house,
[BBE | EN | NT | Matthew | Chapter 20 | Verse 12] Saying, These last have done only one hour's work, and you have made them equal to us, who have undergone the hard work of the day and the burning heat.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 13] But he in answer said to one of them, Friend, I do you no wrong: did you not make an agreement with me for a penny?
[BBE | EN | NT | Matthew | Chapter 20 | Verse 14] Take what is yours, and go away; it is my pleasure to give to this last, even as to you.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 15] Have I not the right to do as seems good to me in my house? or is your eye evil, because I am good?
[BBE | EN | NT | Matthew | Chapter 20 | Verse 16] So the last will be first, and the first last.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 17] And when Jesus was going up to Jerusalem, he took the twelve disciples on one side, and said to them,
[BBE | EN | NT | Matthew | Chapter 20 | Verse 18] See, we go up to Jerusalem; and the Son of man will be given into the hands of the chief priests and scribes; and they will give orders for him to be put to death,
[BBE | EN | NT | Matthew | Chapter 20 | Verse 19] And will give him up to the Gentiles to be made sport of and to be whipped and to be put to death on the cross: and the third day he will come back again from the dead.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 20] Then the mother of the sons of Zebedee came to him with her sons, giving him worship and making a request of him.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 21] And he said to her, What is your desire? She says to him, Let my two sons be seated, the one at your right hand, and the other at your left, in your kingdom.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 22] But Jesus made answer and said, You have no idea what you are requesting. Are you able to take of the cup which I am about to take?
[BBE | EN | NT | Matthew | Chapter 20 | Verse 23] They say to him, We are able. He says to them, Truly, you will take of my cup: but to be seated at my right hand and at my left is not for me to give, but it is for those for whom my Father has made it ready.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 24] And when it came to the ears of the ten, they were angry with the two brothers.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 25] But Jesus said to them, You see that the rulers of the Gentiles are lords over them, and their great ones have authority over them.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 26] Let it not be so among you: but if anyone has a desire to become great among you, let him be your servant;
[BBE | EN | NT | Matthew | Chapter 20 | Verse 27] And whoever has a desire to be first among you, let him take the lowest place:
[BBE | EN | NT | Matthew | Chapter 20 | Verse 28] Even as the Son of man did not come to have servants, but to be a servant, and to give his life for the salvation of men.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 29] And when they were going out from Jericho, a great number went after him.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 30] And two blind men seated by the wayside, when they had the news that Jesus was going by, gave a loud cry, saying, Lord, Son of David, have mercy on us.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 31] And the people gave them orders to be quiet; but they went on crying even louder, Lord, Son of David, have mercy on us.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 32] And Jesus, stopping, sent for them, and said, What would you have me do to you?
[BBE | EN | NT | Matthew | Chapter 20 | Verse 33] They say to him, Lord, that our eyes may be open.
[BBE | EN | NT | Matthew | Chapter 20 | Verse 34] And Jesus, being moved with pity, put his fingers on their eyes: and straight away they were able to see, and went after him.
