[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 1] क्या तुम में से किसी को ये जुर'अत है कि जब दूसरे के साथ मुक़द्दमा हो तो फ़ैसले के लिए बेदीन आदिलों के पास जाए; और मुक़द्दसों के पास न जाए।
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 2] क्या तुम नहीं जानते कि मुक़द्दस लोग दुनिया का इन्साफ़ करेंगे? पस जब तुम को दुनिया का इन्साफ़ करना है तो क्या छोटे से छोटे झगड़ों के भी फ़ैसले करने के लायक़ नहीं हो?
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 3] क्या तुम नहीं जानते कि हम फ़रिश्तों का इन्साफ़ करेंगे? तो क्या हम दुनियावी मु'आमिले के फ़ैसले न करें?
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 4] पस अगर तुम में दुनियावी मुक़द्दमे हों तो क्या उन को मुंसिफ़ मुक़र्रर करोगे जो कलीसिया में हक़ीर समझे जाते हैं।
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 5] मैं तुम्हें शर्मिन्दा करने के लिए ये कहता हूँ; क्या वाक़'ई तुम में एक भी समझदार नहीं मिलता जो अपने भाइयों का फ़ैसला कर सके।
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 6] बल्कि भाई भाइयों में मुक़द्दमा होता है और वो भी बेदीनों के आगे!
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 7] लेकिन दर'असल तुम में बड़ा नुक़्स ये है कि आपस में मुक़द्दमा बाज़ी करते हो; ज़ुल्म उठाना क्यूँ नहीं बेहतर जानते? अपना नुक़्सान क्यूँ नहीं क़ुबूल करते?
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 8] बल्कि तुम ही ज़ुल्म करते और नुक़्सान पहुँचाते हो और वो भी भाइयों को।
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 9] क्या तुम नहीं जानते कि बदकार ख़ुदा की बादशाही के वारिस न होंगे धोखा न खाओ न हरामकार ख़ुदा की बादशाही के वारिस होंगे न बुतपरस्त, न ज़िनाकार, न अय्याश, न लौंडे बाज़,
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 10] न चोर, न लालची, न शराबी, न गालियाँ बकने वाले, न ज़ालिम,
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 11] और कुछ तुम में ऐसे ही थे भी, 'मगर तुम ख़ुदावन्द ईसा मसीह के नाम से और हमारे ख़ुदा के रूह से धूल गए और पाक हुए और रास्तबाज़ भी ठहरे।
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 12] सब चीज़ें मेरे लिए जायज़ तो हैं मगर सब चीज़ें मुफ़ीद नहीं; सब चीज़ें मेरे लिए जायज़ तो हैं; लेकिन मैं किसी चीज़ का पाबन्द न हूँगा।
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 13] खाना पेट के लिए हैं और पेट खाने के लिए लेकिन ख़ुदा उसको और इनको नेस्त करेगा मगर बदन हरामकारी के लिए नहीं बल्कि ख़ुदावन्द के लिए है और ख़ुदावन्द बदन के लिए।
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 14] और ख़ुदा ने ख़ुदावन्द को भी जिलाया और हम को भी अपनी क़ुदरत से जिलाएगा।
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 15] क्या तुम नहीं जानते कि तुम्हारे बदन मसीह के आ'ज़ा है? पस क्या मैं मसीह के आ'ज़ा लेकर कस्बी के आ'ज़ा बनाऊँ हरगिज़ नहीं।
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 16] क्या तुम नहीं जानते कि जो कोई कस्बी से सुहबत करता है वो उसके साथ एक तन होता है? क्यूँकि वो फ़रमाता है, “वो दोनों एक तन होंगे।”
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 17] और जो ख़ुदावन्द की सुहबत में रहता है वो उसके साथ एक रूह होता है।
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 18] हरामकारी से भागो जितने गुनाह आदमी करता है वो बदन से बाहर हैं; मगर हरामकार अपने बदन का भी गुनाहगार है।
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 19] क्या तुम नहीं जानते कि तुम्हारा बदन रूह — उल — क़ुद्दूस का मक़दिस है जो तुम में बसा हुआ है और तुम को ख़ुदा की तरफ़ से मिला है? और तुम अपने नहीं।
[IRV | UR | NT | 1 Corinthians | Chapter 6 | Verse 20] क्यूँकि क़ीमत से ख़रीदे गए हो; पस अपने बदन से ख़ुदा का जलाल ज़ाहिर करो।
