[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 1] ऐ भाइयों! मैं तुम से उस तरह कलाम न कर सका जिस तरह रूहानियों से बल्कि जैसे जिस्मानियों से और उन से जो मसीह में बच्चे हैं।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 2] मैने तुम्हें दूध पिलाया और खाना न खिलाया क्यूँकि तुम को उसकी बर्दाश्त न थी, बल्कि अब भी नहीं।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 3] क्यूँकि अभी तक जिस्मानी हो इसलिए कि जब तुम मैं हसद और झगड़ा है तो क्या तुम जिस्मानी न हुए और इंसानी तरीक़े पर न चले?
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 4] इसलिए कि जब एक कहता है “मैं पौलुस का हूँ” और दूसरा कहता है मैं अपुल्लोस का हूँ तो क्या तुम इंसान न हुए?
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 5] अपुल्लोस क्या चीज़ है? और पौलुस क्या? ख़ादिम जिनके वसीले से तुम ईमान लाए और हर एक को वो हैसियत है जो ख़ुदावन्द ने उसे बख़्शी।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 6] मैंने दरख़्त लगाया और अपुल्लोस ने पानी दिया मगर बढ़ाया ख़ुदा ने।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 7] पस न लगाने वाला कुछ चीज़ है न पानी देनेवाला मगर ख़ुदा जो बढ़ाने वाला है।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 8] लगानेवाला और पानी देनेवाला दोनों एक हैं लेकिन हर एक अपना अज्र अपनी मेहनत के मुवाफ़िक़ पाएगा।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 9] क्यूँकि हम ख़ुदा के साथ काम करनेवाले हैं तुम ख़ुदा की खेती और ख़ुदा की इमारत हो।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 10] मैने उस तौफ़ीक़ के मुवाफ़िक़ जो ख़ुदा ने मुझे बख़्शी अक़्लमंद मिस्त्री की तरह नींव रख्खी, और दूसरा उस पर इमारत उठाता है पस हर एक ख़बरदार रहे, कि वो कैसी इमारत उठाता है।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 11] क्यूँकि सिवा उस नींव के जो पड़ी हुई है और वो ईसा मसीह है कोई शख़्स दूसरी नहीं रख सकता।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 12] और अगर कोई उस नींव पर सोना या चाँदी या बेशक़ीमती पत्थरों या लकड़ी या घास या भूसे का रद्दा रख्खे।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 13] तो उस का काम ज़ाहिर हो जाएगा क्यूँकि जो दिन आग के साथ ज़ाहिर होगा वो उस काम को बता देगा और वो आग ख़ुद हर एक का काम आज़मा लेगी कि कैसा है।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 14] जिस का काम उस पर बना हुआ बाक़ी रहेगा, वो अज्र पाएगा।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 15] और जिस का काम जल जाएगा, वो नुक़्सान उठाएगा; लेकिन ख़ुद बच जाएगा मगर जलते जलते।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 16] क्या तुम नहीं जानते कि तुम ख़ुदा का मक़दिस हो और ख़ुदा का रूह तुम में बसा हुआ है?
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 17] अगर कोई ख़ुदा के मक़दिस को बरबाद करेगा तो ख़ुदा उसको बरबाद करेगा, क्यूँकि ख़ुदा का मक़दिस पाक है और वो तुम हो।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 18] कोई अपने आप को धोखा न दे अगर कोई तुम में अपने आप को इस जहान में हकीम समझे, तो बेवक़ूफ़ बने ताकि हकीम हो जाए।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 19] क्यूँकि दुनियाँ की हिक्मत ख़ुदा के नज़दीक बेवक़ूफ़ी है: चुनाँचे लिखा है, “वो हकीमों को उन ही की चालाकी में फँसा देता है।”
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 20] और ये भी, ख़ुदावन्द हकीमों के ख़यालों को जानता है “कि बातिल हैं।”
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 21] पस आदमियों पर कोई फ़ख़्र न करो क्यूँकि सब चीज़ें तुम्हारी हैं।
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 22] चाहे पौलुस हो, चाहे अपुल्लोस, चाहे कैफ़ा, चाहे दुनिया, चाहे ज़िन्दगी, चाहे मौत, चाहे हाल, की चीज़ें, चाहे इस्तक़बाल की,
[IRV | UR | NT | 1 Corinthians | Chapter 3 | Verse 23] सब तुम्हारी हैं और तुम मसीह के हो, और मसीह ख़ुदा का है।
