[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 1] Ὡς δὲ καὶ οὗτος μακαρίως ἐναπέθανεν καταβληθεὶς εἰς λέβητα, ὁ ἕβδομος παρεγίνετο, πάντων νεώτερος.
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 2] Ὅν κατοικτειρήσας ὁ τύραννος, καίπερ δεινῶς ὑπὸ τῶν ἀδελφῶν αὐτοῦ κακισθεὶς, ὁρῶν ἤση τὰ δεσμὰ περικείμενον,
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 3] πλησιέστερον αὐτὸν μετεπέμψατο, καὶ παρηγορεῖν ἐπειρᾶτο, λέγων,
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 4] Τῆς μὲν τῶν ἀδελφῶν σου ἀπονοίας τὸ τὲλος ὁρᾷς· διὰ γὰρ ἀπείθειαν στρεβλωθέντες τεθνήκασιν, σὺ, εἰ μὲν μὴ πεισθείης, τὰλας βασανισθεὶς καὶ πασανισθεὶς καὶ αὐτὸς τεθνήξῃ πρὸ ὥρας.
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 5] Πεισθείης δὲ φίλος ἔσῃ, καὶ τῶν ἐπὶ τῆς βασιλείας ἀφηγήσῃ πραγμάτων.
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 6] Καὶ ταῦτα παρακαλῶν, τὴν μητέρα τοῦ παιδὸς μετεπέμψατο, ὄπως αὐτὴν ἐμεήσαν υἱῶν στερηθῖσαν παρορμήσειεν ἐπὶ τὴν μσωτηρίαν, εὐπειθῆ τὸν περιλειπόμενον.
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 7] Ὁ δὲ τῆν μητρὸς τῇ Ἐβραΐδι φωνῇ προτρεψαμένης· αὐτὸν (ὡς ἐροῦμεν μετὰ μικρὸν ὕστερον.) ἀπολύσατε με, φησίν·
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 8] εἴπω τῷ βασιλεῖ καὶ τοῖς σὺν αὐτῷ φίλοις πᾶσιν.
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 9] Καὶ ἐπιχαρέντες μάλιστα ἐπὶ τῇ ἐπαγγελίᾳ τοῦ παιδὸς ταχέως ἔλυσαν αὐτόν.
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 10] Καὶ σραμὼν ἐπὶ πλησίον τῶν τηγάνων, ἔφη, ἀνόσιε,
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 11] φησὶν, καὶ πάντων τῶν πονηρῶν ἀσεβέστατε τύραννε, οὐκ ᾐδέσθης παρὰ τοῦ Θεοῦ λαβὼν τὰ ἀγαθὰ καὶ τὴν βασιλείαν, τούς θεράποντας αὐτοῦ κατακτεῖναι, καὶ τοὺς τῆς εὐσεβείας στρεβλῶσαι;
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 12] Ἀνθ ὧ ταμιεύεταί σε ἡ θεια δίκη πυκνοτέρῳ καὶ αἰωνίῳ πυεὶ καὶ βασάνοις, αἳ εἰς ὅλον τὸν αιῶνα οὐκ ἀνήσουσίν σε.
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 13] Οὐκ ᾐδέσθης ἄνθρωπος ὢν, θηριωδέστατε, τοὺς ὁμοιοπαθεῖς καὶ ἐκ τῶν αὐτῶν γεγονότας στοιξείων γλωττοτομῆσαι, καὶ τοῦτον καταικίσας τὸν τρόπον βασανίσαι;
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 14] Ἀλλʼ οἱ μὴν εὐγενῶς ἀποθανόντες ἐπλήρωσαν τὴν εἰν τὸν Θεὸν εὐσέβειαν.
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 15] Σὺ δὲ κακὸς κακῶς οἰμώξεις, τοὺς τῆς ἀρετῆν ἀγωνιστὰν ἀναιτίως ἀποκτεῖναι.
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 16] Ὅθεν καὶ αὐτὸς ἀποθνήσκειν μέλλων, ἔφη,
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 17] οὐκ ἀπαυτομολῶ τῆς τῶν ἀδελφῶν μου μαρτυρίας.
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 18] Ἐπικαλοῦμαι δὲ τὸν πατρῷον Θεὸν, ὅπως ἵλεως γένει μου.
[LXX | EL | OT | 4 Maccabees | Chapter 12 | Verse 19] Σὲ δὲ καὶ ἐν τῷ νῦν βίῳ καὶ θανόντα τιμωρήσεται.
