[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 1] Ὡς δὲ καὶ οὗτος ταῖς βασάνοις καταικισθεὶς ἐναπέθανεν, ὁ πέμπτος παρεπήδησεν, λέγων,
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 2] Οὐ μέλλω, τύραννε, πρὸς τὸν ὑπὲρ τῆς ἀρετῆς βασανισμὸν παραιτεῖσθαι.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 3] Αὐτὸς δʼ ἀπʼ ἐμαυτοῦ παρῆλθον, ὅπως κᾀμὲ κατακτείνας, περὶ πλειόνων ἀδικημάτων ὀφειλήσῃς τῇ οὐρανίῳ δίκῃ τιμωρίαν.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 4] Ὦ μισάρετε καὶ μισάνθρωπε, τὶ δράσαντας ἡμᾶς τοῦτον πορθεῖς τὸν τρόπον;
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 5] Ἢ κακόν σοι δοκεῖ, ὅτι τὸν πάντων κτιστὴν εὐσεβοῦμεν, καὶ κατὰ τὸν ἐνάρετον αὐτοῦ ζῶμεν νόμον;
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 6] Ἀλλὰ ταῦτα τιμῶν, οὐ βασάνων ἐστὶν ἄξια. Εἴπερ ᾐσθάνου ἀνθρώπου πόθων, καὶ ἐλπίδα εἶχες παρὰ Θεῷ σωτηρίου· νῦν ἰδὲ ἀλλότριος ὢν Θεοῦ, πολεμεῖς τοὺς εὐσεβοῦντας εἰς τὸν Θεόν.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 9] Τοιαῦτα λέγοντα οἱ δορυφόροι δήσαντες, αὐτὸν εἷλκον ἐπὶ τὸν καταπέλτην·
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 10] ἐφʼ ὃ δήσαντες αὐτὸν ἐπὶ τὰ γόνατα, καὶ ταῦτα ποδάγραις σιδηραῖς ἐφορμάσαντες τὴν ὀσφὺν αὐτοῦ ἐπὶ τὸν τροχιαῖον σφῆνα κατέκαμψαν· περὶ ὃν ὅλος ἐπὶ τὸν τρονὸν σκορπίου τρόπον ἀνακλώμενος ἐξεμελίζετο.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 11] Κατὰ τοῦτον τὸν τρόπον καὶ τὸ πνεῦμα στενοχωρούμενος, καὶ τὸ σῶμα ἀγχόμενος, καλὰς, ἔλεγεν, ἄκων,
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 12] ὦ τύραννε, χάριτας ἡμῖν χαρίζῃ διὰ γενναιοτέρων πόνων ἐπιδείξασθαι παρέχων τὴν εἰς τὸν νόμον ἡμῶν καρτερίαν.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 13] Τελευτήσαντος δὲ καὶ τούτου, ὁ ἕκτος ἤγετο μειρακίσκος· ὃς πυνθανομένου τοῦ τύραννου εἰ βούλοιτο φαγὼν ἀπολύεσθαι, ὁ δὲ ἔφη,
