[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 1] Καὶ τούτου τὸν ἀοίδιμον θάνατον καρτερήσαντος, ὁ τρίτος ἤγετο, παρακαλούμενος πολλὰ ὑπὸ πολλῶν ὅπως ἀπογευσάμενος σώζοιτο.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 2] Ὁ δὲ ἀναβοήσας, ἔφη, ἤ ἀγνοεῖτε, ὅτι αὐτός με τοῖς ἀποθανοῦσιν ἔσπειρεν πατὴρ, καὶ ἡ αὐτὴ μήτηρ ἐγέννεσιν, καὶ ἐπὶ τοῖς αὐτοῖς ἀνετράφην δόγμασιν;
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 3] Οὐκ ἐξόμνυμαι τὴν εὐγενῆ τῆς ἀδελφότητος συγγένειαν. Πρὸς ταῦτα εἴ τι ἔχετε κολαστήριον προσαγάγετε τῷ σώματί μου· τῆς γὰρ ψυχῆς μου, οὐδʼ ἂν θέλητε, ἅψασθαι δύνασθε.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 5] Οἱ δὲ πίκρῶς ἐνέγκαντες τὴν παῤῥησίαν τοῦ ἀνδρὸς, ἀρθρεμβόλοις ὀργάνοις τὰς χεῖρας αὐτοῦ καὶ τοὺς πόδας ἐξήρθρουν, καὶ ἐξ ἁρμῶν ἀναμοχλεύοντες ἐξεμέλιζον·
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 6] καὶ τοὺς δακτύλους, καὶ τοὺς βραχίονας, καὶ τὰ σκέλη, καὶ τοὺς ἀγκῶνας περιέλκων.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 7] Καὶ κατὰ μηδένα τρόπον ἰσχύοντες αὐτὸν ἄγξαι, περισύραντες τὸ δέρμα σὺν ἄκραις ταῖς τῶν δακτύλων κορυφαῖς ἀπεσκύθιζον, καὶ εὐθέως ἦγον ἐπὶ τὸν τροχόν.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 8] Περὶ ὃν ἐκ σφονδύλων ἐκμελιζόμενος ἑώρα τὰς ἑαυτοῦ σάρκας περιλακιζομένας καὶ κατὰ σπλάγχνων σταγόνας αἵματος ἀποῤῥεούσας.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 9] Μέλλων δὲ ἀποθνήσκειν,
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 10] ἔφη, ἡμεῖς μὲν ὦ μιαιρώτατε τύραννε, διὰ παιδείαν καί ἀρετὴν Θεοῦ ταῦτα πάσχομεν.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 11] Σὺ δὲ διὰ τὴν ἀσέβειαν καὶ μιαιφονίαν, ἀκαταλύτους καρτερήσεις βασάνους.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 12] Καὶ τούτου θανόντος ἀδελφοπρεπῶς, τὸν τέταρτον ἐπεσπῶντο, λέγοντες,
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 13] Μὴ μανῄς καὶ σὺ τοῖς ἀδελφοῖς σου τὴν αὐτὴν μανίαν· ἀλλὰ πεισθεὶς τῷ βασιλεῖ, σῶζε σεαυτόν.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 14] Ὁ δὲ αὐτοῖς ἔφη, οὐχ οὕτως καυστικώτερον ἔχετε κατʼ ἐμοῦ τὸ πῦρ, ὥστε με δειλανδρῆσαι.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 15] Μὰ τὸν μακάριον τῶν ἀδελφῶν μου θάνατον, καὶ τὸν αἰώνιον τοῦ τυράννου ὄλεθρον, καὶ τὸν ἀοίδιμον τῶν εὐσεβῶν βίον, οὐκ ἀρνήσομαι τὴν εὐγενῆ ἀδελφότητα.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 16] Ἐπινόει, τύραννε, βασάνους· ἵνα καὶ διὰ τούτων μάθῃς, ὅτι ἀδελφός εἰμι τῶν προβεβανασισθέντων.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 17] Ταῦτα ἀκούσας ὁ αἱμοβόρος καὶ φονώδης καὶ πανμιαιρώτατος Ἀντίοχος, ἐκέλευσεν τὴν γλῶτταν αὐτοῦ ἐκτεμεῖν.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 18] Ὁ δὲ ἔφη, κᾂν ἀφέλῃς τὸ τῆς φωνῆς ὄργανον, καὶ σιωπώντων ἀκούει ὁ Θεός.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 19] Ἰδοὺ κεχάλασται ἡ γλῶσσα· τέμνε· οὐ γὰρ παρὰ τοῦτο τὸν λογισμὸν ἡμῶν γλωσσοτομήσεις.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 20] Ἡδέως ὑπὲρ τοῦ Θεοῦ τὰ τοῦ σώματος μέλη ἀκρωτηριαζόμενα.
[LXX | EL | OT | 4 Maccabees | Chapter 10 | Verse 21] Σὲ δὲ ταχέως μετελεύσεται ὁ Θεός· τὴν γὰρ τῶν θείων ὕμνων μελῳδὸν γλῶτταν ἐκτέμνεις.
