[LXX | EL | OT | 4 Maccabees | Chapter 9 | Verse 1] Τί μέλλεις, ὦ τύραννε; ἕτοιμοι γάρ ἐσμεν ἀποθνήσκειν, ἢ παραβαίνειν τὰς πατρίους ἡμῶν ἐντολάς.
[LXX | EL | OT | 4 Maccabees | Chapter 9 | Verse 2] Καὶ αἰσχυνόμεθα γὰρ τοὺς προγόνους εἰκότως, εἰ μὴ τῇ τοῦ νόμου εὐπειθείᾳ καὶ συμβούλῳ γνώσει χρησαίμεθα.
[LXX | EL | OT | 4 Maccabees | Chapter 9 | Verse 3] Σύμβουλε τύραννε παρανομίας, μὴ ἡμᾶς μισῶν ὑπὲρ αὐτοὺς ἡμᾶς ἐλέα.
[LXX | EL | OT | 4 Maccabees | Chapter 9 | Verse 4] Χαλεπώτερον γὰρ αὐτοὺς τοῦ θανάτου νομίζομεν εἶναί σου τὸν ἐπὶ τῇ παρανόμῳ σωτηρίᾳ ἡμῶν ἔλεον.
[LXX | EL | OT | 4 Maccabees | Chapter 9 | Verse 5] Ἐκφοβεῖς δὲ ἡμᾶς, τὸν διὰ τῶν βασάνων ἡμῖν θάνατον ἀπειλῶν, ὥσπερ οὐχὶ πρὸ βραχέως παρὰ Ἐλεαζάρου μαθών.
[LXX | EL | OT | 4 Maccabees | Chapter 9 | Verse 6] Εἰ δʼ οἱ γέροντες τῶν Ἑβραίων διὰ τὴν εὐσέβειαν καὶ βασανισμὸυς ὑπομείναντες ἀπέθανον, ἀποθάνοιμεν ἂν δικαιότερον ἡμεῖς οἱ νέοι, τὰς βασάνους τῶν σῶν ἀναγκῶν ὑπεριδόντες, ἃς καὶ ὁ παιδευτὴς γέρων ἐνίκησεν.
[LXX | EL | OT | 4 Maccabees | Chapter 9 | Verse 7] Πείραζε γαροῦν τύραννε· καὶ τὰς ἡμῶν ψυχὰς εἰ θανατώσεις διὰ τὴν εὐσέβειαν, μὴ νομίσῃς ἡμᾶς βλάπτειν βασανίζων.
[LXX | EL | OT | 4 Maccabees | Chapter 9 | Verse 8] Ἡμεῖς μὲν γὰρ διὰ τῆσδε τῆς κακοπαθείας καὶ ὑπομονῆς, τὰ τῆς ἀρετῆς ἆθλα οἴσομεν.
[LXX | EL | OT | 4 Maccabees | Chapter 9 | Verse 9] Σὺ δὲ διὰ τὴν ἡμῶν μιαροφονίαν αὐτάρχη καρτερήσεις περὶ τῆς θείας δίκης αἰώνιον βάσανον διὰ πυρός.
[LXX | EL | OT | 4 Maccabees | Chapter 9 | Verse 10] Ταῦτα αὐτῶν εἰπόντων, οὐ μόνον ὡς κατὰ ἀπειθούντων ἐχαλέπαινεν ὁ τύραννος, ἀλλʼ ὡς καὶ κατὰ ἀχαρίστων ὠργίσθη.
[LXX | EL | OT | 4 Maccabees | Chapter 9 | Verse 11] Ὅθεν τὸν πρεσβύτατον αὐτῶν κελευθέντες παρήγαγον οἱ μαστισταὶ, καὶ διαῤῥήξαντες τὸν χιτῶνα διέδησαν τὰς χεῖρας αὐτοῦ καὶ τοὺς βραχίονας ἱμᾶσιν ἑκατέρωθεν.
