[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 1] ΦΙΛΟΣΟΦΩΤΑΤΟΝ λόγον ἐπιδείκνυσθαι μέλλων, εἰ αὐτοδέσποτός ἐστιν τῶν παθῶν ὁ εὐσεβὴς λογισμός· συμβουλεύσαιμʼ ἂν ὑμῖν ὀρθῶς, ὅπως προθύμως προσέχητε τῇ φιλοσοφίᾳ.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 2] Καὶ γὰρ ἀναγκαῖος εἰς ἐπιστήμην παντὶ ὁ λόγος, καὶ ἄλλως τῆς μεγίστης ἀρετῆς ἀρετῆς, λέγω δὴ φρονήσεως, περιέχει ἔπαινον·
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 3] Εἰ ἄρα τῶν σωφροσύνης κωλυτικῶν παθῶν ὁ λογισμὸς φαίνεται ἐπικρατεῖν, γαστριμαργίας τε καὶ ἐπιθυμίας·
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 4] ἀλλὰ καὶ τῶν τῆς δικαιοσύνης ἐμποδιστικῶν παθῶν κυριεύειν ἀναφαίνεται, οἷον κακοηθείας· καὶ τῶν τῆς ἀνδρείας ἐμποδιστικῶν παθῶν, θυμοῦ τε, καὶ πόνου καὶ φόβου.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 5] Πῶς οὖν, ἴσως εἴποιεν ἄν τινες, εἰ τῶν παθῶν ὁ λογισμὸς κρατεῖ, λήθης καὶ ἀγνοίας οὐ δεσπόζει;
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 6] γελοῖον ἐπιχειροῦντες λέγειν· οὐ γὰρ τῶν ἑαυτοῦ παθῶν ὁ λογισμὸς κρατεῖ, ἀλλὰ τῶν τῆς δικαιοσύνης καὶ ἀνδρείας καὶ σωφροσύνης, καὶ φρονήσεως ἐναντίων· καὶ τούτων, οὐχ ὥστε αὐτὰ καταλῦσαι, ἀλλʼ ὥστε αὐτοῖς μὴ εἶξαι.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 7] Πολλαχόθεν μὲν οὖν καὶ ἀλλαχόθεν ἔχοιμʼ ἂν ὑμῖν ἐπιδεῖξαι, ὅτι αὐτοκράτωρ ἐστὶν τῶν παθῶν ὁ εὐσεβὴς λογισμός.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 8] Πολὺ δὲ πλέον τοῦτο ἀποδείξαιμι ἀπὸ τῆς ἀνδραγαθείας τῶν ὑπὲρ ἀρετὴν ἀποθανόντων, Ἐλεαζάρου τε καὶ ἑπτὰ ἀδελφῶν καὶ τῆς τούτων μητρός.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 9] Ἅπαντες γὰρ οὗτοι τῶν ἕως θανάτου πόνων ὑπεριδοντες, ὑπεριδόντες ἐπεδείξαντο ὅτι περικρατεῖ τῶν παθῶν ὁ λογισμός.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 10] Τῶν μὲν οὖν ἀρετῶν, ἔπεστί μοι ἐπαινεῖν τοὺς κατὰ τοῦτον τὸν καιρὸν ὑπὲρ τῆς καλοκᾳγαθίας ἀποθανόντας μετὰ τῆς μητρὸς ἄνδρας·
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 11] τῶν δὲ τιμῶν μακαρίσαιμʼ ἄν· θαυμασθέντες γὰρ ἐκεῖνοι οὐ μόνον ὑπὸ πάντων ἀνθρώπων ἐπὶ τῇ ἀνδρείᾳ καὶ τῇ ὑπομονῇ, ἀλλὰ καὶ ὑπὸ τῶν αἰκισαμένων, αἴτιοι κατέστησαν τοῦ καταλυθῆναι τὴν κατὰ τοῦ ἔθνους τυραννίδα, νικήσαντες τὸν τύραννον τῇ ὑπομονῇ, ὥστε διʼ αὐτῶν καθαρισθῆναι τὴν πατρίδα.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 12] Ἀλλὰ καὶ περὶ τούτου νῦν αὐτίκα δὴ λέγειν ἐξέσται, ἀρξαμένων τῆς ὑποθέσεως, ὥσπερ εἴωθα ποιεῖν, καὶ οὕτως εἰς τὸν περὶ αὐτῶν τρέψομαι λόγον, δόξαν διδοὺς τῷ πανσόφῳ Θεῷ.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 13] Ζητοῦμεν δὴ τοίνυν, εἰ αὐτοκράτωρ ἐστὶν παθῶν ὁ λογισμός.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 14] Διακρίνωμεν δὲ, τί ποτέ ἐστιν λογισμός; καὶ τί πάθος; καὶ πόσαι παθῶν ἰδέαι; καὶ εἰ πάντων ἐπικρατεῖ τούτων ὁ λογισμός;
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 15] Λογισμὸς μὲν δὴ τοίνυν ἐστὶν νοῦς μετὰ ὀρθοῦς βίου· πρωτιμῶν τὸν σοφίας λόγον.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 16] Σοφία δὴ τοὶνυν ἐστὶν γνῶσις θείων καὶ ἀνθρωπίνων πραγμάτων, καὶ τῶν τούτων αἰτίων.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 17] Αὕτη δὴ τοίνυν ἐστὶν ἠ τοῦ νόμου παιδσεία· διʼ ἧς τὰ θεῖα σεμνῶς, καὶ τὰ ἀνθρώπινα συμφερόντως μανθάνομεν.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 18] Τῆς δὲ σοφίας ἰδέαι καθεστᾶσιν, φρόνησις καὶ δικαιοσύνη καὶ ἀνδρεια καὶ σωφροσύνη.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 19] Κυριωτάτη πάντων ἡ φρόνησις· ἐξ ἧς δὴ τῶν παθῶν ὁ λογισμὸς ἐπικρατεῖ.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 20] Παθῶν δὲ φύσεις εἰσὶν αἱ περιεκτικώταται δύο, ἡδονή τε καὶ πόνος· τούτων δὲ ἐκάτερον καὶ περὶ τὴν ψυχὴν πέφυκεν.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 21] Πολλαὶ δὲ καὶ περὶ τὴν ἡδονὴν καὶ τὸν πόνον παθῶν εἰσὶν ἀκολουθίαι.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 22] Πρὸ μὲν οὖν τῆς ἡδονῆς ἐστιν ἐπιθυμία· μετὰ δὲ τὴν ἡδονὴν, χαρά.
