[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 1] Ὦ λογίσμε τέκνων, παθῶν τύραννε, καὶ εὐσέβεια μητρὶ τέκνων ποθεινοτέρα.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 2] Μήτηρ δυοῖν προκειμένων εὐσεβείας, καὶ τῆς ἑπτὰ υἱῶν σωτηρίας προκαίρους κατὰ τὴν τοῦ τυράννου ὑπόσχεσιν·
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 3] τὴν εὐσέβειαν μᾶλλον ἠγάπησεν τὴν σώζουσαν εἰς αἰώνιον ζωὴν κατὰ Θεόν.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 4] Ὦ τίνα τρόπον ἠθολογήσαιμι φιλότεκνα γονέων πάθη, ψυχῆς τε καὶ μορφῆς ὁμοιότητα εἰς μικρὸν παιδὸς χαρακτῆρα θαυμάσιον ἐναπεσφράγιζον, μάλιστα διὰ τὸν τῶν παθῶν τοῖς γεννηθεῖσιν τὰς μητέρας καθεστάναι συμπαθευτέρας.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 5] Ὅσῳ γὰρ καὶ ἀσθενόψυχοι καὶ πολυγονώτεραι ὑπάρχουσιν μητέρες, τοσούτῳ μᾶλλόν εἰσιν φιλοτεκνότεραι.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 6] Πασῶν δὲ τῶν μητέρων ἐγένετο ἡ τῶν ἑπτὰ μήτηρ φιλοτεκνοτέρα, ἥ τις ἑπτὰ κυοφορίαις τὴν πρὸς αὐτοὺς ἐπιφυτευομένη φιλοστοργία,
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 7] καὶ διὰ πολλὰς τὰς καθʼ ἔκαστον αὐτῶν ὠδῖνας ἠναγκασμένην τὴν εἰς αὐτοὺς ἔχειν συμπάθειαν,
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 8] διὰ τὸν πρὸς τὸν Θεὸν φόβον ὑπερεῖδεν τὴν τῶν τέκνων πρόσκαιρον σωτηρίαν.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 9] Οὐ μὴν δὲ, ἀλλὰ καὶ διὰ τὴν καλοκᾳγαθίαν τῶν υἱῶν, καὶ τὴν πρὸς τὸν νόμον αὐτῶν εὐπείθειαν, μείζων τὴν ἐν αὐτοῖς ἔσχεν φιλοστοργίαν.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 10] Δίκαιοί τε γὰρ ἦσαν, καὶ σώφρονες, καὶ σώφρονες, καὶ ἀνδρεῖοι, καὶ μεγαλόψυχοι, καὶ φιλάδελφοι, καὶ μεγαλόψυχοι, καὶ μεψαλόψυχοι, καὶ φιλάδελφοι, καὶ φιλομήτορες οὕτως, ὥστε καὶ μέχρι θανάτου τὰ νόμιμα φυλάσσοντες πείθεσθαι αὐτῇ.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 11] Ἀλλʼ ὅμως, καὶ ὑπὲρ τοσούτων ὄντων τῶν περὶ φιλοτεκνίαν εἰς συμπάθειαν ἑλκόντων τὴν μητέρα, ἐπʼ οὐδενὸς αὐτῶν τὸν λογισμὸν αὐτῆς αἱ παμποίκιλοι ἴσχυσαν μετατρέψαι.
