[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 1] Καὶ τὶ θαυμαστὸν; εἰ αἱ τῆς ψυχῆς ἐπιθυμίαι πρὸς τὴν τοῦ κάλλους μετουσίαν ἀκυροῦνται.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 2] Ταύτῃ γοῦν ὁ σώφρων Ἰωσὴφ ἐπαινεῖται, ὅτι τῷ λογισμῷ, διανοίᾳ περιεκράτησεν τῆς ἠδυπαθείας.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 3] Νέος γὰρ ὢν καὶ ἀκμάζων πρὸς συνουσιασμὸν ἠκύρωσεν τῷ λογισμῷ τὸν τῶν παθῶν οἶστρον.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 4] Οὐ μόνον δὲ τὴν τῆς ἡδυπαθείας οἰστρηλασίαν ἐπικρατεῖν ὁ λογισμὸς φαίνεται, ἀλλὰ καὶ πάσης ἐπιθυμίας.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 5] Λέγει γοῦν ὁ νόμος· οὐκ ἐπιθυμήσεις τὴν γυναῖκα τοῦ πλησίον σου, οὐδὲ ὅσα τῷ πλησίον σου ἐστίν.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 6] Καίτοι ὅτε μὴ ἐπιθυμεῖν εἴρηκεν ἡμᾶς ὁ νόμος, πολὺ πλέον πείσαιμʼ ἂν ὑμᾶς, ὅτι τῶν ἐπιθυμιῶν κρατεῖν δύναται ὁ λογισμὸς, ὥσπερ καὶ τῶν κωλυτικῶν τῆς δικαιοσύνης παθῶν.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 7] Ἐπεὶ τίνα τρόπον μονοφάγος τις ὢν τὸ ἦθος, καὶ γαστρίμαργος, καὶ μέθυσος, μεταπαιδεύεται, εἰ μὴ δῆλον, ὅτι κύριός ἐστιν τῶν παθῶν ὁ λογισμός;
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 8] Αὐτίκα γοῦν τῷ νόμῳ πολιτευόμενος, κᾂν φιλάργυρός τις εἴη, βιάζεται τὸν ἑαυτοῦ τρόπον, τοῖς δεομένοις δανείζων χωρὶς τόκων, καὶ τὸ δάνειον τῶν ἑβδομάδων ἐντάσσων χρεοκοπούμενος.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 9] Κᾂν φειδωλός τις ᾖ, ὑπὸ τοῦ νόμου κρατεῖται διὰ τὸν λογισμὸν, μήτε ἐπικαρπούμενος τοὺς ἀμητοὺς, μήτε ἐπιῤῥωγολογούμενος τοὺς ἀμπελῶνας, καὶ ἐπὶ τῶν ἐτέρων ἔστιν ἐπιγνῶναι τοῦτο, ὅτι τῶν παθῶν ἐστιν ὁ λογισμὸς κρατῶν.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 10] Ὁ γὰρ νόμος καὶ τῆς πρὸς γονεῖς εὐνοίας κρατεῖ, μὴ καταπροδιδοὺς τὴν ἀρετὴν διʼ αὐτούς·
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 11] καὶ τῆς προσγαμετῆς φιλίας ἐπικρατεῖ, διὰ παρανομίαν αὐτὴν ἀπελέγχων.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 12] Καὶ τῆς τέκνων φιλίας κυριεύει, διὰ κακίαν αὐτῶν κολάζων, καὶ τῆς φίλων συνηθείας δεσπόζει, διὰ πονηρίας αὐτοὺς ἐξελέγχων.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 13] Καὶ μὴ νομίσητε παράδοξον εἶναι, ὅπου καὶ ἔχθραν ὁ λογισμὸς ἐπινομίσητε παράδοξον εἶναι, ὅπου καὶ ἔχθραν ὁ λογισμὸς ἐπινομισητε παράδοξον εἶναι, ὅπου καὶ ἔχθραν ὁ λογισμὸς ἐπικρατεῖν δύναται διὰ τὸν νόμον,
