[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 1] Ἐστὶ δὲ κομιδῆ γελοῖος ὁ λογισμός οὐ γὰρ τῶν ἑαυτοῦ παθῶν ὁ λογισμὸς ἐπικρατεῖν φαίνεται, ἀλλὰ τῶν σωματικῶν.
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 2] Οἷον ἐπιθυμίαν τις ὑμῶν οὐ δύναται ἐκκόψαι, ἀλλὰ μὴ δουλωθῆναι τῇ ἐπιθυμίᾳ δύναται ὁ λογισμὸς παρασχέσθαι.
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 3] Θυμόν τις οὐ δύναται ἐκκόψαι ἡμῶν τῆς ψυχῆς, ἀλλὰ τῷ θυμῷ δυνατὸν βοηθῆσαι.
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 4] Κακοήθειάν τις ὑμῶν οὐ δύναται ἐκκόψαι, ἀλλὰ τὸ μὴ καμφθῆναι τῇ κακοηθείᾀ δυνατὸν ὁ λογισμὸς συμμαχῆσαι.
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 5] Οὐ γὰρ ἐκριζωτὴς τῶν παθῶν ὁ λογισμός ἐστιν, ἀλλʼ ἀνταγωνιστής.
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 6] Ἔστιν γοῦν τοῦτο διὰ τῆς Δαυεὶδ τοῦ βασιλέως δίψης σαφέστερον ἐπιλογίσασθαι.
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 7] Ἐπεὶ γὰρ διʼ ὅλης ἡμέρας προσβαλὼν τοῖς ἀλλοφύλοις ὁ Δαυὶδ, πολλοὺς αὐτῶν ἀπέκτεινεν μετὰ τῶν τοῦ ἔθνους στρατιωτῶν·
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 8] τότε δὲ γενομένης ἑσπέρας, ὑδρῶν καὶ σφόδρα κεκμηκὼς, ἐπὶ τὴν βασίλειον σκηνὴν ἦλθεν, περὶ ἣν ὁ πᾶς τῶν προγόνων στρατὸς ἐστρατοπέδευκεν.
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 9] Οἱ μὲν οὖν ἄλλοι πάντες ἐπὶ τὸ δεῖπνον ἦσαν.
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 10] Ὁ δὲ βασιλεὺς ὡς μάλιστα διψῶν, καίπερ ἀφθόνους ἔχων πηγὰς, οὐκ ἠδύνατο διʼ αὐτῶν ἰάσασθαι τὴν δίψαν·
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 11] ἀλλά τις αὐτὸν ἀλόγιστος ἐπιθυμία τοῦ παρὰ τοῖς πολεμίοις ὕδατος ἐπιτείνουσα συνέφρυγεν, καὶ λύουσα κατέφλεγεν.
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 12] Ὅθεν τῶν ὑπερασπιστῶν ἐπὶ τῇ τοῦ βασιλέως ἐπιθυμία σχετλιαζόντων, δύο νεανίσκοι στρατιῶται καρτεροὶ καταιδεσθέντες τὴν τοῦ βασιλέως ἐπιθυμίαν, τὰς πανοπλίας καθωπλίσαντο, καὶ κάλπην λαβόντες ὑπερέβησαν τοὺς τῶν πολεμίων χάρακας·
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 13] καὶ λαθόντες τοὺς τῶν πυλῶν ἀκροφύλακας, διεξῄεσαν εὑράμενοι κατὰ πᾶν τὸ τῶν πολεμίων στρατόπεδον.
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 14] Καὶ ἀνευράμενοι θαῤῥαλέως τὴν πηγὴν, ἐξ αὐτῆς ἐγέμισαν τῷ βασιλεῖ τὸ ποτόν.
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 15] Ὁ δὲ καὶ περὶ τὴν δίψαν διαπυρούμενος, ἐλογίσατο πάνδεινον εἶναι κίνδυνον τῇ ψυχῇ λογισθὲν ἰσοδύναμον τὸ ποτὸν αἵματι.
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 16] Ὅθεν ἀντιθεὶς τῇ ἐπιθυμίᾳ τὸν λογισμὸν, ἔσπεισεν τὸ πόμα τῷ Θεῷ.
[LXX | EL | OT | 4 Maccabees | Chapter 3 | Verse 17] Δυνατὸς γὰρ ὁ σώφρων νοῦς νικῆσαι τὰς τῶν παθῶν ἀνάγκας, καὶ σβέσαι τὰς τῶν οἴστρων φλεγμονὰς, καὶ τὰς τῶν σωμάτων ἀλγηδόνας καθʼ ὑπερβολὴν οὔσας καταπαλαῖσαι,
