[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 1] Προσέτι καὶ ἐπὶ τὸν αἰκισμὸν ἐποτρύνοντες, ὡς μὴ μόνον τῶν ἀλγηδόνων περιφρονῆσαι αὐτοὺς, ἀλλὰ καὶ τῆς τῶν ἀδελφῶν φιλαδελφίας παθῶν κρατῆσαι.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 2] Ὦ βασιλέως λογισμοὶ βασιλικώτεροι καὶ ἐλευθέρων ἐλευθερώτεροι.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 3] Ἱερὰς καὶ ἐναρμόστους περὶ τῆς εὐσεβείας τῶν ἑπτὰ ἀδελφῶν συμφωνίας.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 4] Οὐδεὶς ἐκ τῶν ἑπτὰ μειρακίων ἐδειλίασεν, οὐδὲ πρὸς τὸν θάνατον ὤκνησεν.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 5] Ἀλλὰ πάντες, ὥσπερ ἐπʼ ἀθανασίας ὁδὸν τρέχοντες, ἐπὶ τὸν διὰ τῶν βασάνων θάνατον ἔσπευδον.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 6] Καθάπερ γὰρ χεῖρες καὶ πόδες συμφώνως τοῖς τῆς ψυχῆς ἀφηγήμασιν κινοῦνται· οὕτως οἱ ἱεροὶ μείρακες ἐκεῖνοι ὡς ὑπὸ ψυχῆς ἀθανάτου τῆς εὐσεβείας, πρὸς τὸν ὑπὲρ αὐτῆς συνεφώνησαν θάνατον.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 7] Ὦ παναγία ἡ συμφώνον ἀδελφῶν ἐβδομάς· καθάπερ γὰρ ἑπτὰ τῆς κοσμοποιΐας ἡμέραι περὶ τὴν εὐσέβειαν,
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 8] οὕτος περὶ τὴν ἑβδομάδα χορεύοντες οἱ μείρακες ἐκύκλουν τὸν τῶν βασάνων φόβον καταλύοντες.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 9] Νῦν ἡμεῖς ἀκούοντες τῆν θλίψιν τῶν νεανίων ἐκείνων, φρίττομεν· οἱ δὲ οὐ μόνον ὁρῶντες, ἀλλʼ οὐδὲ μόνον ἀκούοντες τὸν παραχρῆμα ἀπειλῆς λόγον, ἀλλὰ καὶ πάσχοντες, ἐκαρτέρουν καὶ τοῦτο ταῖς διὰ πυρὸς ὀδύναις.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 10] Ὧν τί γένοιτο ἐπαλγέστερον; ὀξεῖα γὰρ καὶ σύντομος ἡ τοῦ πυρὸς οὖσα δύναμις, ταχέως διέλυσε τὰ σώματα.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 11] Καὶ μὴ θαυμαστὸν ἡγεῖσθε, εἰ ὁ λογισμὸς περιεκράτησεν τῶν ἀνδρῶν ἐκείνων ἐν ταῖς βασάνοις, ὅπου γε καὶ γυναικὸς νοῦς πολυτροπωτέρον ὑπερεφρόνησεν ἀλγηδόνων.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 12] Ἡ μήτηρ γὰρ τῶν ἑπτὰ νεανίσκων ὑπήνεγκεν τὰς ἐφʼ ἑνὶ ἐκάστῳ τῶν τέκνων στρέβλας.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 13] Θεωρεῖτε δὲ πῶς πολύπλοκός ἐστιν ἡ τῆς φιλοτεκνίας στοργὴ, ἕλκουσα πάντα πρὸς τὴν τῶν σπλάγχνων συμπάθειαν.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 14] Ὅπου γε καὶ τὰ ἄλογα ζῶα ὁμοίαν τὴν πρὸς τὰ ἐξ αὐτῶν γεννώμενα συμπάθειαν καὶ στοργὴν ἔχει τοῖς ἀνθρώποις.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 15] Καὶ γὰρ τῶν πετεινῶν, τὰ μὲν ἥμερα κατὰ τὰς οἰκίας ὀροφοιτοῦντα προασπίζει τῶν νεοττῶν.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 16] Τὰ δὲ κατὰ τὰς κορυφὰς ὀρέων καὶ φαράγγων ἀποῤῥῶγας καὶ δένδρων ὀπὰς καὶ τὰς τούτων ἄκρας νοσσοποιησάμενα ἀποτίκτει, καὶ τὸν προσιόντα κωλύει.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 17] Εἰ δὲ καὶ μὴ δύναιντο κωλύειν, περιπτάμενα κυκλόθεν αὐτῶν ἀλγοῦντα τῇ στοργῇ, ἀνακαλούμενα τῇ ἰδίᾳ φωνῇ, καθʼ ὃν δύναται τρόπον βοηθεῖ τοῖς τέκνοις.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 18] Καὶ τί δεῖ τὴν διὰ τῶν ἀλόγων ζώων ἐπιδεικνύναι τὴν πρὸς τὰ τέκνα συμπάθειαν.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 19] Ὅπου γε καὶ μέλισσαι περὶ τὸν τῆς κηρογονίας καιρὸν ἐπαμύνονται τοὺς προσιόντας, καὶ καθάπερ σιδήρῳ τῷ κέντρῳ πλήσσουσι τοὺς προσιόντας τῇ νοσσιᾷ αὐτῶν, καὶ ἐπαμύνονται ἕως θανάτου.
[LXX | EL | OT | 4 Maccabees | Chapter 14 | Verse 20] Ἀλλʼ οὐχὶ τὴν Ἁβραὰμ ὁμόψυχον τῶν νεανίων μητέρα μετεκίνησεν συμπάθεια τῆς συμπαθείας τέκνων.
