[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 1] And it came to pass after this, that Amnon the son of David loved the sister of Absalom the son of David, who was very beautiful, and her name was Thamar.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 2] And he was exceedingly fond of her, so that he fell sick for the love of her: for as she was a virgin, he thought it hard to do any thing dishonestly with her.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 3] Now Amnon had a friend, named Jonadab the son of Semmaa the brother of David, a very wise man:
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 4] And he said to him: Why dost thou grow so lean from day to day, O son of the king? why dost thou not tell me the reason of it? And Amnon said to him: I am in love with Thamar the sister of my brother Absalom.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 5] And Jonadab said to him: Lie down upon thy bed, and feign thyself sick: and when thy father shall come to visit thee, say to him: Let my sister Thamar, I pray thee, come to me, to give me to eat, and to make me a mess, that I may eat it at her hand.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 6] So Amnon lay down, and made as if he were sick: and when the king came to visit him, Amnon said to the king: I pray thee let my sister Thamar come, and make in my sight two little messes, that I may eat at her hand.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 7] Then David sent home to Thamar, saying: Come to the house of thy brother Amnon, and make him a mess.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 8] And Thamar came to the house of Amnon her brother: but he was laid down: and she took meal and tempered it: and dissolving it in his sight she made little messes.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 9] And taking what she had boiled, she poured it out, and set it before him, but he would not eat: and Amnon said: Put out all persons from me. And when they had put all persons out,
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 10] Amnon said to Thamar: Bring the mess into the chamber, that I may eat at thy hand. And Thamar took the little messes which she had made, and brought them in to her brother Amnon in the chamber.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 11] And when she had presented him the meat, he took hold of her, and said: Come lie with me, my sister.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 12] She answered him: Do not so, my brother, do not force me: for no such thing must be done in Israel. Do not thou this folly.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 13] For I shall not be able to bear my shame, and thou shalt be as one of the fools in Israel: but rather speak to the king, and he will not deny me to thee.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 14] But he would not hearken to her prayers, but being stronger overpowered her and lay with her.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 15] Then Amnon hated her with an exceeding great hatred: so that the hatred wherewith he hated her was greater than the love with which he had loved her before, And Amnon said to her: Arise, and get thee gone.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 16] She answered him: This evil which now thou dost against me, in driving me away, is greater than that which thou didst before. And he would not hearken to her:
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 17] But calling the servants that ministered to him, he said: Thrust this woman out from me: and shut the door after her.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 18] And she was clothed with along robe: for the king’s daughters that were virgins, used such kind of garments. Then his servant thrust her out: and shut the door after her.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 19] And she put ashes on her head, and rent her long robe and laid her hands upon her head, and went on crying.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 20] And Absalom her brother said to her: Hath thy brother Amnon lain with thee? but now, sister, hold thy peace, he is thy brother: and afflict not thy heart for this thing. So Thamar remained pining away in the house of Absalom her brother.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 21] And when king David heard of these things he was exceedingly grieved: and he would not afflict the spirit of his son Amnon, for he loved him, because he was his firstborn.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 22] But Absalom spoke not to Amnon neither good nor evil: for Absalom hated Amnon because he had ravished his sister Thamar.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 23] And it came to pass after two years, that the sheep of Absalom were shorn in Baalhasor, which is near Ephraim: and Absalom invited all the king’s sons:
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 24] And he came to the king, and said to him: Behold thy servant’s sheep are shorn. Let the king, I pray, with his servants come to his servant.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 25] And the king said to Absalom: Nay, my son, do not ask that we should all come, and be chargeable to thee. And when he pressed him, and he would not go, he blessed him.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 26] And Absalom said: If thou wilt not come, at least let my brother Amnon, I beseech thee, come with us. And the king said to him: It is not necessary that he should go with thee.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 27] But Absalom pressed him, so that he let Amnon and all the king’s sons go with him. And Absalom made a feast as it were the feast of a king.
