[BSB | EN | OT | Exodus | Chapter 21 | Verse 1] “These are the ordinances that you are to set before them:
[BSB | EN | OT | Exodus | Chapter 21 | Verse 2] If you buy a Hebrew servant, he is to serve you for six years. But in the seventh year, he shall go free without paying anything.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 3] If he arrived alone, he is to leave alone; if he arrived with a wife, she is to leave with him.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 4] If his master gives him a wife and she bears him sons or daughters, the woman and her children shall belong to her master, and only the man shall go free.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 5] But if the servant declares, ‘I love my master and my wife and children; I do not want to go free,’
[BSB | EN | OT | Exodus | Chapter 21 | Verse 6] then his master is to bring him before the judges. And he shall take him to the door or doorpost and pierce his ear with an awl. Then he shall serve his master for life.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 7] And if a man sells his daughter as a servant, she is not to go free as the menservants do.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 8] If she is displeasing in the eyes of her master who had designated her for himself, he must allow her to be redeemed. He has no right to sell her to foreigners, since he has broken faith with her.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 9] And if he chooses her for his son, he must deal with her as with a daughter.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 10] If he takes another wife, he must not reduce the food, clothing, or marital rights of his first wife.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 11] If, however, he does not provide her with these three things, she is free to go without monetary payment.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 12] Whoever strikes and kills a man must surely be put to death.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 13] If, however, he did not lie in wait, but God allowed it to happen, then I will appoint for you a place where he may flee.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 14] But if a man schemes and acts willfully against his neighbor to kill him, you must take him away from My altar to be put to death.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 15] Whoever strikes his father or mother must surely be put to death.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 16] Whoever kidnaps another man must be put to death, whether he sells him or the man is found in his possession.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 17] Anyone who curses his father or mother must surely be put to death.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 18] If men are quarreling and one strikes the other with a stone or a fist, and he does not die but is confined to bed,
[BSB | EN | OT | Exodus | Chapter 21 | Verse 19] then the one who struck him shall go unpunished, as long as the other can get up and walk around outside with his staff. Nevertheless, he must compensate the man for his lost work and see that he is completely healed.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 20] If a man strikes his manservant or maidservant with a rod, and the servant dies by his hand, he shall surely be punished.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 21] However, if the servant gets up after a day or two, the owner shall not be punished, since the servant is his property.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 22] If men who are fighting strike a pregnant woman and her child is born prematurely, but there is no further injury, he shall surely be fined as the woman’s husband demands and as the court allows.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 23] But if a serious injury results, then you must require a life for a life—
[BSB | EN | OT | Exodus | Chapter 21 | Verse 24] eye for eye, tooth for tooth, hand for hand, foot for foot,
[BSB | EN | OT | Exodus | Chapter 21 | Verse 25] burn for burn, wound for wound, and stripe for stripe.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 26] If a man strikes and blinds the eye of his manservant or maidservant, he must let the servant go free as compensation for the eye.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 27] And if he knocks out the tooth of his manservant or maidservant, he must let the servant go free as compensation for the tooth.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 28] If an ox gores a man or woman to death, the ox must surely be stoned, and its meat must not be eaten. But the owner of the ox shall not be held responsible.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 29] But if the ox has a habit of goring, and its owner has been warned yet does not restrain it, and it kills a man or woman, then the ox must be stoned and its owner must also be put to death.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 30] If payment is demanded of him instead, he may redeem his life by paying the full amount demanded of him.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 31] If the ox gores a son or a daughter, it shall be done to him according to the same rule.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 32] If the ox gores a manservant or maidservant, the owner must pay thirty shekels of silver to the master of that servant, and the ox must be stoned.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 33] If a man opens or digs a pit and fails to cover it, and an ox or a donkey falls into it,
[BSB | EN | OT | Exodus | Chapter 21 | Verse 34] the owner of the pit shall make restitution; he must pay its owner, and the dead animal will be his.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 35] If a man’s ox injures his neighbor’s ox and it dies, they must sell the live one and divide the proceeds; they also must divide the dead animal.
[BSB | EN | OT | Exodus | Chapter 21 | Verse 36] But if it was known that the ox had a habit of goring, yet its owner failed to restrain it, he shall pay full compensation, ox for ox, and the dead animal will be his.
