[BSB | EN | OT | Exodus | Chapter 39 | Verse 1] From the blue, purple, and scarlet yarn they made specially woven garments for ministry in the sanctuary, as well as the holy garments for Aaron, just as the LORD had commanded Moses.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 2] Bezalel made the ephod of finely spun linen embroidered with gold, and with blue, purple, and scarlet yarn.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 3] They hammered out thin sheets of gold and cut threads from them to interweave with the blue, purple, and scarlet yarn, and fine linen—the work of a skilled craftsman.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 4] They made shoulder pieces for the ephod, which were attached at two of its corners, so it could be fastened.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 5] And the skillfully woven waistband of the ephod was of one piece with the ephod, of the same workmanship—with gold, with blue, purple, and scarlet yarn, and with finely spun linen, just as the LORD had commanded Moses.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 6] They mounted the onyx stones in gold filigree settings, engraved like a seal with the names of the sons of Israel.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 7] Then they fastened them on the shoulder pieces of the ephod as memorial stones for the sons of Israel, as the LORD had commanded Moses.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 8] He made the breastpiece with the same workmanship as the ephod, with gold, with blue, purple, and scarlet yarn, and with finely spun linen.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 9] It was square when folded over double, a span long and a span wide.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 10] And they mounted on it four rows of gemstones: The first row had a ruby, a topaz, and an emerald;
[BSB | EN | OT | Exodus | Chapter 39 | Verse 11] the second row had a turquoise, a sapphire, and a diamond;
[BSB | EN | OT | Exodus | Chapter 39 | Verse 12] the third row had a jacinth, an agate, and an amethyst;
[BSB | EN | OT | Exodus | Chapter 39 | Verse 13] and the fourth row had a beryl, an onyx, and a jasper. These stones were mounted in gold filigree settings.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 14] The twelve stones corresponded to the names of the sons of Israel. Each stone was engraved like a seal with the name of one of the twelve tribes.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 15] For the breastpiece they made braided chains like cords of pure gold.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 16] They also made two gold filigree settings and two gold rings, and fastened the two rings to the two corners of the breastpiece.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 17] Then they fastened the two gold chains to the two gold rings at the corners of the breastpiece,
[BSB | EN | OT | Exodus | Chapter 39 | Verse 18] and they fastened the other ends of the two chains to the two filigree settings, attaching them to the shoulder pieces of the ephod at the front.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 19] They made two more gold rings and attached them to the other two corners of the breastpiece, on the inside edge next to the ephod.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 20] They made two additional gold rings and attached them to the bottom of the two shoulder pieces of the ephod, on its front, near the seam just above its woven waistband.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 21] Then they tied the rings of the breastpiece to the rings of the ephod with a cord of blue yarn, so that the breastpiece was above the waistband of the ephod and would not swing out from the ephod, just as the LORD had commanded Moses.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 22] They made the robe of the ephod entirely of blue cloth, the work of a weaver,
[BSB | EN | OT | Exodus | Chapter 39 | Verse 23] with an opening in the center of the robe like that of a garment, with a collar around the opening so that it would not tear.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 24] They made pomegranates of blue, purple, and scarlet yarn and finely spun linen on the lower hem of the robe.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 25] They also made bells of pure gold and attached them around the hem between the pomegranates,
[BSB | EN | OT | Exodus | Chapter 39 | Verse 26] alternating the bells and pomegranates around the lower hem of the robe to be worn for ministry, just as the LORD had commanded Moses.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 27] For Aaron and his sons they made tunics of fine linen, the work of a weaver,
[BSB | EN | OT | Exodus | Chapter 39 | Verse 28] as well as the turban of fine linen, the ornate headbands and undergarments of finely spun linen,
[BSB | EN | OT | Exodus | Chapter 39 | Verse 29] and the sash of finely spun linen, embroidered with blue, purple, and scarlet yarn, just as the LORD had commanded Moses.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 30] They also made the plate of the holy crown of pure gold, and they engraved on it, like an inscription on a seal: HOLY TO THE LORD.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 31] Then they fastened to it a blue cord to mount it on the turban, just as the LORD had commanded Moses.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 32] So all the work for the tabernacle, the Tent of Meeting, was completed. The Israelites did everything just as the LORD had commanded Moses.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 33] Then they brought the tabernacle to Moses: the tent with all its furnishings, its clasps, its frames, its crossbars, and its posts and bases;
[BSB | EN | OT | Exodus | Chapter 39 | Verse 34] the covering of ram skins dyed red, the covering of fine leather, and the veil of the covering;
[BSB | EN | OT | Exodus | Chapter 39 | Verse 35] the ark of the Testimony with its poles and the mercy seat;
[BSB | EN | OT | Exodus | Chapter 39 | Verse 36] the table with all its utensils and the Bread of the Presence;
[BSB | EN | OT | Exodus | Chapter 39 | Verse 37] the pure gold lampstand with its row of lamps and all its utensils, as well as the oil for the light;
[BSB | EN | OT | Exodus | Chapter 39 | Verse 38] the gold altar, the anointing oil, the fragrant incense, and the curtain for the entrance to the tent;
[BSB | EN | OT | Exodus | Chapter 39 | Verse 39] the bronze altar with its bronze grating, its poles, and all its utensils; the basin with its stand;
[BSB | EN | OT | Exodus | Chapter 39 | Verse 40] the curtains of the courtyard with its posts and bases; the curtain for the gate of the courtyard, its ropes and tent pegs, and all the equipment for the service of the tabernacle, the Tent of Meeting;
[BSB | EN | OT | Exodus | Chapter 39 | Verse 41] and the woven garments for ministering in the sanctuary, both the holy garments for Aaron the priest and the garments for his sons to serve as priests.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 42] The Israelites had done all the work just as the LORD had commanded Moses.
[BSB | EN | OT | Exodus | Chapter 39 | Verse 43] And Moses inspected all the work and saw that they had accomplished it just as the LORD had commanded. So Moses blessed them.
