[BSB | EN | OT | Exodus | Chapter 15 | Verse 1] Then Moses and the Israelites sang this song to the LORD: “I will sing to the LORD, for He is highly exalted. The horse and rider He has thrown into the sea.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 2] The LORD is my strength and my song, and He has become my salvation. He is my God, and I will praise Him, my father’s God, and I will exalt Him.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 3] The LORD is a warrior, the LORD is His name.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 4] Pharaoh’s chariots and army He has cast into the sea; the finest of his officers are drowned in the Red Sea.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 5] The depths have covered them; they sank there like a stone.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 6] Your right hand, O LORD, is majestic in power; Your right hand, O LORD, has shattered the enemy.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 7] You overthrew Your adversaries by Your great majesty. You unleashed Your burning wrath; it consumed them like stubble.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 8] At the blast of Your nostrils the waters piled up; like a wall the currents stood firm; the depths congealed in the heart of the sea.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 9] The enemy declared, ‘I will pursue, I will overtake. I will divide the spoils; I will gorge myself on them. I will draw my sword; my hand will destroy them.’
[BSB | EN | OT | Exodus | Chapter 15 | Verse 10] But You blew with Your breath, and the sea covered them. They sank like lead in the mighty waters.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 11] Who among the gods is like You, O LORD? Who is like You—majestic in holiness, revered with praises, performing wonders?
[BSB | EN | OT | Exodus | Chapter 15 | Verse 12] You stretched out Your right hand, and the earth swallowed them up.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 13] With loving devotion You will lead the people You have redeemed; with Your strength You will guide them to Your holy dwelling.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 14] The nations will hear and tremble; anguish will grip the dwellers of Philistia.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 15] Then the chiefs of Edom will be dismayed; trembling will seize the leaders of Moab; those who dwell in Canaan will melt away,
[BSB | EN | OT | Exodus | Chapter 15 | Verse 16] and terror and dread will fall on them. By the power of Your arm they will be as still as a stone until Your people pass by, O LORD, until the people You have bought pass by.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 17] You will bring them in and plant them on the mountain of Your inheritance— the place, O LORD, You have prepared for Your dwelling, the sanctuary, O Lord, Your hands have established.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 18] The LORD will reign forever and ever!”
[BSB | EN | OT | Exodus | Chapter 15 | Verse 19] For when Pharaoh’s horses, chariots, and horsemen went into the sea, the LORD brought the waters of the sea back over them. But the Israelites walked through the sea on dry ground.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 20] Then Miriam the prophetess, Aaron’s sister, took a tambourine in her hand, and all the women followed her with tambourines and dancing.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 21] And Miriam sang back to them: “Sing to the LORD, for He is highly exalted; the horse and rider He has thrown into the sea.”
[BSB | EN | OT | Exodus | Chapter 15 | Verse 22] Then Moses led Israel from the Red Sea, and they went out into the Desert of Shur. For three days they walked in the desert without finding water.
[BSB | EN | OT | Exodus | Chapter 15 | Verse 23] And when they came to Marah, they could not drink the water there because it was bitter. (That is why it was named Marah.)
[BSB | EN | OT | Exodus | Chapter 15 | Verse 24] So the people grumbled against Moses, saying, “What are we to drink?”
[BSB | EN | OT | Exodus | Chapter 15 | Verse 25] And Moses cried out to the LORD, and the LORD showed him a log. And when he cast it into the waters, they were sweetened. There the LORD made for them a statute and an ordinance, and there He tested them,
[BSB | EN | OT | Exodus | Chapter 15 | Verse 26] saying, “If you will listen carefully to the voice of the LORD your God, and do what is right in His eyes, and pay attention to His commands, and keep all His statutes, then I will not bring on you any of the diseases I inflicted on the Egyptians. For I am the LORD who heals you.”
[BSB | EN | OT | Exodus | Chapter 15 | Verse 27] Then they came to Elim, where there were twelve springs of water and seventy palm trees, and they camped there by the waters.
