[BSB | EN | OT | Exodus | Chapter 20 | Verse 1] And God spoke all these words:
[BSB | EN | OT | Exodus | Chapter 20 | Verse 2] “I am the LORD your God, who brought you out of the land of Egypt, out of the house of slavery.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 3] You shall have no other gods before Me.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 4] You shall not make for yourself an idol in the form of anything in the heavens above, on the earth below, or in the waters beneath.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 5] You shall not bow down to them or worship them; for I, the LORD your God, am a jealous God, visiting the iniquity of the fathers on their children to the third and fourth generations of those who hate Me,
[BSB | EN | OT | Exodus | Chapter 20 | Verse 6] but showing loving devotion to a thousand generations of those who love Me and keep My commandments.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 7] You shall not take the name of the LORD your God in vain, for the LORD will not leave anyone unpunished who takes His name in vain.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 8] Remember the Sabbath day by keeping it holy.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 9] Six days you shall labor and do all your work,
[BSB | EN | OT | Exodus | Chapter 20 | Verse 10] but the seventh day is a Sabbath to the LORD your God, on which you must not do any work—neither you, nor your son or daughter, nor your manservant or maidservant or livestock, nor the foreigner within your gates.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 11] For in six days the LORD made the heavens and the earth and the sea and all that is in them, but on the seventh day He rested. Therefore the LORD blessed the Sabbath day and set it apart as holy.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 12] Honor your father and mother, so that your days may be long in the land that the LORD your God is giving you.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 13] You shall not murder.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 14] You shall not commit adultery.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 15] You shall not steal.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 16] You shall not bear false witness against your neighbor.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 17] You shall not covet your neighbor’s house. You shall not covet your neighbor’s wife, or his manservant or maidservant, or his ox or donkey, or anything that belongs to your neighbor.”
[BSB | EN | OT | Exodus | Chapter 20 | Verse 18] When all the people witnessed the thunder and lightning, the sounding of the ram’s horn, and the mountain enveloped in smoke, they trembled and stood at a distance.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 19] “Speak to us yourself and we will listen,” they said to Moses. “But do not let God speak to us, or we will die.”
[BSB | EN | OT | Exodus | Chapter 20 | Verse 20] “Do not be afraid,” Moses replied. “For God has come to test you, so that the fear of Him may be before you, to keep you from sinning.”
[BSB | EN | OT | Exodus | Chapter 20 | Verse 21] And the people stood at a distance as Moses approached the thick darkness where God was.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 22] Then the LORD said to Moses, “This is what you are to tell the Israelites: ‘You have seen for yourselves that I have spoken to you from heaven.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 23] You are not to make any gods alongside Me; you are not to make for yourselves gods of silver or gold.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 24] You are to make for Me an altar of earth, and sacrifice on it your burnt offerings and peace offerings, your sheep and goats and cattle. In every place where I cause My name to be remembered, I will come to you and bless you.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 25] Now if you make an altar of stones for Me, you must not build it with stones shaped by tools; for if you use a chisel on it, you will defile it.
[BSB | EN | OT | Exodus | Chapter 20 | Verse 26] And you must not go up to My altar on steps, lest your nakedness be exposed on it.’
