[BSB | EN | OT | Exodus | Chapter 17 | Verse 1] Then the whole congregation of Israel left the Desert of Sin, moving from place to place as the LORD commanded. They camped at Rephidim, but there was no water for the people to drink.
[BSB | EN | OT | Exodus | Chapter 17 | Verse 2] So the people contended with Moses, “Give us water to drink.” “Why do you contend with me?” Moses replied. “Why do you test the LORD?”
[BSB | EN | OT | Exodus | Chapter 17 | Verse 3] But the people thirsted for water there, and they grumbled against Moses: “Why have you brought us out of Egypt—to make us and our children and livestock die of thirst?”
[BSB | EN | OT | Exodus | Chapter 17 | Verse 4] Then Moses cried out to the LORD, “What should I do with these people? A little more and they will stone me!”
[BSB | EN | OT | Exodus | Chapter 17 | Verse 5] And the LORD said to Moses, “Walk on ahead of the people and take some of the elders of Israel with you. Take along in your hand the staff with which you struck the Nile, and go.
[BSB | EN | OT | Exodus | Chapter 17 | Verse 6] Behold, I will stand there before you by the rock at Horeb. And when you strike the rock, water will come out of it for the people to drink.” So Moses did this in the sight of the elders of Israel.
[BSB | EN | OT | Exodus | Chapter 17 | Verse 7] He named the place Massah and Meribah because the Israelites quarreled, and because they tested the LORD, saying, “Is the LORD among us or not?”
[BSB | EN | OT | Exodus | Chapter 17 | Verse 8] After this, the Amalekites came and attacked the Israelites at Rephidim.
[BSB | EN | OT | Exodus | Chapter 17 | Verse 9] So Moses said to Joshua, “Choose some of our men and go out to fight the Amalekites. Tomorrow I will stand on the hilltop with the staff of God in my hand.”
[BSB | EN | OT | Exodus | Chapter 17 | Verse 10] Joshua did as Moses had instructed him and fought against the Amalekites, while Moses, Aaron, and Hur went up to the top of the hill.
[BSB | EN | OT | Exodus | Chapter 17 | Verse 11] As long as Moses held up his hands, Israel prevailed; but when he lowered them, Amalek prevailed.
[BSB | EN | OT | Exodus | Chapter 17 | Verse 12] When Moses’ hands grew heavy, they took a stone and put it under him, and he sat on it. Then Aaron and Hur held his hands up, one on each side, so that his hands remained steady until the sun went down.
[BSB | EN | OT | Exodus | Chapter 17 | Verse 13] So Joshua overwhelmed Amalek and his army with the sword.
[BSB | EN | OT | Exodus | Chapter 17 | Verse 14] Then the LORD said to Moses, “Write this on a scroll as a reminder and recite it to Joshua, because I will utterly blot out the memory of Amalek from under heaven.”
[BSB | EN | OT | Exodus | Chapter 17 | Verse 15] And Moses built an altar and named it The LORD Is My Banner.
[BSB | EN | OT | Exodus | Chapter 17 | Verse 16] “Indeed,” he said, “a hand was lifted up toward the throne of the LORD. The LORD will war against Amalek from generation to generation.”
