[BSB | EN | OT | Exodus | Chapter 25 | Verse 1] Then the LORD said to Moses,
[BSB | EN | OT | Exodus | Chapter 25 | Verse 2] “Tell the Israelites to bring Me an offering. You are to receive My offering from every man whose heart compels him.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 3] This is the offering you are to accept from them: gold, silver, and bronze;
[BSB | EN | OT | Exodus | Chapter 25 | Verse 4] blue, purple, and scarlet yarn; fine linen and goat hair;
[BSB | EN | OT | Exodus | Chapter 25 | Verse 5] ram skins dyed red and fine leather; acacia wood;
[BSB | EN | OT | Exodus | Chapter 25 | Verse 6] olive oil for the light; spices for the anointing oil and for the fragrant incense;
[BSB | EN | OT | Exodus | Chapter 25 | Verse 7] and onyx stones and gemstones to be mounted on the ephod and breastpiece.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 8] And they are to make a sanctuary for Me, so that I may dwell among them.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 9] You must make the tabernacle and design all its furnishings according to the pattern I show you.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 10] And they are to construct an ark of acacia wood, two and a half cubits long, a cubit and a half wide, and a cubit and a half high.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 11] Overlay it with pure gold both inside and out, and make a gold molding around it.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 12] Cast four gold rings for it and fasten them to its four feet, two rings on one side and two on the other.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 13] And make poles of acacia wood and overlay them with gold.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 14] Insert the poles into the rings on the sides of the ark, in order to carry it.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 15] The poles are to remain in the rings of the ark; they must not be removed.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 16] And place inside the ark the Testimony, which I will give you.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 17] And you are to construct a mercy seat of pure gold, two and a half cubits long and a cubit and a half wide.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 18] Make two cherubim of hammered gold at the ends of the mercy seat,
[BSB | EN | OT | Exodus | Chapter 25 | Verse 19] one cherub on one end and one on the other, all made from one piece of gold.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 20] And the cherubim are to have wings that spread upward, overshadowing the mercy seat. The cherubim are to face each other, looking toward the mercy seat.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 21] Set the mercy seat atop the ark, and put the Testimony that I will give you into the ark.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 22] And I will meet with you there above the mercy seat, between the two cherubim that are over the ark of the Testimony; I will speak with you about all that I command you regarding the Israelites.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 23] You are also to make a table of acacia wood two cubits long, a cubit wide, and a cubit and a half high.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 24] Overlay it with pure gold and make a gold molding around it.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 25] And make a rim around it a handbreadth wide and put a gold molding on the rim.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 26] Make four gold rings for the table and fasten them to the four corners at its four legs.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 27] The rings are to be close to the rim, to serve as holders for the poles used to carry the table.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 28] Make the poles of acacia wood and overlay them with gold, so that the table may be carried with them.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 29] You are also to make the plates and dishes, as well as the pitchers and bowls for pouring drink offerings. Make them out of pure gold.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 30] And place the Bread of the Presence on the table before Me at all times.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 31] Then you are to make a lampstand of pure, hammered gold. It shall be made of one piece, including its base and shaft, its cups, and its buds and petals.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 32] Six branches are to extend from the sides of the lampstand—three on one side and three on the other.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 33] There are to be three cups shaped like almond blossoms on the first branch, each with buds and petals, three on the next branch, and the same for all six branches that extend from the lampstand.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 34] And on the lampstand there shall be four cups shaped like almond blossoms with buds and petals.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 35] For the six branches that extend from the lampstand, a bud must be under the first pair of branches, a bud under the second pair, and a bud under the third pair.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 36] The buds and branches are to be all of one piece with the lampstand, hammered out of pure gold.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 37] Make seven lamps and set them up on the lampstand so that they illuminate the area in front of it.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 38] The wick trimmers and their trays must be of pure gold.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 39] The lampstand and all these utensils shall be made from a talent of pure gold.
[BSB | EN | OT | Exodus | Chapter 25 | Verse 40] See to it that you make everything according to the pattern shown you on the mountain.
