[BSB | EN | OT | Exodus | Chapter 37 | Verse 1] Bezalel went on to construct the ark of acacia wood, two and a half cubits long, a cubit and a half wide, and a cubit and a half high.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 2] He overlaid it with pure gold, both inside and out, and made a gold molding around it.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 3] And he cast four gold rings for its four feet, two rings on one side and two on the other.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 4] Then he made poles of acacia wood and overlaid them with gold.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 5] He inserted the poles into the rings on the sides of the ark in order to carry it.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 6] He constructed a mercy seat of pure gold, two and a half cubits long and a cubit and a half wide.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 7] He made two cherubim of hammered gold at the ends of the mercy seat,
[BSB | EN | OT | Exodus | Chapter 37 | Verse 8] one cherub on one end and one on the other, all made from one piece of gold.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 9] And the cherubim had wings that spread upward, overshadowing the mercy seat. The cherubim faced each other, looking toward the mercy seat.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 10] He also made the table of acacia wood two cubits long, a cubit wide, and a cubit and a half high.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 11] He overlaid it with pure gold and made a gold molding around it.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 12] And he made a rim around it a handbreadth wide and put a gold molding on the rim.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 13] He cast four gold rings for the table and fastened them to the four corners at its four legs.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 14] The rings were placed close to the rim, to serve as holders for the poles used to carry the table.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 15] He made the poles of acacia wood for carrying the table and overlaid them with gold.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 16] He also made the utensils for the table out of pure gold: its plates and dishes, as well as its bowls and pitchers for pouring drink offerings.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 17] Then he made the lampstand out of pure hammered gold, all of one piece: its base and shaft, its cups, and its buds and petals.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 18] Six branches extended from the sides, three on one side and three on the other.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 19] There were three cups shaped like almond blossoms on the first branch, each with buds and petals, three on the next branch, and the same for all six branches that extended from the lampstand.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 20] And on the lampstand were four cups shaped like almond blossoms with buds and petals.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 21] A bud was under the first pair of branches that extended from the lampstand, a bud under the second pair, and a bud under the third pair.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 22] The buds and branches were all of one piece with the lampstand, hammered out of pure gold.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 23] He also made its seven lamps, its wick trimmers, and trays of pure gold.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 24] He made the lampstand and all its utensils from a talent of pure gold.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 25] He made the altar of incense out of acacia wood. It was square, a cubit long, a cubit wide, and two cubits high. Its horns were of one piece.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 26] And he overlaid with pure gold the top and all the sides and horns. Then he made a molding of gold around it.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 27] He made two gold rings below the molding on opposite sides to hold the poles used to carry it.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 28] And he made the poles of acacia wood and overlaid them with gold.
[BSB | EN | OT | Exodus | Chapter 37 | Verse 29] He also made the sacred anointing oil and the pure, fragrant incense, the work of a perfumer.
