[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 1] છેવટે ભાઈઓ,, અમારે માટે પ્રાર્થના કરો કે જેવી રીતે તમારે ત્યાં થાય છે તેમ પ્રભુની વાત ઝડપથી પ્રસરે અને તેમનો મહિમા થાય;
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 2] અમે અયોગ્ય તથા ખરાબ માણસોથી બચીએ તે માટે પ્રાર્થના કરો; કેમ કે બધા જ માણસો વિશ્વાસુ હોતા નથી.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 3] પણ પ્રભુ વિશ્વાસુ છે, તે તમને સ્થિર કરશે અને દુષ્ટથી બચાવશે.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 4] તમારા વિષે પ્રભુમાં અમને ભરોસો છે કે, જે આજ્ઞા અમે તમને કરીએ છીએ તે તમે પાળો છો તથા પાળશો.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 5] પ્રભુ તમારાં હૃદયોને ઈશ્વરના પ્રેમ તથા ખ્રિસ્તની ધીરજ તરફ દોરો.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 6] હવે, ભાઈઓ, આપણા પ્રભુ ઈસુ ખ્રિસ્તને નામે અમે તમને આજ્ઞા કરીએ છીએ કે, જે દરેક ભાઈ આળસથી વર્તે છે, અને અમારાથી પામેલા શિક્ષણ પ્રમાણે વર્તતો નથી, તેનાથી તમે અલગ થાઓ.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 7] કેમ કે અમને કઈ રીતે અનુસરવા જોઈએ એ તમે પોતે સમજો છો. અમે તમારી સાથે અયોગ્ય રીતે વર્ત્યા ન હતા.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 8] કોઈ માણસનું અન્ન અમે મફત ખાધું નહોતું; પણ તમારામાંના કોઈ પર ભારરૂપ ન થઈએ, માટે રાતદિવસ શ્રમ તથા કષ્ટથી અમે કામ કર્યુ હતું;
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 9] અમને અધિકાર ન હતો એમ નહિ, પણ તમે અમને અનુસરો માટે અમે તમને આદર્શરૂપ થયા.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 10] જયારે અમે તમારી પાસે હતા ત્યારે પણ તમને આજ્ઞા આપી હતી કે, જો કોઈ માણસ કામ કરે નહિ, તો તેને ખવડાવવું પણ નહિ.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 11] કેમ કે તમારામાંના કેટલાક સ્વચ્છંદતાથી ચાલે છે. તેઓ કંઈ કામ કરતા નથી પણ બીજાનાં કામમાં માથું મારે છે, એવું અમને સાંભળવા મળે છે.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 12] હવે એવાઓને આપણા પ્રભુ ઈસુ ખ્રિસ્તને નામે અમે આદેશ અને ઉપદેશ કરીએ છે કે તેઓ શાંતિસહિત ઉદ્યોગ કરે અને પોતાની કમાણીનું અન્ન ખાય.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 13] પણ, ભાઈઓ, તમે સારાં કામ કરતાં થાકશો નહિ.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 14] જો કોઈ આ પત્રમાંની અમારી વાત ન માને, તો તમે તેની સાથે સંબંધ રાખશો નહિ કે જેથી તે શરમાઈ જાય.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 15] તોપણ તેને વિરોધી ન ગણો, પણ ભાઈ તરીકે તેને ચેતવો.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 16] હવે શાંતિના પ્રભુ પોતે સર્વદા તથા સર્વ પ્રકારે તમને શાંતિ આપો. પ્રભુ તમો સર્વની સાથે હો.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 17] હું પાઉલ મારે પોતાને હાથે સલામ લખું છું; મારા સર્વ પત્રોમાં એ નિશાની છે એ પ્રમાણે હું લખું છું.
[IRV | GU | NT | 2 Thessalonians | Chapter 3 | Verse 18] આપણા પ્રભુ ઈસુ ખ્રિસ્તની કૃપા તમ સર્વ પર હો.
