[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 1] “நீங்கள் உங்கள் தேவனாகிய யெகோவாவின் பிள்ளைகள்; செத்தவனுக்காகக் காயப்படுத்திக்கொள்ளாமலும், உங்கள் கண்களுக்கு இடையிலே சவரம்செய்யாமலும் இருப்பீர்களாக.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 2] நீங்கள் உங்கள் தேவனாகிய யெகோவாவுக்குப் பரிசுத்தமான மக்கள்; பூமியின் மீதெங்குமுள்ள எல்லா மக்களிலும் உங்களையே யெகோவா தமக்குச் சொந்தமான மக்களாயிருக்கத் தெரிந்துகொண்டார்.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 3] “அருவருப்பான ஒன்றையும் சாப்பிடவேண்டாம்.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 4] நீங்கள் சாப்பிடுவதற்கேற்ற மிருகங்களாவன: மாடும், செம்மறியாடும், வெள்ளாடும்,
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 5] மானும், வெளிமானும், கலைமானும், வரையாடும், புள்ளிமானும், சருகுமானும், மலை ஆடுகளுமே.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 6] மிருகங்களில் விரிகுளம்புள்ளதாயிருந்து, குளம்புகள் இரண்டாகப் பிரிந்திருக்கிறதும், அசைபோடுகிறதுமான சகல மிருகங்களையும் நீங்கள் சாப்பிடலாம்;
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 7] அசைபோடுகிறவைகளிலும், விரிகுளம்புள்ளவைகளிலும், நீங்கள் சாப்பிடக்கூடாதவைகள் எவையென்றால்: ஒட்டகமும், முயலும், குழிமுயலுமே; அவைகள் அசைபோட்டும் அவைகளுக்கு விரிகுளம்பில்லை; அவைகள் உங்களுக்கு அசுத்தமாயிருப்பதாக.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 8] பன்றியும் சாப்பிடுவதற்கு ஏற்றதல்ல; அது விரிகுளம்புள்ளதாயிருந்தும், அசைபோடாதிருக்கும்; அது உங்களுக்கு அசுத்தமாயிருப்பதாக; இவைகளின் மாம்சத்தை சாப்பிடாமலும் இவைகளின் உடலைத்தொடாமலும் இருப்பீர்களாக.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 9] “தண்ணீரிலிருக்கிற எல்லாவற்றிலும் துடுப்பும் செதிளும் உள்ளவைகளையெல்லாம் நீங்கள் சாப்பிடலாம்.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 10] துடுப்பும் செதிளும் இல்லாத யாதொன்றையும் சாப்பிடக்கூடாது; அது உங்களுக்கு அசுத்தமாயிருப்பதாக.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 11] “சுத்தமான சகல பறவைகளையும் நீங்கள் சாப்பிடலாம்.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 12] நீங்கள் சாப்பிடக்கூடாதவைகள் எவையென்றால்: கழுகும், கருடனும், கடலுராஞ்சியும்,
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 13] பைரியும், வல்லூறும், சகலவித பருந்தும்,
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 14] சகலவித காகங்களும்,
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 15] தீக்குருவியும், கூகையும், செம்புகமும், சகலவிதமான டேகையும்,
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 16] ஆந்தையும், கோட்டானும், நாரையும்,
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 17] கூழக்கடாவும், குருகும், நீர்க்காகமும்,
