[IRV | GU | OT | Hosea | Chapter 13 | Verse 1] એફ્રાઇમ બોલતો ત્યારે ધ્રૂજારી છૂટતી. ઇઝરાયલમાં તે સન્માન પામતો, પણ બઆલની પૂજા કરવાને કારણે તે અપરાધી ઠર્યો અને માર્યો ગયો.
[IRV | GU | OT | Hosea | Chapter 13 | Verse 2] હવે તેઓ અધિકાધિક પાપ કરતા જાય છે. તેઓ પોતાની ચાંદીની ઢાળેલી મૂર્તિઓ બનાવે છે, પોતાને માટે પોતાની કુશળતા પ્રમાણેની મૂર્તિઓ બનાવે છે, એ બધી તો કારીગરે બનાવેલી છે, લોકો તેઓના વિષે કહે છે કે, “આ બલિદાન ચઢાવનાર માણસો વાછરડાઓને ચુંબન કરે છે.”
[IRV | GU | OT | Hosea | Chapter 13 | Verse 3] તેઓ સવારના વાદળના જેવા, જલદી ઊડી જતા ઝાકળના જેવા, પવનથી ખળીમાંથી તણાઈ જતા ભૂસા જેવા, ધુમાડિયામાંથી નીકળતા ધુમાડા જેવા થશે.
[IRV | GU | OT | Hosea | Chapter 13 | Verse 4] પણ તમને મિસરમાંથી બહાર લાવનાર હું યહોવાહ તમારો ઈશ્વર છું. મારા સિવાય તમે કોઈ બીજા ઈશ્વરને જાણતા નથી. મારા સિવાય તમારા બીજા કોઈ તારણહાર નથી.
[IRV | GU | OT | Hosea | Chapter 13 | Verse 5] મેં તને અરણ્યમાં, મહાન સુકવણાના દેશમાં ઓળખ્યો.
[IRV | GU | OT | Hosea | Chapter 13 | Verse 6] જ્યારે તેઓને ઘાસચારો મળ્યો ત્યારે તેઓ ધરાયા; જ્યારે તેઓ તૃપ્ત થયા, ત્યારે તેઓનું હૃદય ગર્વિષ્ઠ થયું તે કારણથી તેઓ મને ભૂલી ગયા.
[IRV | GU | OT | Hosea | Chapter 13 | Verse 7] એટલે હું તમારા માટે સિંહ જેવો થઈશ, દીપડાની જેમ હું રસ્તાની બાજુએ રાહ જોઈને બેસી રહીશ.
[IRV | GU | OT | Hosea | Chapter 13 | Verse 8] જેનાં બચ્ચાં છીનવી લેવાયાં હોય તેવી રીંછણની જેમ હું તેઓના પર હુમલો કરીશ; હું તેઓની છાતી ચીરી નાખીશ, ત્યાં સિંહની જેમ હું તેઓનો ભક્ષ કરીશ. જંગલી પશુઓ તેઓને ફાડી નાખશે.
[IRV | GU | OT | Hosea | Chapter 13 | Verse 9] હે ઇઝરાયલ, તારો વિનાશ આવી રહ્યો છે, કેમ કે તું તથા તારા મદદગારો મારી વિરુદ્ધ થયા છો.
[IRV | GU | OT | Hosea | Chapter 13 | Verse 10] તારાં બધાં નગરોમાં તારું બચાવ કરનાર, તારો રાજા ક્યાં છે? “મને રાજા તથા સરદારો આપો” જેના વિષે તેં મને કહ્યું હતું તે તારા અધિકારીઓ ક્યાં છે?
[IRV | GU | OT | Hosea | Chapter 13 | Verse 11] મેં મારા ગુસ્સામાં તમને રાજા આપ્યો હતો, પછી ક્રોધમાં મેં તેને લઈ લીધો.
[IRV | GU | OT | Hosea | Chapter 13 | Verse 12] એફ્રાઇમના અન્યાયનો સંગ્રહ કરવામાં આવ્યો છે; તેનું પાપ ભંડારમાં ભરી રાખ્યું છે.
[IRV | GU | OT | Hosea | Chapter 13 | Verse 13] તેના પર પ્રસૂતાનું દુઃખ આવશે, પણ તે મૂર્ખ દીકરો છે, કેમ કે જન્મ થવાના સમયે તે અટકવું ન જોઈએ એવો સમય આવ્યો છે.
[IRV | GU | OT | Hosea | Chapter 13 | Verse 14] શું હું મૂલ્ય ચૂકવીને તેઓને શેઓલમાંથી છોડાવી લઈશ? હું તેઓને મૃત્યુમાંથી છોડાવીશ? હે મૃત્યુ, તારી પીડા ક્યાં છે? હે શેઓલ, તારો વિનાશ ક્યાં છે? પશ્ચાતાપ મારી આંખોથી છુપાઈ જશે.
[IRV | GU | OT | Hosea | Chapter 13 | Verse 15] જોકે એફ્રાઇમ તેના સર્વ ભાઈઓમાં ફળદ્રુપ હશે, તોપણ પૂર્વનો પવન આવશે, એટલે યહોવાહનો પવન અરણ્યમાંથી આવશે, એફ્રાઇમના ઝરા સુકાઈ જશે, તેના કૂવામાં પાણી રહેશે નહિ. તેના શત્રુઓ ભંડારની દરેક કિંમતી વસ્તુઓ લૂંટશે.
