[IRV | KN | OT | Amos | Chapter 6 | Verse 1] ಅಯ್ಯೋ! ಚೀಯೋನಿನಲ್ಲಿ ನೆಮ್ಮದಿಯಾಗಿರುವವರ ಗತಿಯನ್ನು ಏನೆಂದು ಹೇಳಲಿ, ಪ್ರಮುಖ ಜನಾಂಗದಲ್ಲಿ ಹೆಸರುಗೊಂಡು ಇಸ್ರಾಯೇಲರ ನ್ಯಾಯವಿಚಾರಕರಾಗಿ, ಸಮಾರ್ಯದ ಬೆಟ್ಟದಲ್ಲಿ ನಿಶ್ಚಿಂತರಾಗಿರುವವರ, ಗತಿಯನ್ನು ಏನೆಂದು ಹೇಳಲಿ!
[IRV | KN | OT | Amos | Chapter 6 | Verse 2] ನಿಮ್ಮ ಪ್ರಮುಖರು, “ಕಲ್ನೆಗೆ ಹೋಗಿ ನೋಡಲಿ; ಅಲ್ಲಿಂದ ಮಹಾ ಪಟ್ಟಣವಾದ ಹಮಾತಿಗೆ ತೆರಳಿರಿ; ಆ ಮೇಲೆ ಫಿಲಿಷ್ಟಿಯರ ಗತ್ ಊರಿಗೆ ಇಳಿಯಿರಿ. ಅವು ಈ ರಾಜ್ಯಗಳಿಗಿಂತ ಶ್ರೇಷ್ಠವೋ? ಅವುಗಳ ಪ್ರಾಂತ್ಯವು ನಿಮ್ಮ ಪ್ರಾಂತ್ಯಗಳಿಗಿಂತ ದೊಡ್ಡದೋ?”
[IRV | KN | OT | Amos | Chapter 6 | Verse 3] ಆಹಾ! ಆ ಪ್ರಮುಖರು ಆಪತ್ತಿನ ದಿನದ ಯೋಚನೆಯನ್ನು ದೂರಕ್ಕೆ ತಳ್ಳುತ್ತಾರೆ ಮತ್ತು ಅನ್ಯಾಯದ ಪೀಠಗಳನ್ನು ಹತ್ತಿರಕ್ಕೆ ತಂದುಕೊಳ್ಳುತ್ತಾರೆ.
[IRV | KN | OT | Amos | Chapter 6 | Verse 4] ದಂತದ ಮಂಚಗಳ ಮೇಲೆ ಮಲಗುತ್ತಾರೆ ಮತ್ತು ತಮ್ಮ ಗದ್ದುಗೆಗಳಲ್ಲಿ ಹಾಯಾಗಿ ಒರಗಿಕೊಳ್ಳುತ್ತಾರೆ. ಹಿಂಡಿನ ಕುರಿಮರಿಗಳನ್ನು, ಕೊಟ್ಟಿಗೆಯ ಕರುಗಳನ್ನು ತಿನ್ನುತ್ತಾರೆ.
[IRV | KN | OT | Amos | Chapter 6 | Verse 5] ವೀಣೆಯ ಮೇಲೆ ಮನಸ್ಸು ಬಂದಂತೆ ಹಾಡುತ್ತಾರೆ; ದಾವೀದನ ಹಾಗೆ ಗಾನವಾದ್ಯಗಳನ್ನು ಕಲ್ಪಿಸಿಕೊಳ್ಳುತ್ತಾರೆ.
[IRV | KN | OT | Amos | Chapter 6 | Verse 6] ದ್ರಾಕ್ಷಾರಸವನ್ನು ಬೋಗುಣಿಯಲ್ಲಿ ಕುಡಿಯುತ್ತಾರೆ ಮತ್ತು ಉತ್ತಮ ಅಭಿಷೇಕ ತೈಲಗಳನ್ನು ಹಚ್ಚಿಕೊಳ್ಳುತ್ತಾರೆ, ಆದರೆ ಯೋಸೇಫನ ನಷ್ಟಕ್ಕೆ ವ್ಯಸನಪಡುವುದಿಲ್ಲ.
[IRV | KN | OT | Amos | Chapter 6 | Verse 7] ಆದುದರಿಂದ ಸೆರೆಗೆ ಒಯ್ಯುವವರ ಮುಂದುಗಡೆಯೇ, ಅವರು ಸೆರೆಗೆ ಹೋಗುವರು, ಮತ್ತು ಭೋಗಮಾಡುವವರ ಹರ್ಷಧ್ವನಿಯು ನಿಂತುಹೋಗುವುದು.
[IRV | KN | OT | Amos | Chapter 6 | Verse 8] ಸೇನಾಧೀಶ್ವರ ದೇವರಾದ ಯೆಹೋವನ ನುಡಿಯನ್ನು ಕೇಳಿರಿ ಕರ್ತನಾದ ಯೆಹೋವನು ತನ್ನ ಮೇಲೆ ಆಣೆಯಿಟ್ಟು ಹೀಗೆಂದಿದ್ದಾನೆ, “ನಾನು ಯಾಕೋಬಿನ ಅಟ್ಟಹಾಸಕ್ಕೆ ಅಸಹ್ಯಪಟ್ಟು; ಅದರ ಕೋಟೆಗಳನ್ನು ಹಗೆಮಾಡುತ್ತೇನೆ. ಆದುದರಿಂದ ನಾನು ರಾಜಧಾನಿಯನ್ನೂ, ಅದರ ಸಕಲ ಸಮೃದ್ಧಿಯನ್ನೂ ಆಪತ್ತಿಗೆ ಗುರಿಮಾಡುವೆನು”
[IRV | KN | OT | Amos | Chapter 6 | Verse 9] ಒಂದು ಮನೆಯಲ್ಲಿ ಹತ್ತು ಜನ ಉಳಿದರೂ ಅವರೆಲ್ಲರೂ ಸಾಯುವರು.
[IRV | KN | OT | Amos | Chapter 6 | Verse 10] ಶವವನ್ನು ಸುಡಲು ಬಂದ ಸಂಬಂಧಿಕರು, ಹೆಣವನ್ನು ಮನೆಯೊಳಗಿಂದ ತೆಗೆದುಕೊಂಡು ಹೋದಾಗ, “ನಿಮ್ಮ ಹತ್ತಿರ ಇನ್ನೂ ಯಾರಾದರೂ ಇದ್ದಾರೋ?” ಎಂದು ಮನೆಯಲ್ಲಿರುವವರನ್ನು ಕೇಳುವಾಗ ಅವನು, “ಇಲ್ಲ” ಎನ್ನುವನು. ಆಗ ಸಂಬಂಧಿಕನು, “ಸುಮ್ಮನಿರು, ನಾವು ಯೆಹೋವನ ಹೆಸರನ್ನು ನೆನಪುಮಾಡಿಕೊಳ್ಳಬಾರದು.”
[IRV | KN | OT | Amos | Chapter 6 | Verse 11] ಇಗೋ, ನೋಡಿರಿ, ಯೆಹೋವನು ಆಜ್ಞಾಪಿಸಲು, ದೊಡ್ಡ ಮನೆಯು ಕೆಡವಲ್ಪಟ್ಟು ಚೂರುಚೂರಾಯಿತು, ಚಿಕ್ಕ ಮನೆಯೂ ಮುರಿದುಹೋಗುವುದು.
