[LXX | EL | OT | 2 Kings | Chapter 11 | Verse 1] Καὶ Γοθολία ἡ μήτηρ Ὀχοζίου εἶδεν ὅτι ἀπέθανεν ὁ υἱὸς αὐτῆς, καὶ ἀπώλεσε πᾶν τὸ σπέρμα τῆς βασιλείας.
[LXX | EL | OT | 2 Kings | Chapter 11 | Verse 2] Καὶ ἔλαβεν Ἰωσαβεὲ θυγάτηρ τοῦ βασιλέως Ἰωρὰμ ἀδελφὴ Ὀχοζίου τὸν Ἰωὰς υἱὸν ἀδελφοῦ αὐτῆς, καὶ ἔκλεψεν αὐτὸν ἐκ μέσου τῶν υἱῶν τοῦ βασιλέως τῶν θανατουμένων, αὐτὸν καὶ τὴν τροφὸν αὐτοῦ ἐν τῷ ταμείῳ τῶν κλινῶν, καὶ ἔκρυψεν αὐτὸν ἀπὸ προσώπου Γοθολίας, καὶ οὐκ ἐθανατώθη.
[LXX | EL | OT | 2 Kings | Chapter 11 | Verse 3] Καὶ ἦν μετʼ αὐτῆς κρυβόμενος ἐν οἴκῳ Κυρίου ἓξ ἔτη· καὶ Γοθολία βασιλεύουσα ἐπὶ τῆς γῆς.
[LXX | EL | OT | 2 Kings | Chapter 11 | Verse 4] Καὶ ἐν τῷ ἔτει τῷ ἑβδόμῳ ἀπέστειλεν Ἰωδαὲ, καὶ ἔλαβε τοὺς ἑκατοντάρχους τῶν Χοῤῥὶ καὶ τῶν Ῥασίμ, καὶ ἀπήγαγεν αὐτοὺς πρὸς αὐτὸν εἰς οἶκον Κυρίου, καὶ διέθετο αὐτοῖς διαθήκην Κυρίου, καὶ ὥρκωσε· καὶ ἔδειξεν αὐτοῖς Ἰωδαὲ τὸν υἱὸν τοῦ βασιλέως,
[LXX | EL | OT | 2 Kings | Chapter 11 | Verse 5] καὶ ἐνετείλατο αὐτοῖς, λέγων, οὗτος ὁ λόγος ὃν ποιήσετε· Τὸ τρίτον ἐξ ὑμῶν εἰσελθέτω τὸ σάββατον,
[LXX | EL | OT | 2 Kings | Chapter 11 | Verse 6] καὶ φυλάξατε φυλακὴν οἴκου τοῦ βασιλέως ἐν τῷ πυλῶνι, καὶ τὸ τρίτον ἐν τῇ πύλῃ τῶν ὁδῶν, καὶ τὸ τρίτον τῆς πύλης ὀπίσω τῶν παρατρεχόντων, καὶ φυλάξτε τὴν φυλακὴν τοῦ οἴκου.
[LXX | EL | OT | 2 Kings | Chapter 11 | Verse 7] Καὶ δύο χεῖρες ἐν ὑμῖν, πᾶς ὁ ἐκπορευόμενος τὸ σάββατον, καὶ φυλάξουσι τὴν φυλακὴν οἴκου Κυρίου πρὸς τὸν βασιλέα.
[LXX | EL | OT | 2 Kings | Chapter 11 | Verse 8] Καὶ κυκλώσατε ἐπὶ τὸν βασιλέα κύκλῳ, ἀνὴρ καὶ τὸ σκεῦος αὐτοῦ ἐν χειρὶ αὐτοῦ, καὶ ὁ εἰσπορευόμενος εἰς τὰς σαδηρὼθ, ἀποθανεῖται· καὶ ἔσονται μετὰ τοῦ βασιλέως ἐν τῷ ἐκπορεύεσθαι αὐτὸν καὶ ἐν τῷ εἰσπορεύεσθαι αὐτόν.
[LXX | EL | OT | 2 Kings | Chapter 11 | Verse 9] Καὶ ἐποίησαν οἱ ἑκατόνταρχοι πάντα ὅσα ἐνετείλατο Ἰωδαὲ ὁ συνετός· καὶ ἔλαβεν ἀνὴρ τοὺς ἄνδρας αὐτοῦ καὶ τοὺς εἰσπορευομένους τὸ σάββατον μετὰ τῶν ἐκπορευομένων τὸ σάββατον, καὶ εἰσῆλθον πρὸς Ἰωδαὲ τὸν ἱερέα.
[LXX | EL | OT | 2 Kings | Chapter 11 | Verse 10] Καὶ ἔδωκεν ὁ ἱερεὺς τοῖς ἑκατοντάρχοις τοὺς σειρομάστας καὶ τοὺς τρισσοὺς τοῦ βασιλέως Δαυὶδ τοὺς ἐν οἴκῳ Κυρίου.
[LXX | EL | OT | 2 Kings | Chapter 11 | Verse 11] Καὶ ἔστησαν οἱ παρατρέχοντες ἀνὴρ καὶ τὸ σκεῦος αὐτοῦ, ἐν τῇ χειρὶ αὐτοῦ ἀπὸ τῆς ὠμίας τοῦ οἴκου τῆς δεξιᾶς ἕως τῆς ὠμίας τοῦ οἴκου τῆς εὐωνύμου τοῦ θυσιαστηρίου καὶ τοῦ οἴκου, ἐπὶ τὸν βασιλέα κύκλῳ.
