[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 1] Ἐν ἔτει δευτέρῳ τῷ Ἰωὰς υἱῷ Ἰωάχαζ βασιλεῖ Ἰσραὴλ, καὶ ἐβασιλευσεν Ἀμεσσίας υἱὸς Ἰωὰς βασιλεὺς Ἰούδα.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 2] Υἱὸς εἴκοσι καὶ πέντε ἐτῶν ἦν ἐν τῷ βασιλεύειν αὐτὸν, καὶ εἴκοσι καὶ ἐννέα ἔτη ἐβασίλευσεν ἐν Ἰερουσαλὴμ, καὶ ὄνομα τῆς μητρὸς αὐτοῦ Ἰωαδὶμ ἐξ Ἱερουσαλήμ.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 3] Καὶ ἐποίησε τὸ εὐθὲς ἐν ὀφθαλμοῖς Κυρίου, πλὴν οὐχ ὡς Δαυὶδ ὁ πατὴρ αὐτοῦ· κατὰ πάντα ὅσα ἐποίησεν Ἰωὰς ὁ πατὴρ αὐτοῦ ἐποίησε.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 4] Πλὴν τὰ ὑψηλὰ οὐκ ἐξῇρεν· ἔτι ὁ λαὸς ἐθυσίαζε καὶ ἐθυμίων ἐν τοῖς ὑψηλοῖς.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 5] Καὶ ἐγένετο ὅτε κατίσχυσεν ἡ βασιλεία ἐν χειρὶ αὐτοῦ, καὶ ἐπάταξε τοὺς δούλους αὐτοῦ τοὺς πατάξαντας τὸν πατέρα αὐτοῦ.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 6] Καὶ τοὺς υἱοὺς τῶν παταξάντων οὐκ ἐθανάτωσε, καθὼς γέγραπται ἐν βιβλίῳ νόμων Μωυσῆ, ὡς ἐνετείλατο Κύριος, λέγων, οὐκ ἀποθανοῦνται πατέρες ὑπὲρ υἱῶν, καὶ υἱοὶ οὐκ ἀποθανοῦνται ὑπὲρ πατέρων, ὅτι ἀλλʼ ἢ ἕκαστος ἐν ταῖς ἁμαρτίαις αὐτοῦ ἀποθανεῖται.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 7] Αὐτὸς ἐπάταξε τὴν Ἐδὼμ ἐν γεμελὲδ δέκα χιλιάδας, καὶ συνέλαβε τὴν πέτραν ἐν τῷ πολέμῳ, καὶ ἐκάλεσε τὸ ὄνομα αὐτῆς Ἰεθοὴλ ἕως τῆς ἡμέρας ταύτης.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 8] Τότε ἀπέστειλεν Ἀμεσσίας ἀγγέλους πρὸς Ἰωὰς υἱὸν Ἰωάχαζ υἱοῦ Ἰοὺ βασιλέως Ἰσραὴλ, λέγων, δεῦρο ὀφθῶμεν προσώποις.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 9] Καὶ ἀπέστειλεν Ἰωὰς βασιλεὺς Ἰσραὴλ πρὸς Ἀμεσσίαν βασιλέα Ἰούδα, λέγων, ὁ ἄκαν ὁ ἐν τῷ Λιβάνῳ ἀπέστειλε πρὸς τὴν κέδρον τὴν ἐν τῷ Λιβάνῳ, λέγων δὸς τὴν θυγατέρα σου τῷ υἱῷ μου εἰς γυναῖκα· καὶ διῆλθον τὰ θηρία τοῦ ἀγροῦ τὰ ἐν τῷ Λιβάνῳ, καὶ συνεπάτησαν τὴν ἄκανα.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 10] Τύπτων ἐπάταξας τὴν Ἰδουμαίαν, καὶ ἐπῇρέ σε καρδία σου· ἐνδοξάσθητι καθήμενος ἐν τῷ οἴκῳ σου, καὶ ἱνατί ἐρίζεις ἐν κακίᾳ σου; καὶ πεσῇ σὺ καὶ Ἰούδας μετὰ σοῦ.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 11] Καὶ οὐκ ἤκουσεν Ἀμεσσίας· καὶ ἀνέβη Ἰωὰς βασιλεὺς Ἰσραὴλ, καὶ ὤφθησαν προσώποις αὐτὸς καὶ Ἀμεσσίας βασιλεὺς Ἰούδα ἐν Βαιθσαμὺς τῇ τοῦ Ἰούδα·
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 12] Καὶ ἔπταισεν Ἰούδας ἀπὸ προσώπου Ἰσραὴλ, καὶ ἔφυγεν ἀνὴρ εἰς τὸ σκήνωμα αὐτοῦ.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 13] Καὶ τὸν Ἀμεσσίαν υἱὸν Ἰωὰς υἱοῦ Ὀχοζίου συνέλαβεν Ἰωὰς βασιλεὺς Ἰσραὴλ ἐν Βαιθσαμύς· καὶ ἦλθεν εἰς Ἱερουσαλήμ, καὶ καθεῖλεν ἐν τῷ τείχει Ἱερουσαλὴμ ἐν τῇ πύλῃ Ἐφραὶμ ἕως πύλης τῆς γωνίας τετρακοσίους πήχεις.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 14] Καὶ ἔλαβε τὸ χρυσίον, καὶ τὸ ἀργύριον, καὶ πάντα τὰ σκεύη τὰ εὑρεθέντα ἐν οἴκῳ Κυρίου, καὶ ἐν θησαυροῖς οἴκου τοῦ βασιλέως, καὶ τοὺς υἱοὺς τῶν συμμίξεων, καὶ ἀπέστρεψεν εἰς Σαμάρειαν.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 15] Καὶ τὰ λοιπὰ τῶν λόγων Ἰωὰς ὅσα ἐποίησεν ἐν δυναστείᾳ αὐτοῦ, ἃ ἐπολέμησε μετὰ Ἀμεσσείου βασιλέως Ἰούδα, οὐχὶ ταῦτα γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰσραήλ;
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 16] Καὶ ἐκοιμήθη Ἰωὰς μετὰ τῶν πατέρων αὐτοῦ, καὶ ἐτάφη ἐν Σαμαρείᾳ μετὰ τῶν βασιλέων Ἰσραήλ· καὶ ἐβασίλευσεν Ἰεροβοὰμ υἱὸς αὐτοῦ ἀντʼ αὐτοῦ.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 17] Καὶ ἔζησεν Ἀμεσσίας υἱὸς Ἰωὰς βασιλεὺς Ἰούδα μετὰ τὸ ἀποθανεῖν Ἰωὰς υἱὸν Ἰωάχαζ βασιλέα Ἰσραὴλ, πεντεκαίδεκα ἔτη.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 18] Καὶ τὰ λοιπὰ τῶν λόγων Ἀμεσσίου καὶ πάντα ἅσα ἐποίησεν, οὐχὶ ταῦτα γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰούδα;
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 19] Καὶ συνεστράφησαν ἐπʼ αὐτὸν σύστρεμμα ἐν Ἱερουσαλὴμ, καὶ ἔφυγεν εἰς Λαχίς· καὶ ἀπέστειλαν ὀπίσω αὐτοῦ εἰς Λαχὶς, καὶ ἐθανάτωσαν αὐτὸν ἐκεῖ.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 20] Καὶ ῃραν αὐτὸν ἐφʼ ἵππων, καὶ ἐτάφη ἐν Ἱερουσαλὴμ μετὰ τῶν πατέρων αὐτοῦ ἐν πόλει Δαυίδ.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 21] Καὶ ἔλαβε πᾶς ὁ λαὸς Ἰούδα τὸν Ἀζαρίαν, καὶ αὐτὸς υἱὸς ἑκκαίδεκα ἐτῶν, καὶ ἐβασίλευσαν αὐτὸς ἀντὶ τοῦ πατρὸς αὐτοῦ Ἀμεσσίου.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 22] Αὐτὸς ᾠκοδόμησε τὴν Αἰλὼθ, καὶ ἐπέστρεψεν αὐτὴν τῷ Ἰούδα μετὰ τὸ κοιμηθῆναι τὸν βασιλέα μετὰ τῶν πατέρων αὐτοῦ.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 23] Ἐν ἔτει πεντεκαιδεκάτῳ τοῦ Ἀμεσσίου υἱῷ Ἰωὰς βασιλεῖ Ἰούδα ἐβασίλευσεν Ἱεροβοὰμ υἱὸς Ἰωὰς ἐπὶ Ἰσραὴλ ἐν Σαμαρείᾳ τεσσαράκοντα καὶ ἓν ἔτος.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 24] Καὶ ἐποίησε τὸ πονηρὸν ἐνώπιον Κυρίου· οὐκ ἀπέστη ἀπὸ πασῶν ἁμαρτιῶν Ἰεροβοὰμ υἱοῦ Ναβὰτ, ὃς ἐξήμαρτε τὸν Ἰσραήλ.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 25] Αὐτὸς ἀπέστησε τὸ ὅριον Ἰσραὴλ ἀπὸ εἰσόδου Αἰμὰθ ἕως τῆς θαλάσσης τῆς Ἄραβα, κατὰ τὸ ῥῆμα Κυρίου Θεοῦ Ἰσραὴλ ὃ ἐλάλησεν ἐν χειρὶ δούλου αὐτοῦ Ἰῶνα υἱοῦ Ἀμαθὶ τοῦ προφήτου τοῦ ἐκ Γεθχοφέρ.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 26] Ὅτι εἶδε Κύριος τὴν ταπείνωσιν Ἰσραὴλ πικρὰν σφόδρα, καὶ ὀλιγοστοὺς συνεχομένους, καὶ ἐσπανισμένους, καὶ ἐγκαταλελειμμένους, καὶ οὐκ ἦν ὁ βοηθῶν τῷ Ἰσραήλ.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 27] Καὶ οὐκ ἐλάλησε Κύριος ἐξαλεῖψαι τὸ σπέρμα Ἰσραὴλ ὑποκάτωθεν τοῦ οὐρανοῦ· καὶ ἔσωσεν αὐτοὺς διὰ χειρὸς Ἱεροβοὰμ υἱοῦ Ἰωάς.
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 28] Καὶ τὰ λοιπὰ τῶν λόγων Ἱεροβοὰμ καὶ πάντα ὅσα ἐποίησε, καὶ αἱ δυναστεῖαι αὐτοῦ, ὅσα ἐπολέμησε, καὶ ὅσα ἐπέστρεψε τὴν Δαμασκὸν, καὶ τὴν Αἰμὰθ τῷ Ἰούδα ἐν Ἰσραὴλ, οὐχὶ ταῦτα γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰσραήλ;
[LXX | EL | OT | 2 Kings | Chapter 14 | Verse 29] Καὶ ἐκοιμήθη Ἱεροβοὰμ μετὰ τῶν πατέρων αὐτοῦ μετὰ βασιλέων Ἰσραὴλ, καὶ ἐβασίλευσε Ζαχαρίας υἱὸς αὐτοῦ ἀντʼ αὐτοῦ.
