[LXX | EL | OT | 2 Kings | Chapter 24 | Verse 1] Ἐν ταῖς ἡμέραις αὐτοῦ ἀνέβη Ναβουχοδονόσορ βασιλεὺς Βαβυλῶνος, καὶ ἐγενήθη αὐτῷ Ἰωακὶμ δοῦλος τρία ἔτη· καὶ ἐπέστρεψε καὶ ἠθέτησεν ἐν αὐτῷ.
[LXX | EL | OT | 2 Kings | Chapter 24 | Verse 2] Καὶ ἀπέστειλε Κύριος αὐτῷ τοὺς μονοζώνους τῶν Χαλδαίων, καὶ τοὺς μονοζώνους Συρίας, καὶ τοὺς μονοζώνους Μωὰβ, καὶ τοὺς μονοζώνους υἱῶν Ἀμμὼν, καὶ ἐξαπέστειλεν αὐτοὺς ἐν τῇ γῇ Ἰούδα τοῦ κατισχῦσαι κατὰ τὸν λόγον Κυρίου, ὃν ἐλάλησεν ἐν χειρὶ τῶν δούλων αὐτοῦ τῶν προφητῶν.
[LXX | EL | OT | 2 Kings | Chapter 24 | Verse 3] Πλὴν ἐπὶ τὸν θυμὸν Κυρίου ἦν ἐν τῷ Ἰούδα, ἀποστῆσαι αὐτὸν ἀπὸ τοῦ προσώπου αὐτὸν ἐν ἁμαρτίαις Μανασσὴ κατὰ πάντα ὅσα ἐποίησε.
[LXX | EL | OT | 2 Kings | Chapter 24 | Verse 4] Καί γε τὸ αἷμα ἀθῶον, ἐξέχεε, καὶ ἔπλησε τὴν Ἰερουσαλὴμ αἵματος ἀθώου, καὶ οὐκ ἠθέλησε Κύριος ἱλασθῆναι.
[LXX | EL | OT | 2 Kings | Chapter 24 | Verse 5] Καὶ τὰ λοιπὰ τῶν λόγων Ἰωακὶμ καὶ πάντα ὅσα ἐποίησεν, οὐκ ἰδοὺ ταῦτα γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰούδα;
[LXX | EL | OT | 2 Kings | Chapter 24 | Verse 6] καὶ ἐκοιμήθη Ἰωακεὶμ μετὰ τῶν πατέρων αὐτοῦ, καὶ ἐβασίλευσεν Ἰωακεὶμ υἱὸς αὐτοῦ ἀντʼ αὐτοῦ.
[LXX | EL | OT | 2 Kings | Chapter 24 | Verse 7] Καὶ οὐ προσέθετο ἔτι βασιλεὺς Αἰγύπτου ἐξελθεῖν ἐκ τῆς γῆς αὐτοῦ, ὅτι ἔλαβε βασιλεὺς Βαβυλῶνος ἀπὸ τοῦ χειμάῤῥου Αἰγύπτου ἕως τοῦ ποταμοῦ Εὐφράτου πάντα ὅσα ἦν τοῦ βασιλέως Αἰγύπτου.
[LXX | EL | OT | 2 Kings | Chapter 24 | Verse 8] Υἱὸς ὀκτωκαίδεκα ἐτῶν Ἰωαχὶμ ἐν τῷ βασιλεύειν αὐτὸν, καὶ τρίμηνον ἐβασίλευσεν ἐν Ἱερουσαλὴμ, καὶ ὄνομα τῇ μητρὶ αὐτοῦ Νέσθα, θυγάτηρ Ἐλλαναθὰμ, ἐξ Ἱερουσαλήμ.
[LXX | EL | OT | 2 Kings | Chapter 24 | Verse 9] Καὶ ἐποίησε τὸ πονηρὸν ἐν ὀφθαλμοῖς Κυρίου, κατὰ πάντα ὅσα ἐποίησεν ὁ πατὴρ αὐτοῦ.
[LXX | EL | OT | 2 Kings | Chapter 24 | Verse 10] Ἐν τῷ καιρῷ ἐκείνῳ ἀνέβη Ναβουχοδονόσορ βασιλεὺς Βαβυλῶνος εἰς Ἱερουσαλὴμ, καὶ ἦλθεν ἡ πόλις ἐν περιοχῇ.
[LXX | EL | OT | 2 Kings | Chapter 24 | Verse 11] Καὶ εἰσῆλθε Ναβουχοδονόσορ βασιλεὺς Βαβυλῶνος εἰς πόλιν, καὶ οἱ παῖδες αὐτοῦ ἐπολιόρκουν ἐπʼ αὐτήν.
