[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 1] Καὶ ἐγενήθη ἐν τῷ ἔτει τῷ ἐννάτῳ τῆς βασιλείας αὐτοῦ ἐν τῷ μηνὶ τῷ δεκάτῳ, ἦλθε Ναβουχοδονόσορ ὁ βασιλεὺς Βαβυλῶνος, καὶ πᾶσα ἡ δύναμις αὐτοῦ ἐπὶ Ἱερουσαλήμ· καὶ παρενέβαλεν ἐπʼ αὐτὴν, καὶ ᾠκοδόμησεν ἐπʼ αὐτὴν περίτειχος κύκλῳ.
[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 2] Καὶ ἦλθεν ἡ πόλις ἐν περιοχῇ ἕως τοῦ ἑνδεκάτου ἔτους τοῦ βασιλέως Σεδεκίου ἐννάτῃ τοῦ μηνός.
[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 3] Καὶ ἐνίσχυσεν ὁ λιμὸς ἐν τῇ πόλει, καὶ οὐκ ἦσαν ἄρτοι τῷ λαῷ τῆς γῆς.
[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 4] Καὶ ἐῤῥάγη ἡ πόλις, καὶ πάντες οἱ ἄνδρες τοῦ πολέμου ἐξῆλθον νυκτὸς ὁδὸν πύλης τῆς ἀναμέσον τῶν τειχῶν, αὕτη ἐστὶ τοῦ κήπου τοῦ βασιλέως, καὶ οἱ Χαλδαῖοι ἐπὶ τὴν πόλιν κύκλῳ· καὶ ἐπορεύθη ὁδὸν τὴν Ἄραβα·
[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 5] Καὶ ἐδίωξεν ἡ δύναμις τῶν Χαλδαίων ὀπίσω τοῦ βασιλέως, καὶ κατέλαβον αὐτὸν ἐν Ἀραβὼθ Ἰεριχὼ, καὶ πᾶσα ἡ δύναμις αὐτοῦ διεσπάρη ἐπάνωθεν αὐτοῦ.
[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 6] Καὶ συνέλαβον τὸν βασιλέα, καὶ ἤγαγον αὐτὸν πρὸς βασιλέα Βαβυλῶνος εἰς Ῥεβλαθά· καὶ ἐλάλησε μετʼ αὐτοῦ κρίσιν.
[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 7] Καὶ τοὺς υἱοὺς Σεδεκίου ἔσφαξε κατʼ ὀφθαλμοὺς αὐτοῦ, καὶ τοὺς ὀφθαλμοὺς Σεδεκίου ἐξετύφλωσε, καὶ ἔδησεν αὐτὸν ἐν πέδαις, καὶ ἤγαγεν εἰς Βαβυλῶνα.
[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 8] Καὶ ἐν τῷ μηνὶ τῷ πέμπτῳ ἑβδόμῃ τοῦ μηνὸς, αὐτὸς ἐνιαυτὸς ἐννεακαιδέκατος τῷ Ναβουχοδονόσορ βασιλεῖ Βαβυλῶνος, ἦλθε Ναβουζαρδὰν ὁ ἀρχιμάγειρος ἑστὼς ἐνώπιον βασιλέως Βαβυλῶνος εἰς Ἱερουσαλήμ·
[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 9] Καὶ ἐνέπρησε τὸν οἶκον Κυρίου, καὶ τὸν οἶκον τοῦ βασιλέως, καὶ πάντας τοὺς οἴκους Ἱερουσαλὴμ, καὶ πᾶν οἶκον ἐνέπρησεν ὁ ἀρχιμάγειρος.
[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 10] Καὶ τὸ τεῖχος Ἱερουσαλὴμ κυκλόθεν κατέσπασεν ἡ δύναμις τῶν χαλδαίων.
[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 11] Καὶ τὸ περισσὸν τοῦ λαοῦ τὸ καταλειφθὲν ἐν τῇ πόλει, καὶ τοὺς ἐμπεπτωκότας οἳ ἐνέπεσον πρὸς τὸν βασιλέα Βαβυλῶνος, καὶ τὸ λοιπὸν τοῦ στηρίγματος μετῇρε Ναβουζαρδὰν ὁ ἀρχιμάγειρος.
[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 12] Καὶ ἀπὸ τῶν πτωχῶν τῆς γῆς ὑπέλιπεν ὁ ἀρχιμάγειρος εἰς ἀμπελουργοὺς καὶ εἰς γαβίν.
[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 13] Καὶ τοὺς στύλους τοὺς χαλκοῦς τοὺς ἐν οἴκῳ Κυρίου, καὶ τὰς μεχωνὼθ, καὶ τὴν θάλασσαν τὴν χαλκῆν τὴν ἐν οἴκῳ Κυρίου συνέτριψαν οἱ Χαλδαῖοι, καὶ ᾖραν τὸν χαλκὸν αὐτῶν εἰς Βαβυλῶνα.
[LXX | EL | OT | 2 Kings | Chapter 25 | Verse 14] Καὶ τοὺς λέβητας, καὶ τὰ ἰαμὶν, καὶ τὰς φιάλας, καὶ τὰς θυΐσκας, καὶ πάντα τὰ σκεύη τὰ χαλκᾶ ἐν οἷς λειτουργοῦσιν ἐν αὐτοῖς, ἔλαβε.
