[GNV | EN | OT | Joshua | Chapter 6 | Verse 1] Now Iericho was shut vp, and closed, because of the children of Israel: none might go out nor enter in.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 2] And the Lord saide vnto Ioshua, Behold, I haue giuen into thine hand Iericho and the King thereof, and the strong men of warre.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 3] All ye therefore that be men of warre, shall compasse the citie, in going round about the citie once: thus shall you doe sixe dayes:
[GNV | EN | OT | Joshua | Chapter 6 | Verse 4] And seuen Priests shall beare seuen trumpets of rams hornes before the Arke: and the seuenth day ye shall compasse the citie seuen times, and the Priests shall blow with the trumpets.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 5] And when they make a long blast with the rams horne, and ye heare the sound of the trumpet, al the people shall shoute with a great shoute: then shall the wall of the citie fall downe flat, and the people shall ascend vp, euery man streight before him.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 6] Then, Ioshua the sonne of Nun called the Priests and said vnto them, Take vp the Arke of the couenant, and let seuen Priests beare seuen trumpets of rams hornes before the Arke of the Lord.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 7] But he said vnto the people, Goe and compasse the citie: and let him that is armed, go forth before the Arke of the Lord.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 8] And when Ioshua had spoken vnto the people, the seuen Priestes bare the seuen trumpets of rams hornes, and went foorth before the Arke of the Lord, and blew with the trumpets, and the Arke of the couenant of ye Lord followed them.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 9] And the men of armes went before the Priestes, that blewe the trumpets: then the gathering hoste came after the Arke, as they went and blewe the trumpets.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 10] (Nowe Ioshua had commanded the people, saying, Ye shall nor shout, neither make any noyse with your voyce, neither shall a worde proceede out of your mouth, vntill the day that I say vnto you, Shout, then shall ye shoute)
[GNV | EN | OT | Joshua | Chapter 6 | Verse 11] So the Arke of the Lord compassed the citie, and went about it once: then they returned into the hoaste, and lodged in the campe.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 12] And Ioshua rose early in the morning, and the Priestes bare the Arke of the Lord:
[GNV | EN | OT | Joshua | Chapter 6 | Verse 13] Also seuen Priests bare seuen trumpets of rams hornes, and went before the Arke of the Lord, and going blewe with the trumpets: and the men of armes went before them, but the gathering hoste came after the Arke of the Lord, as they went and blewe the trumpets.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 14] And the second day they compassed the citie once, and returned into the host: thus they did sixe dayes.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 15] And when the seuenth day came, they rose early, euen with the dawning of the day, and compassed the citie after ye same maner seuen times: only that day they compassed the citie seuen times.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 16] And when the Priests had blowen ye trumpets the seuenth time, Ioshua said vnto ye people, Shoute: for the Lord hath giuen you the citie.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 17] And the citie shalbe an execrable thing, both it, and all that are therein, vnto the Lord: onely Rahab the harlot shall liue, shee, and all that are with her in the house: for shee hid the messengers that we sent.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 18] Notwithstanding, be ye ware of the execrable thing, lest ye make your selues execrable, and in taking of the execrable thing, make also the hoste of Israel execrable, and trouble it.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 19] But all siluer, and gold, and vessels of brasse, and yron shalbe consecrate vnto the Lord, and shall come into the Lordes treasury.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 20] So the people shouted, whe they had blowen trumpets: for when the people had heard the sound of the trumpet, they shouted with a great shoute: and the wall fel downe flat: so the people went vp into the citie, euery man streight before him: and they tooke the citie.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 21] And they vtterly destroyed all that was in the citie, both man and woman, yong, and olde, and oxe, and sheepe, and asse, with the edge of the sword.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 22] But Ioshua had said vnto the two men that had spied out the countrey, Go into the harlots house, and bring out thence the woman, and all that she hath, as ye sware to her.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 23] So the yong men that were spies, went in, and brought out Rahab, and her father, and her mother, and her brethren, and all that shee had: also they brought out all her familie, and put them without the host of Israel.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 24] After they burnt the citie with fire, and all that was therein: onely the siluer and the gold, and the vessels of brasse and yron, they put vnto the treasure of the house of the Lord.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 25] So Ioshua saued Rahab the harlot, and her fathers houshold, and all that shee had; and shee dwelt in Israel euen vnto this day, because shee had hid the messengers, which Ioshua sent to spie out Iericho.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 26] And Ioshua sware at that time, saying, Cursed be the man before ye Lord, that riseth vp, and buildeth this citie Iericho: hee shall lay the foundation thereof in his eldest sonne, and in his yongest sonne shall hee set vp the gates of it.
[GNV | EN | OT | Joshua | Chapter 6 | Verse 27] So the Lord was with Ioshua, and he was famous through all the world.
