[GNV | EN | OT | Joshua | Chapter 12 | Verse 1] And these are the Kings of the land, which the children of Israel smote and possessed their land, on the other side Iorden toward the rising of the sunne, from the riuer Arnon, vnto mount Hermon, and all the plaine Eastward.
[GNV | EN | OT | Joshua | Chapter 12 | Verse 2] Sihon King of the Amorites, that dwelt in Heshbon, hauing dominion from Aroer, which is beside the riuer of Arnon, and from the middle of the riuer, and from halfe Gilead vnto the riuer Iabbok, in the border of the children of Ammon.
[GNV | EN | OT | Joshua | Chapter 12 | Verse 3] And from the plaine vnto the sea of Cinneroth Eastward, and vnto the Sea of the plaine, euen the salt sea Eastward, the way to Beth-ieshimoth, and from the South vnder the springs of Pisgah.
[GNV | EN | OT | Joshua | Chapter 12 | Verse 4] They conquered also the coast of Og King of Bashan of the remnant of the gyants, which dwelt at Ashtaroth, and at Edrei,
[GNV | EN | OT | Joshua | Chapter 12 | Verse 5] And reigned in mount Hermon, and in Salcah, and in all Bashan, vnto the border of the Geshurites, and the Maachathites, and halfe Gilead, euen the border of Sihon King of Heshbon.
[GNV | EN | OT | Joshua | Chapter 12 | Verse 6] Moses the seruant of the Lord, and the children of Israel smote them: Moses also the seruant of the Lord gaue their land for a possession vnto the Reubenites, and vnto the Gadites, and to halfe the tribe of Manasseh.
[GNV | EN | OT | Joshua | Chapter 12 | Verse 7] These also are the Kings of the countrey, which Ioshua and the children of Israel smote on this side Iorden, Westward, from Baal-gad in the valley of Lebanon, euen vnto the mount Halak that goeth vp to Seir, and Ioshua gaue it vnto the tribes of Israel for a possession, according to their portions:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 8] In the mountaines, and in the valleys, and in the plaines, and in the hill sides, and in the wildernes, and in the South, where were the Hittites, the Amorites, and the Canaanites, the Perizzites, the Hiuites, and the Iebusites.
[GNV | EN | OT | Joshua | Chapter 12 | Verse 9] The King of Iericho was one: the King of Ai, which is beside Beth-el, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 10] The King of Ierusalem, one: the King of Hebron, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 11] The King of Iarmuth, one: the King of Lachish, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 12] The King of Eglon, one: the King of Gezer, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 13] The King of Debir, one: the King of Geder, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 14] The King of Hormah, one: the King of Arad, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 15] The King of Libnah, one: the King of Adullam, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 16] The King of Makkedah, one: the King of Beth-el, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 17] The King of Tappuah, one: the King of Hepher, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 18] The King of Aphek, one: the King of Lasharon, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 19] The King of Madon, one: the King of Hazor, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 20] The king of Shimron-meron, one: the King of Achshaph, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 21] The King of Taanach, one: the King of Megiddo, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 22] The King of Kedesh, one: the King of Iokneam of Carmel, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 23] The King of Dor, in the countrey of Dor, one: the King of the nations of Gilgal, one:
[GNV | EN | OT | Joshua | Chapter 12 | Verse 24] The King of Tirzah, one. all the Kings were thirtie and one.
